,data,Regione,Dose1,Dose2,DoseUnica,Booster1,Booster3Dosi,Booster2,Dose1Cum,Dose2Cum,DoseUnicaCum,Booster1Cum,Booster3DosiCum,Booster2Cum
490,2022-05-01,Lombardia,9,24,15,169,15,110,8417567,7958102,328546,7121634,21985,40485
491,2022-05-02,Lombardia,77,203,75,1904,842,2678,8417644,7958305,328621,7123538,22827,43163
492,2022-05-03,Lombardia,78,172,50,1903,703,4619,8417722,7958477,328671,7125441,23530,47782
493,2022-05-04,Lombardia,120,232,91,1796,993,4769,8417842,7958709,328762,7127237,24523,52551
494,2022-05-05,Lombardia,90,156,50,1671,832,4245,8417932,7958865,328812,7128908,25355,56796
495,2022-05-06,Lombardia,84,217,68,2073,657,4688,8418016,7959082,328880,7130981,26012,61484
496,2022-05-07,Lombardia,109,234,146,2366,776,2261,8418125,7959316,329026,7133347,26788,63745
497,2022-05-08,Lombardia,36,68,87,334,112,140,8418161,7959384,329113,7133681,26900,63885
498,2022-05-09,Lombardia,66,82,56,1851,714,4062,8418227,7959466,329169,7135532,27614,67947
499,2022-05-10,Lombardia,84,185,75,1780,684,5371,8418311,7959651,329244,7137312,28298,73318
500,2022-05-11,Lombardia,72,166,78,1902,931,5459,8418383,7959817,329322,7139214,29229,78777
501,2022-05-12,Lombardia,70,132,54,1783,877,4802,8418453,7959949,329376,7140997,30106,83579
502,2022-05-13,Lombardia,91,203,75,1926,750,4066,8418544,7960152,329451,7142923,30856,87645
503,2022-05-14,Lombardia,141,219,152,2547,1220,2044,8418685,7960371,329603,7145470,32076,89689
504,2022-05-15,Lombardia,42,51,94,386,56,268,8418727,7960422,329697,7145856,32132,89957
505,2022-05-16,Lombardia,55,65,74,1795,702,2930,8418782,7960487,329771,7147651,32834,92887
506,2022-05-17,Lombardia,99,146,66,1651,699,3293,8418881,7960633,329837,7149302,33533,96180
507,2022-05-18,Lombardia,104,139,82,1768,944,3788,8418985,7960772,329919,7151070,34477,99968
508,2022-05-19,Lombardia,59,127,49,1594,1032,3518,8419044,7960899,329968,7152664,35509,103486
509,2022-05-20,Lombardia,70,168,48,1868,784,3167,8419114,7961067,330016,7154532,36293,106653
510,2022-05-21,Lombardia,82,216,138,2112,764,1705,8419196,7961283,330154,7156644,37057,108358
511,2022-05-22,Lombardia,42,49,37,334,80,256,8419238,7961332,330191,7156978,37137,108614
512,2022-05-23,Lombardia,55,117,59,1804,803,2447,8419293,7961449,330250,7158782,37940,111061
513,2022-05-24,Lombardia,58,110,70,1695,820,3259,8419351,7961559,330320,7160477,38760,114320
514,2022-05-25,Lombardia,73,226,62,1815,947,3217,8419424,7961785,330382,7162292,39707,117537
515,2022-05-26,Lombardia,70,123,34,1712,904,3462,8419494,7961908,330416,7164004,40611,120999
516,2022-05-27,Lombardia,53,139,71,2058,756,2593,8419547,7962047,330487,7166062,41367,123592
517,2022-05-28,Lombardia,73,178,136,2253,795,1565,8419620,7962225,330623,7168315,42162,125157
518,2022-05-29,Lombardia,26,52,54,370,57,140,8419646,7962277,330677,7168685,42219,125297
519,2022-05-30,Lombardia,58,100,55,1763,577,1993,8419704,7962377,330732,7170448,42796,127290
520,2022-05-31,Lombardia,55,116,55,1616,577,2426,8419759,7962493,330787,7172064,43373,129716
521,2022-06-01,Lombardia,82,111,70,1869,685,2160,8419841,7962604,330857,7173933,44058,131876
522,2022-06-02,Lombardia,1,5,7,60,9,49,8419842,7962609,330864,7173993,44067,131925
523,2022-06-03,Lombardia,53,142,59,1724,410,1404,8419895,7962751,330923,7175717,44477,133329
524,2022-06-04,Lombardia,55,144,96,1646,402,1019,8419950,7962895,331019,7177363,44879,134348
525,2022-06-05,Lombardia,2,7,0,35,16,90,8419952,7962902,331019,7177398,44895,134438
