,data,Regione,Dose1,Dose2,DoseUnica,Booster1,Booster3Dosi,Booster2,Dose1Cum,Dose2Cum,DoseUnicaCum,Booster1Cum,Booster3DosiCum,Booster2Cum
1,2020-12-27,Lombardia,718,0,1,0,0,0,718,0,1,0,0,0
3,2020-12-28,Lombardia,108,0,0,0,0,0,826,0,1,0,0,0
4,2020-12-29,Lombardia,107,0,0,0,0,0,933,0,1,0,0,0
6,2020-12-30,Lombardia,115,0,0,0,0,0,1048,0,1,0,0,0
8,2020-12-31,Lombardia,715,0,0,0,0,0,1763,0,1,0,0,0
9,2021-01-01,Lombardia,25,0,0,0,0,0,1788,0,1,0,0,0
11,2021-01-02,Lombardia,202,0,0,0,0,0,1990,0,1,0,0,0
13,2021-01-03,Lombardia,857,0,1,0,0,0,2847,0,2,0,0,0
15,2021-01-04,Lombardia,6133,0,9,0,0,0,8980,0,11,0,0,0
17,2021-01-05,Lombardia,7875,0,9,0,0,0,16855,0,20,0,0,0
19,2021-01-06,Lombardia,7166,0,7,0,0,0,24021,0,27,0,0,0
21,2021-01-07,Lombardia,11770,0,51,0,0,0,35791,0,78,0,0,0
23,2021-01-08,Lombardia,12739,0,25,0,0,0,48530,0,103,0,0,0
25,2021-01-09,Lombardia,12508,0,10,0,0,0,61038,0,113,0,0,0
27,2021-01-10,Lombardia,10543,0,13,0,0,0,71581,0,126,0,0,0
29,2021-01-11,Lombardia,16295,0,29,0,0,0,87876,0,155,0,0,0
31,2021-01-12,Lombardia,20305,0,45,0,0,0,108181,0,200,0,0,0
33,2021-01-13,Lombardia,26440,0,62,0,0,0,134621,0,262,0,0,0
35,2021-01-14,Lombardia,26912,0,83,0,0,0,161533,0,345,0,0,0
37,2021-01-15,Lombardia,25241,0,71,0,0,0,186774,0,416,0,0,0
39,2021-01-16,Lombardia,15640,0,33,0,0,0,202414,0,449,0,0,0
41,2021-01-17,Lombardia,8157,201,9,0,0,0,210571,201,458,0,0,0
43,2021-01-18,Lombardia,8284,976,16,0,0,0,218855,1177,474,0,0,0
45,2021-01-19,Lombardia,7581,471,20,0,0,0,226436,1648,494,0,0,0
47,2021-01-20,Lombardia,5602,115,7,0,0,0,232038,1763,501,0,0,0
