,Territorio,Value,TIME
0,Montebello,1596,2018
1,Montebello,1546,2019
2,Montebello,1525,2020
3,Montebello,1512,2021
4,Montebello,1476,2022
5,Pavia,72773,2018
6,Pavia,71943,2019
7,Pavia,71882,2020
8,Pavia,71122,2021
9,Pavia,71159,2022
10,Piacenza,103082,2018
11,Piacenza,103904,2019
12,Piacenza,104260,2020
13,Piacenza,102731,2021
14,Piacenza,102902,2022
15,Stradella,11637,2018
16,Stradella,11699,2019
17,Stradella,11689,2020
18,Stradella,11448,2021
19,Stradella,11430,2022
20,Voghera,39354,2018
21,Voghera,39051,2019
22,Voghera,39006,2020
23,Voghera,38435,2021
24,Voghera,38455,2022
