"","V1"
"1",17853.6627
"2",24979.550175
"3",21084.7725
"4",16597.341
"5",13000.3461
"6",13081.815
"7",14151.7575
"8",17007.9237
"9",25411.586625
"10",23694.4116
"11",13668.669
"12",12460.408875
"13",13013.652375
"14",13755.8025
"15",17747.901
"16",25346.8764
"17",22572.459
"18",12742.002
"19",12338.48025
"20",12948.055875
"21",13302.468
"22",17760.33
"23",25766.5194
"24",23694.82065
"25",12511.6785
"26",12340.26225
"27",12839.171625
"28",13066.38
"29",17738.829225
"30",25652.8053
"31",23578.09155
"32",11427.21675
"33",12390.948
"34",12685.7421
"35",13188.3075
"36",17960.7996
"37",25732.134
"38",23735.079675
"39",11430.2781
"40",12335.3415
"41",12547.841625
"42",13015.819125
"43",18041.7015
"44",25782.22305
"45",23803.902
"46",11214.585
"47",12411.1035
"48",12536.073
"49",13142.347875
"50",18066.4551
"51",25732.134
"52",23827.257
"53",11272.0995
"54",12366.7605
"55",12499.6149
"56",13182.27075
"57",18115.9551
"58",25732.134
"59",23806.4427
"60",11220.7707
