"","SARIMA(1,0,2)(0,1,2)","SARIMAX(1,1,3)(1,0,0)","SARIMAX(1,1,2)(1,0,1)","SARIMAX(1,0,2)(1,0,2)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM rit + reg + colori","UCM-regressori+dummy"
"h=1",2178.0747943581,2178.92385568528,3153.36412233899,2707.69398073587,1952.31314768258,1852.68032570225,1851.60399712079,1985.92127032484,2122.295648099,2787.16345075609,1806.16869856476
"h=2",2372.32940280394,2357.55050714542,3575.23647057934,2905.96237392046,1995.35470288732,1927.687995,1918.1844456338,2168.09423389569,2366.09938882781,3212.5182846198,1943.2406084655
"h=3",2345.35387912785,2363.59322252763,3518.53549526957,2883.83693114501,1993.19069745763,1903.61249618644,1911.79364682203,2071.26222907256,2346.30209615589,3065.90727061076,1895.49995950548
"h=4",2280.93880999841,2273.86667104193,3539.28847394192,2834.60522852288,1982.19646274788,1897.60155616147,1902.03254936261,2055.65572679951,2212.17950042628,2949.78864815258,1906.27069701876
"h=5",2296.97084421978,2293.85805842839,3692.42108270638,2903.29363205478,1990.10178536932,1930.59815880682,1918.94432024148,2066.88771164768,2158.7149526975,2818.77479932921,1935.75628188215
"h=6",2310.99829943417,2326.33940930279,3749.71761673545,3011.68026490568,2004.42193717949,1933.98698846154,1929.97850032051,2072.73934469129,2123.83502794594,2699.33187119903,1976.56808348124
"h=7",2394.14875371408,2362.9224639949,3875.83764478826,3074.14970254896,2022.79311385714,1938.68791007143,1939.48156028571,2116.99861576528,2157.48320278341,2916.89389633506,2003.42132842514
"h=8",2713.9242162094,2645.7669200831,4530.26160578917,3486.86171402784,2238.74806525788,2097.6696773639,2094.04983545845,2399.86953808496,2428.22131958162,3292.31799963447,2143.24516656993
"h=9",2779.81526362898,2750.17159049164,4501.02181526109,3538.20947089518,2228.13557715517,2100.98792327586,2121.33870634796,2439.12236977927,2573.52384437542,3422.5451196304,2188.93550274555
"h=10",2755.20758782602,2754.34745388883,4539.11232734934,3559.56849404639,2209.36792110951,2137.37125785303,2114.13120821326,2315.71744038266,2568.686816699,3300.99342945686,2153.66442743976
"h=11",2681.03090192326,2695.42295764595,4313.80508596926,3523.70924388519,2239.48464060694,2150.49390736994,2124.50973815029,2341.0409235233,2528.63400314835,3387.29851102596,2165.30191433142
"h=12",2695.59605231162,2681.66509223959,4465.92754809277,3575.74902937739,2230.58019130435,2151.18952565217,2111.56248586957,2338.39207032585,2400.75866440872,3326.37381609349,2177.67486368129
"h=13",2747.53434410611,2753.92500489597,4576.79413896058,3618.90614358793,2245.98911010174,2123.7204159157,2113.30972085756,2284.87488908428,2334.74838394303,3182.95282011088,2151.88623433837
"h=14",2844.28126278544,2802.1665437946,4676.05757443303,3652.24710734099,2261.4318872449,2135.70560728863,2136.76145029155,2279.62382414889,2287.32379899519,3060.30350506852,2169.23846487414
"h=15",2992.18527149347,2934.68384366312,4780.48081845256,3915.73376998279,2487.25162105263,2308.34077434211,2282.464125,2563.60643827176,2585.4420291596,3492.66743455405,2436.74116016621
"h=16",3035.82939828408,3004.91220308345,4723.65115176123,3933.35527489676,2500.60021165689,2294.20641774194,2294.22350256598,2650.23139804958,2744.23951251213,3683.00679022951,2537.53236606234
"h=17",3017.26675276737,3030.90886264251,4655.83758197135,3894.78489009381,2442.26234051471,2280.21428183824,2250.66313654412,2626.91303735439,2756.67272815844,3715.66208555185,2528.59191729251
"h=18",2948.8179479234,2957.29998674839,4583.01322342518,3845.01490609406,2480.20255287611,2290.46837190265,2262.37015685841,2618.35707378355,2725.142430548,3709.4744434226,2547.13237941369
"h=19",2994.72948862257,2967.45677097068,4752.9516481065,3891.75218585977,2498.55191693787,2322.20369356509,2289.06554445266,2632.99090149731,2684.97267147726,3635.65691335724,2557.98771012662
"h=20",3067.27837134301,3053.82178710883,4780.69366193716,3910.99741646724,2524.52031409496,2350.51627366469,2340.81315934718,2650.83639616204,2665.78484748353,3599.59378140702,2570.45634075612
"h=21",3161.16757227202,3109.7112544879,4674.79056939731,3907.73371683286,2539.28769709821,2362.60753727679,2336.25467410714,2646.63343780375,2687.06651561234,3483.17858026747,2567.83443975486
"h=22",3226.8761121337,3177.88459784455,4704.67188576673,4021.33752275846,2652.85557134328,2413.62728932836,2385.30831246269,2791.48568060629,2846.65269517401,3787.30119684144,2677.67485052752
"h=23",3216.57703224469,3253.31191328566,4549.09805901394,3998.80527528135,2640.09376482036,2432.38992979042,2436.6909758982,2894.76414308964,2950.28484669124,4087.67988045211,2753.07738687577
"h=24",3179.15233575564,3301.24151118715,4411.89733106461,3908.11129206314,2634.61621824324,2439.24211689189,2422.20832567568,2852.25737718538,3026.58316242651,4028.91914344456,2749.70671327829
"h=25",3055.12943175213,3185.77811334498,4353.38977393758,3789.18584162996,2666.63500888554,2455.09723463855,2426.33322447289,2841.961427205,2954.44104026098,4026.83987425135,2732.29469994138
"h=26",3097.79773020354,3159.64634431088,4411.84608024087,3826.82927910146,2692.46153610272,2468.25132484894,2424.18245777946,2836.39815481036,2814.79574570575,3924.54643301623,2721.44215508831
