"","SARIMA(1,0,2)(0,1,2)","SARIMAX(1,1,3)(1,0,0)","SARIMAX(1,1,2)(1,0,1)","SARIMAX(1,0,2)(1,0,2)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM rit + reg + colori","UCM-regressori+dummy"
"h=1",17.1556502757871,17.1316884582027,20.0369380674656,18.2733010716984,12.5924201640916,12.0576314836978,12.0323830685321,13.4142141999785,14.3087558956354,18.6299708436595,11.7440884275354
"h=2",18.5119539343568,18.3327951230161,22.5559527560896,19.6415682124784,12.8074023730882,12.4757157035149,12.418698094096,14.5189598790658,15.7579378890306,21.4771930052253,12.275574842027
"h=3",18.2816428428052,18.3153885606675,22.4084848929987,19.422165946888,12.8433245121486,12.3564430964315,12.4088227081055,13.782900283837,15.5790642968521,20.8250674598956,11.9286524362138
"h=4",17.946980882079,17.8318813694832,22.5265202107065,19.3027342685419,12.7439788884133,12.3195001781435,12.3550080988856,13.6462718381858,14.6349380338615,20.1114315199972,11.9846660999432
"h=5",17.7931434677208,17.6066469402513,23.0124373256945,19.7025515604052,12.7952153811848,12.5288943453045,12.4770917361431,13.708986260192,14.168045959306,19.1981006188392,12.1279680212593
"h=6",17.3790350620112,17.5434237897379,23.1904290218316,20.2832710778635,12.9028677870156,12.5373501209574,12.4996142474705,13.6334457056012,13.8914203405889,18.2428179956721,12.3401519871669
"h=7",17.7318452024446,17.7716707461932,24.1967853473598,20.6346269101549,13.1130177972329,12.6058302983539,12.5876175567424,14.0859691952853,14.2670858912424,20.0958350292233,12.5761134833464
"h=8",20.1725529194404,20.0033058805391,27.5477724913444,23.2427426119461,14.3743920663943,13.5091819809106,13.4925988683037,15.8409588266043,16.022207246496,22.0864342384507,13.3015654357151
"h=9",20.3656803945821,20.4851964202458,26.4466695901151,23.6296941205334,14.2372723570971,13.5130427941804,13.6225927753852,15.9031893900702,16.7884204473982,22.6392330421695,13.4409228725028
"h=10",20.2275180459478,20.4348272353468,28.3260269697612,23.8198624668068,14.115050045034,13.7424864331218,13.5786711617343,15.1522057883986,16.5597871647373,22.105570182074,13.2407921449711
"h=11",19.9191341371773,20.1003314682595,27.3888468674936,23.8001881645375,14.3914807824733,13.8135576661281,13.6472043616121,15.1850628105279,16.2858516233182,22.5762962494598,13.3177075801136
"h=12",19.7956377507837,20.0004266236152,27.6936676319208,23.9784164585799,14.3308173720999,13.8106358015809,13.5541870717533,15.2090406167039,15.5604935795683,22.0455703119271,13.4001386726017
"h=13",19.8151267831214,20.4997664280718,26.8944096996528,24.1714288816678,14.4081702153921,13.5870112659961,13.5442028271603,14.8408576581022,15.1873249255962,21.4828239583706,13.2598099845026
"h=14",20.2403075248941,20.5991654251929,28.3016624675723,24.1957497164341,14.5176350113642,13.6827815943013,13.6821098431892,14.7758296583761,14.9515165506868,20.8653762361359,13.3979492676634
"h=15",20.842703469728,20.9932382496439,28.7200639769826,25.8264445684344,15.788115771291,14.6382139274865,14.4718900822863,16.5107293147157,16.6534855326494,22.6306667601782,15.0126812690455
"h=16",20.9524421619952,21.2571995795911,28.9505014543717,26.0664735910476,15.8760340973064,14.5239829247932,14.5798005395815,17.096435363745,17.6371423031275,24.0943321046329,15.6917475034447
"h=17",21.0437101605878,21.3580872290049,29.4515322476927,26.0653728801889,15.5393142452664,14.4816994461831,14.2939969974116,16.9853350574282,17.7059161422172,24.8399794950942,15.7952641533064
"h=18",21.0071189859935,21.1328408682984,29.2917529294775,25.9728205023748,15.7533234552496,14.5065122366758,14.3694263589943,16.9791698924121,17.6231672113185,24.7835620584558,15.9125918831202
"h=19",21.0820294805773,21.0630576408465,29.5218514370849,26.0551903125728,15.9486921382502,14.7763374757646,14.6176403652988,17.0701773979809,17.313325894684,24.042730581376,15.9718199659647
"h=20",21.2780248701389,21.6087768499647,29.6233909859606,26.0585695330525,16.0904705794384,14.9653919918812,14.9280011096541,17.2216512986918,17.2967992017937,24.1835040822838,16.0998673992687
"h=21",21.7437317537071,21.9394072498817,28.9033835305644,25.8232624946571,16.2368690257833,15.0930875930686,14.902420379007,17.1865974577607,17.4546028164029,23.5178747788618,16.0710462727312
"h=22",21.871022877962,22.1559903168411,29.2713209667598,26.755509093607,16.9680415694963,15.4225581985872,15.2082536562296,18.2325691000882,18.5333836161518,25.4541707808763,16.7579762908999
"h=23",21.5589434923173,22.424998069829,28.6496377223963,26.651305036966,16.9981593587092,15.5459569525211,15.6000590144597,18.8232366669251,19.0555491160483,27.6125875484751,17.2249191232829
"h=24",21.5982973918042,22.7172276742419,28.7540236587928,26.3422040596118,16.9130823100381,15.5883323911062,15.48189098496,18.6924081621319,19.5852557508944,27.5780876832458,17.323420267038
"h=25",21.14306334216,22.0795199620267,28.1586954958028,25.5937225505408,17.12430501454,15.6761744177162,15.5028354756422,18.5955093018191,19.0696301493849,27.428024887346,17.215613101838
"h=26",21.1855306802854,21.9289869493494,28.3039551376053,25.728076306455,17.2237675543942,15.7198612659538,15.4525272018959,18.5788226006119,18.2654932733781,26.4520513055403,17.1500291147621
"h=27",21.7741411995387,22.3403851038707,28.554759542392,25.6439502856364,17.270046070762,15.6510823950188,15.6975376046398,18.1648207679843,17.982103665123,26.5921186878345,16.9375677802582
"h=28",22.3076781797046,22.8215838463202,27.7165677762274,25.5694500430547,17.4247708374423,15.9378157204622,15.585512108022,18.3220777988569,18.1717926160828,27.2075339657095,16.8496070954517
"h=29",21.995698988715,22.8610737472549,26.6964156572279,25.9508242077899,17.8229708233662,16.3156238224447,16.1360157392467,19.5434090748043,18.8064212149734,28.4325834203837,17.4774753729927
"h=30",21.7687976367931,23.2417911970672,26.3859071130876,25.9100597590202,17.638815457716,16.1307190001204,16.0171273015655,19.5276736009065,19.1794514322719,29.4135269115129,17.9546942566097
"h=31",21.8027136398148,23.5418686440379,26.4015749608211,25.1725211215773,17.227107418512,16.208742172108,16.0378477894459,19.1567760655968,19.1010952180384,28.6297971275156,17.984648026808
"h=32",21.2830950534941,22.9788173593628,26.4363367345065,24.4216936936087,17.6252954584713,16.2603106796247,16.1033267051688,19.3883214554248,19.414091077912,30.0091938992437,18.0440927356332
"h=33",21.5115289138162,22.7659625728013,26.456763087268,24.869073999881,17.4702755355055,16.3321694834252,15.9972359690024,19.3601572641456,19.3005019241509,29.3025078537471,18.0331084922352
"h=34",21.9609515689642,22.8676553812893,26.3514773528163,25.2010561356917,17.5659983166865,16.201149119149,16.0982697636248,18.8971542479777,18.9365645593105,28.7473336626983,17.8485608279924
"h=35",22.35333116638,22.7780685898062,25.8559880311994,25.3622877353158,17.4905891636753,16.3952476011067,16.059373412638,18.95129932818,18.8260413209911,29.5747774658816,17.9010725536051
"h=36",21.9186125305255,22.6848553289894,25.5802007556826,25.7157946978489,18.089313092406,16.4509793768806,16.2852382051451,19.5315185816445,19.1877674954503,29.2444176119261,18.2449398720469
"h=37",21.643744996911,22.6314089202502,24.2922260613412,25.3074559549585,18.2486967874796,16.4478484158055,16.3719291035034,19.8181558721958,19.5152536603425,29.7207155759788,18.655767491737
"h=38",21.4555029693053,22.6318549985814,25.9930009979602,24.2390218606444,17.8121191083851,16.4927794047514,16.5343258596621,19.4901589245765,19.3860630828586,30.5381356565022,18.6395318842335
"h=39",21.0159716236468,22.197483230551,26.5027676861688,23.6390245675334,18.1678966831734,16.5887305860239,16.6755237106191,19.4737610449988,19.4145113542328,30.526764816496,18.6551521922997
"h=40",21.3103911908195,22.3012178009933,25.0344050573828,24.8429425517022,18.2113539418305,16.4072679856725,16.5190034666765,19.4799037001521,19.0416655787719,29.5591754708977,18.5445671675839
"h=41",21.7499293490326,22.4289127035905,24.431243749641,24.7378433972792,18.4034061382747,16.3194426920221,16.7837409499028,19.1520461420681,18.8312692725863,29.5174212512918,18.343845147696
"h=42",22.1153987285727,22.2327058195048,23.7839793812858,24.877890009279,18.3554322968066,16.5748619189518,16.544089805582,19.3466057183639,19.0627786510637,30.4487242635127,18.2242607612566
"h=43",21.9977483431351,22.0827708121518,23.5347198756375,25.1345433944695,18.730633815802,17.1571131276012,16.7522646042435,19.520078080614,18.9936723121079,29.3596403265984,18.4189754025636
"h=44",21.70764234844,22.1058087521439,24.0082230024171,24.6668498495638,18.7815033089343,16.8488306306795,16.7845247741047,20.0602752955841,19.5227437025397,30.1949095763639,19.124563257188
"h=45",21.7169613063851,22.0356107050131,25.1781461244671,23.5521559780165,18.3420432118938,16.7159196068625,16.7928625478386,19.6841087584283,19.1235640480973,29.8109723255012,18.9834913985279
"h=46",21.0689003509326,21.5606443959166,24.1703238228182,22.8585416730677,18.3607534582728,16.9060467398994,16.7875618501059,19.5494142034321,18.9544937288329,30.2842592841043,18.9786767408051
"h=47",21.5955836655032,21.8356545161412,23.8744496759959,24.0750948921048,18.5199520965008,17.0189299061647,16.8961686923807,19.8648082958641,19.1497826848631,30.7727531231517,19.1659573558295
"h=48",21.6165520600084,22.4583782473407,23.8003178337198,25.2793787338773,18.0410396808739,16.9763626338432,16.8629571503372,19.9357142157544,19.2236971095243,30.3127121643778,19.2142037037978
