"","SARIMA(1,0,2)(0,1,2)","SARIMAX(1,1,3)(1,0,0)","SARIMAX(1,1,2)(1,0,1)","SARIMAX(1,0,2)(1,0,2)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM rit + reg + colori","UCM-regressori+dummy"
"h=1",3190.9231283009,3127.87695212294,4368.00408962061,4018.07002229877,2919.49864299974,2802.27021147787,2805.99922621909,3013.35387786296,3272.47758100734,4169.43186808952,2652.49668671842
"h=2",3474.98191470246,3379.68236343074,4889.755793601,4375.25829452626,3060.58422612801,2943.03526406988,2928.56485654099,3411.65774699567,3635.59211601639,4856.13443696881,2824.44398505909
"h=3",3398.87306003475,3352.40571705279,4771.7082562641,4279.28071508764,3044.77946105819,2925.74437809907,2920.52599016248,3254.84114845558,3651.38517577039,4812.85859084776,2807.97259107359
"h=4",3281.00787047966,3263.1843054276,4723.18608219962,4215.99777717139,3009.22396878468,2916.77729838028,2933.90059231262,3205.09665229249,3444.71666507577,4572.77400791352,2817.01621468519
"h=5",3268.05850865536,3243.56113412027,4852.88376162704,4288.06901009901,2988.35688084925,2922.73075566023,2929.46319360262,3220.43796430153,3271.40277950797,4398.04503514551,2824.16752518973
"h=6",3246.71618552092,3254.09571980867,5024.5297142791,4392.92135156066,3024.13895321615,2928.33183771639,2933.55052455339,3193.1995043948,3269.30573438632,4269.45710401621,2876.99017900476
"h=7",3326.282573946,3292.73379666545,5159.68740043089,4498.03494922752,3091.12590619228,2970.12312051222,2958.9804035484,3352.17572017264,3392.55767959767,4607.91056525146,2969.37131064303
"h=8",3688.41365234821,3643.65650179606,5829.68147427632,4844.18971275827,3326.78213396354,3090.40406258876,3103.30579253502,3650.34701281861,3677.90755252835,5043.82776254887,3084.72943730341
"h=9",3806.01780085672,3716.82218665338,5727.845408356,4903.96531885087,3339.18064000672,3108.40282486748,3153.3658736391,3653.85851588539,3737.10189030483,4974.61972401085,3180.22855129551
"h=10",3761.54619380451,3734.69062780972,5738.96692076029,4838.66005970926,3286.66562364141,3161.32848814541,3140.65724940317,3589.15895832384,3738.07101873214,4814.55980649723,3198.51245414775
"h=11",3657.91430199548,3681.19215595574,5465.19473236685,4821.32580207529,3358.62182185899,3176.39621810856,3146.53280535731,3576.64292689126,3653.7220081952,4879.16093507096,3247.84587615592
