"","SARIMA(1,0,0)(1,1,2)","ARIMAX (2,1,3)","SARIMAX(3,1,2)(1,0,1)","SARIMAX(3,1,3)(1,0,0)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM-regressori+dummy"
"h=1",3313.34362287021,3397.88674760457,3676.4344425247,2744.63461603799,3329.90264484891,3139.55938902521,3217.94066722416,4017.05748511196,3847.76815792106,3661.93719275281
"h=2",3594.21965965955,3666.62099543068,3977.79511961791,3041.69983205759,3548.75004696093,3306.45254410514,3337.11109645382,4997.6881439197,4594.62085795272,4881.49254844888
"h=3",3642.57160634215,3748.29549059377,3970.7065040094,3154.91522796921,3619.0189885047,3358.57914300142,3403.64638102354,4799.10215748959,4995.65317350249,5729.186622257
"h=4",3630.212996484,3707.52265814018,3724.02078047143,3206.03723356877,3663.46920219518,3381.27343408631,3455.41298027082,4247.53308619713,4964.98493925745,5351.90297656309
"h=5",3630.28281338622,3615.58952002182,3310.86134623909,3280.67354171731,3666.45327797033,3382.86470496236,3430.43030431583,4554.57345302678,4749.8563294885,4935.50654162383
"h=6",3630.81341691916,3615.52612512646,3190.53895722085,3346.81774632664,3700.49983886399,3385.92260855545,3471.55621331486,4225.66655592674,4271.55256017918,4323.46303818289
"h=7",3635.94403263875,3642.95080977102,3347.92277839837,3328.13398569571,3683.28044662163,3423.3145826276,3477.08972370921,3907.05370653801,3821.36028370109,3775.99263652239
"h=8",3807.7554918627,3861.32801038524,3455.84237945941,3639.37355860428,3866.00600380477,3498.23454184117,3506.45339473668,4819.82628408638,4237.41511623266,4277.90739746824
"h=9",3870.57590154551,3961.79276802431,3494.06098907306,3809.95664138624,3888.44259704814,3497.68116896029,3522.47518124671,5828.66907275628,4970.54781467703,5483.49264580576
"h=10",3897.43893951037,4002.98080588691,3555.33051398524,3835.51928604287,3981.00322468175,3568.43211435947,3588.38461503265,5273.00240366288,5046.25984000209,5950.22185067864
"h=11",3895.25592152726,3983.88350454278,3546.78592575728,3933.77651275049,4043.37203322431,3554.38233063328,3592.11562700899,4527.08208287899,5056.42557207815,5460.57810191207
"h=12",3891.40770034208,3976.43841286476,3542.50214766844,4038.92613809716,3996.6337149378,3574.3483847877,3587.952384093,4828.26445754994,4944.60851546941,5357.1051008476
"h=13",3875.44277190917,3939.96373122751,3513.75149812936,4124.34206687618,3950.30125812698,3614.85542345679,3610.37891519522,4642.25835754515,4446.50628733606,4793.32090558954
"h=14",3877.14894407444,4045.5864001685,3530.67306121702,4195.83054221007,3945.85539769884,3574.55320962179,3598.04686604714,4455.1602046327,4507.03159763885,4520.8159912097
"h=15",3947.5343641957,4193.30601993337,3554.57289098244,4458.18846404669,4127.94426042164,3685.39400428558,3689.40805537922,5175.032650554,4672.04755822585,4795.28819783556
