"","SARIMA(1,0,0)(1,1,2)","ARIMAX (2,1,3)","SARIMAX(3,1,2)(1,0,1)","SARIMAX(3,1,3)(1,0,0)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM-regressori+dummy"
"h=1",3313.34362287021,3594.21965965955,3642.57160634215,3630.212996484,3630.28281338622,3630.81341691916,3635.94403263875,3807.7554918627,3870.57590154551,3897.43893951037
"h=2",3895.25592152726,3891.40770034208,3875.44277190917,3877.14894407444,3947.5343641957,3984.97160610293,3974.01105572299,3970.59561004613,3969.70702339863,3970.39941925406
"h=3",3972.55832154049,4031.89003095291,4063.23255084429,4072.96809053998,4060.65127287742,4040.22643279249,4038.11627004106,4043.00183603447,4091.46568690614,4113.93482403072
"h=4",4133.59965114188,4119.32368512025,4114.62540147394,4114.55122721723,4119.1680824001,4150.34213618158,4169.35819534747,4182.15086084616,4180.20103928356,4186.04281349631
"h=5",4189.18449382483,4195.30812728631,4233.26000894177,4254.76976206501,4262.04492372537,4265.5540920015,4276.8628153817,4280.90885234001,4281.24068821679,4312.61988906533
"h=6",4335.11904380636,4340.54172420964,4342.00428390089,4352.41236451245,4354.73754919317,4356.29999697572,4412.30173522579,4437.50758913472,4439.28761494933,4433.75825062876
"h=7",4452.45447683152,4452.9822743429,4451.38520202499,4499.61696247217,4520.11779215989,4521.01921813172,4518.81204763298,4524.96128716477,4529.20556440307,4530.57104416942
"h=8",4553.14774781345,4573.72385991423,4572.40349977646,3397.88674760457,3666.62099543068,3748.29549059377,3707.52265814018,3615.58952002182,3615.52612512646,3642.95080977102
"h=9",3861.32801038524,3961.79276802431,4002.98080588691,3983.88350454278,3976.43841286476,3939.96373122751,4045.5864001685,4193.30601993337,4316.05187225081,4319.19217442311
"h=10",4331.41890177544,4306.29677941196,4294.62300885601,4301.11899727421,4441.43308670804,4525.29302070174,4581.13811627734,4578.13998955892,4474.39177190708,4439.44122909293
"h=11",4450.13115470514,4573.38655828976,4649.19977487933,4701.01348305803,4660.73915929332,4593.75616181226,4551.28566183039,4567.09007574943,4643.31328025714,4675.85688129681
"h=12",4666.46809691156,4603.02280552632,4538.86131224088,4479.78383549355,4506.54170958252,4591.4884149822,4655.61423070526,4672.49216424636,4649.10831128091,4592.58880663498
"h=13",4524.00292327818,4489.62752427495,4574.76142167152,4652.68837078742,4666.38941738309,4646.88479256109,4596.08979231045,4536.89135535706,4484.85007260221,4648.26501324677
"h=14",4751.79103052924,4760.30920089509,4671.23463235339,4655.25603547276,4618.42725438146,4637.01849979057,4772.15282490272,4837.39113838883,4881.91574376735,4820.7998478245
"h=15",4774.41856476873,4757.75365686492,4816.0331044582,4894.56393057338,5005.14417581536,5039.72447606988,3676.4344425247,3977.79511961791,3970.7065040094,3724.02078047143
"h=16",3310.86134623909,3190.53895722085,3347.92277839837,3455.84237945941,3494.06098907306,3555.33051398524,3546.78592575728,3542.50214766844,3513.75149812936,3530.67306121702
"h=17",3554.57289098244,3594.36046375683,3650.27937776825,3645.07995909867,3643.49754575177,3626.08975945821,3639.78507474992,3623.57645736139,3644.70950697109,3778.08926941378
"h=18",3793.64886787969,3771.0979632581,3721.47344726053,3765.94597597868,3782.10278408459,3830.98608059832,3902.86594030548,3908.7734274322,3932.15064502361,3896.35051855416
"h=19",3891.06705604785,3903.09901482917,4003.82419267438,4071.38374191544,4075.93680591924,4074.43992648402,4004.85513141859,3977.98189020484,4033.29117454475,4044.07850839632
"h=20",4137.96626155369,4130.59377092785,4101.15712663576,4010.76815816189,3997.48593752536,4031.58180224029,4109.03610114638,4227.87904529129,4288.0885751526,4206.28302304808
"h=21",4132.01601695386,4181.56052362755,4212.09044796963,4249.45011666697,4105.30993952652,3833.01595540934,3772.40654425207,3843.58476503022,3927.23846108534,4010.14002894878
"h=22",4013.95414653358,4026.93548561123,4027.0408211345,4024.56984722533,3990.82171899624,4063.96711825296,4083.31063449092,4141.82758468349,4201.78062970097,2744.63461603799
"h=23",3041.69983205759,3154.91522796921,3206.03723356877,3280.67354171731,3346.81774632664,3328.13398569571,3639.37355860428,3809.95664138624,3835.51928604287,3933.77651275049
"h=24",4038.92613809716,4124.34206687618,4195.83054221007,4458.18846404669,4629.20473552284,4693.57892379753,4685.39954924031,4687.73583273744,4730.85980549028,4771.1162506907
"h=25",4879.20269840953,4979.4434366567,5004.90822237096,5046.98510538336,5054.8499193671,5126.5608107399,5134.95355495635,5229.30890153048,5327.41726961124,5385.7745304502
"h=26",5425.99995696856,5409.18321641349,5487.10193842367,5481.11584515787,5532.40444787999,5654.25610126215,5684.88992260647,5623.37016620283,5515.51313995109,5531.56505198387
"h=27",5657.6558153046,5722.57045986631,5860.72996966985,5953.10875926375,5957.61653939194,6035.11662150917,6059.59958917405,5992.59919018791,5979.09846843615,6020.21708899321
"h=28",6037.47355649956,5836.7942870128,5746.81862132525,5697.50438276282,5642.77182954186,5780.73760825088,5849.91449303421,5778.079567528,5618.05257014806,5485.99616626808
"h=29",5344.82279077218,5140.8949134475,4938.76521071335,4765.76648209329,4775.10841513608,4765.6911376696,4754.47128170528,4815.90109765986,4904.27267689113,4947.65486398236
"h=30",4836.06875427195,4858.50679360066,3329.90264484891,3548.75004696093,3619.0189885047,3663.46920219518,3666.45327797033,3700.49983886399,3683.28044662163,3866.00600380477
"h=31",3888.44259704814,3981.00322468175,4043.37203322431,3996.6337149378,3950.30125812698,3945.85539769884,4127.94426042164,4192.19655521776,4233.9519103116,4362.84681939238
"h=32",4331.24348860714,4300.44496725948,4276.57999142856,4315.87598371276,4424.86480214359,4443.08992716941,4566.57265382159,4531.41787518774,4476.58305484731,4493.86600815486
"h=33",4515.06351847939,4612.676899622,4600.64057943394,4654.95160396949,4633.77047406565,4563.48098423008,4556.53373342264,4545.80739080864,4653.26191812139,4515.16995602495
"h=34",4617.88842785352,4602.72165202859,4616.38469524098,4616.59173292788,4625.71670431597,4712.28620214733,4656.9532756328,4695.55875513545,4676.6322248416,4616.62957810954
"h=35",4628.25780813406,4520.27234973889,4552.49618596664,4531.88986017103,4606.62253603958,4646.13215634607,4598.57357500887,4644.91000751793,4624.46491301928,4714.44957943112
"h=36",4635.98278800519,4738.9432127822,4682.44686972577,4770.54309593784,4820.71274702089,4859.81241429406,4897.41056259053,4804.96959120597,4951.91262641245,4928.3661318011
"h=37",4906.83003156604,4929.87133041705,4965.99351288612,5025.05543365885,4896.90726271866,3139.55938902521,3306.45254410514,3358.57914300142,3381.27343408631,3382.86470496236
"h=38",3385.92260855545,3423.3145826276,3498.23454184117,3497.68116896029,3568.43211435947,3554.38233063328,3574.3483847877,3614.85542345679,3574.55320962179,3685.39400428558
"h=39",3721.07852361097,3777.94417972654,3804.18685069692,3809.67070234722,3801.29368755585,3784.01371027189,3820.99434564247,3831.614925114,3885.79133724801,3924.28976285736
"h=40",3938.63194452474,3946.6011067267,3949.7068317239,4007.13849874059,3965.35870290977,3995.75130457133,4007.29465264386,4020.21653850809,4031.67746717096,4017.58956941164
"h=41",3986.37929417949,3948.46621241589,3951.70050402632,3962.95967011351,3988.71890358804,3972.08020620372,3996.77735013143,4005.66675834905,3997.25775655951,4026.1409628281
"h=42",3996.2584001551,4022.14199063762,4047.62573538756,4027.59122383066,4046.00363361415,4042.38769476296,4028.46211503768,4060.12785199485,4083.50391755456,4109.96504425068
"h=43",4130.89301780738,4210.35915504759,4250.6043378508,4260.13914739326,4310.95430264199,4276.04342845211,4333.45750087883,4320.26666694212,4352.88574527822,4357.77807415194
"h=44",4429.82850406106,4431.5427249447,4450.67719586531,4475.30260035659,4432.19507932261,4468.6196839781,4477.36210760198,4486.60458636882,3217.94066722416,3337.11109645382
"h=45",3403.64638102354,3455.41298027082,3430.43030431583,3471.55621331486,3477.08972370921,3506.45339473668,3522.47518124671,3588.38461503265,3592.11562700899,3587.952384093
"h=46",3610.37891519522,3598.04686604714,3689.40805537922,3721.32437188952,3788.22531759702,3830.96024178765,3800.76430155974,3811.7786350734,3797.67839279407,3787.91521809277
"h=47",3856.05942532633,3870.86927538734,3958.11458107763,3968.22305385565,3970.32410472418,3961.07682133315,3997.02528677299,3982.82360710346,4012.29727298951,4009.88073310582
"h=48",4025.79341854907,4060.52755249783,4030.62619123294,3977.18811957108,3969.70750772924,3973.72545414102,3979.45697800519,3981.72588255687,3967.79338250847,4045.03609994143
"h=49",4031.54595944975,4023.72775643002,4062.4916846466,4014.75321661579,4057.42618899368,4060.53192340868,4035.98295928079,4031.94654119766,4034.91511760383,4065.34172727716
"h=50",4064.59870570549,4106.18907922228,4124.1177052178,4153.51133879509,4250.8613888218,4225.58190222773,4250.71682827615,4252.02732480541,4256.30651850968,4326.94626284106
"h=51",4351.90055350047,4340.42623861443,4384.08581597239,4435.25277502271,4431.16534913087,4448.12212464504,4473.13508770875,4453.88339837536,4476.77947909631,4438.76207232598
"h=52",4512.65902748221,4017.05748511196,4997.6881439197,4799.10215748959,4247.53308619713,4554.57345302678,4225.66655592674,3907.05370653801,4819.82628408638,5828.66907275628
"h=53",5273.00240366288,4527.08208287899,4828.26445754994,4642.25835754515,4455.1602046327,5175.032650554,6264.38143472657,5484.44632231403,4814.02445903091,4895.2106226187
"h=54",4688.12440216489,4524.15957468195,5167.71925201074,6107.07968299373,5422.11010044505,4894.16608395603,4757.21606727823,4754.19244564282,4559.65481383737,4891.91145560472
"h=55",5661.69786881925,5269.07798245146,4886.7478833115,4889.45539512897,4957.672969728,4895.61297891812,5411.08442091765,6431.14083775533,5805.70407610789,5165.26164667146
"h=56",5178.9942523404,5014.70307314813,5090.46168063777,5778.07315525213,6919.11112794221,6397.50820420227,5349.30579213116,5523.3011387598,5440.85151992154,5349.86109189149
"h=57",6097.40824896229,7546.75173370594,6476.57364216255,5200.1300409459,6138.89104988526,6265.83330958343,4844.86464372584,6222.82393116915,8365.93219124627,7381.29852455304
"h=58",4863.34429651987,5003.008290216,4247.21790247623,4257.63314458721,5369.92211688922,6593.40488147486,5899.5971718027,4725.65522880296,5126.58761192524,4985.43217079722
"h=59",4939.63890055674,5645.46504203662,6602.3391349474,5988.10763034609,3847.76815792106,4594.62085795272,4995.65317350249,4964.98493925745,4749.8563294885,4271.55256017918
"h=60",3821.36028370109,4237.41511623266,4970.54781467703,5046.25984000209,5056.42557207815,4944.60851546941,4446.50628733606,4507.03159763885,4672.04755822585,5345.91603407883
"h=61",5332.77879410395,5395.34993083738,5403.27296117723,5104.06971650876,4748.79100504117,4929.79915475494,5389.7605473515,5622.81182320543,5692.1346715113,5568.0240027148
"h=62",5294.9461146202,4978.12709902824,5263.47720594856,5687.42350863992,5969.69759118957,5875.39480235354,5694.45808010353,5313.01184248163,5204.37978612583,5571.93568432061
"h=63",5993.44101677088,6179.63131362422,6096.34688944678,5832.79938813238,5306.17005101831,5143.76956579368,5514.10113675284,6126.59313645061,6203.28627952997,6321.59792717293
"h=64",6110.32859221672,5582.97284461028,5309.84171311791,5634.93497390596,6213.79610156768,6340.36498701964,6437.61163198302,6062.70106990978,5666.07929037595,5278.50380354257
"h=65",5736.99993250344,6369.24686052656,6384.42531127515,6246.51044704764,6131.18757184753,5635.98798854888,5550.24881611043,6031.36729324031,6450.66114053009,6307.3861934013
"h=66",6348.29449970423,6271.96722935729,5889.37593367869,5897.42548429667,6171.40531854291,6562.94171551034,6366.13392629055,3661.93719275281,4881.49254844888,5729.186622257
"h=67",5351.90297656309,4935.50654162383,4323.46303818289,3775.99263652239,4277.90739746824,5483.49264580576,5950.22185067864,5460.57810191207,5357.1051008476,4793.32090558954
"h=68",4520.8159912097,4795.28819783556,5975.74740041592,6216.17589929089,5880.57228705402,5804.58213667279,5688.47100687559,4977.0175878702,5200.74942414376,6106.69538320247
"h=69",6624.17060161991,6342.28808669693,6253.87540329402,6525.63459563537,6421.76087027651,5765.39770692619,6632.0357498783,7068.54679484019,6706.93151555327,6818.83620879413
"h=70",7417.21158896525,6689.78317661037,6315.31845196359,7239.53452387797,7636.66608202827,7185.97680609802,7486.50755980858,8823.35015219857,7779.33036421255,6669.49126962762
"h=71",7473.952139182,7491.51169768867,8584.93244885229,8782.37271023558,11557.602864204,10000.1143651675,7347.34461263609,7641.31414670205,9405.1521383445,8827.92375333158
"h=72",10559.3043861174,14692.668109267,12295.3580649151,8930.0566370621,9655.44258532631,10125.2284849429,10225.6660949411,13296.9956071837,19444.4186760574,16183.6704052369
"h=73",10667.4028823588,11648.1530710745,11916.4277364517,11961.8008033825,16660.517124645,25565.9140600269,21018.9630547717,12690.4443922323,13847.9267737148,14096.8114975095
