"","SARIMA(1,0,0)(1,1,2)","ARIMAX (2,1,3)","SARIMAX(3,1,2)(1,0,1)","SARIMAX(3,1,3)(1,0,0)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM-regressori+dummy"
"h=1",2191.10119212513,2343.72288767183,2577.48579916463,1973.39473617618,2120.04120197368,2000.28643977273,2038.55965675837,2624.80282227587,2547.10318891869,2524.75257031779
"h=2",2416.18350999007,2572.79607868884,2791.62456500632,2101.90357472362,2278.23024658273,2111.33010323741,2130.25590053957,2948.61188306543,2977.32278174436,3266.8095722958
"h=3",2461.97228754324,2596.42183463739,2783.74318356199,2156.91097532011,2305.55801682692,2154.36811153846,2174.52963299279,2950.15939369359,3172.77323597373,3626.9458602223
"h=4",2435.76315373942,2573.90787673339,2570.18680615142,2170.33665209894,2329.58361740964,2176.51158542169,2217.51587867115,2844.90828238653,3124.60704630212,3425.60948356186
"h=5",2442.30130354209,2530.12829956956,2324.54132145699,2228.28477151994,2319.34045163043,2170.81161956522,2175.53795923913,2914.70949883763,3103.31268793658,3219.96184644281
"h=6",2443.08304561889,2528.06361203836,2244.35483184412,2262.29650170372,2340.26852306295,2179.46927070218,2222.11638523002,2710.47961850498,2826.93815096088,2869.99023790339
"h=7",2446.96288846469,2553.97003689709,2331.90572008514,2268.9333213769,2367.34311790049,2215.82510333738,2234.63668598301,2523.97083201491,2551.9439171745,2507.18317238728
"h=8",2625.59662021258,2789.79650860156,2403.31195681777,2577.51383039019,2514.51805729927,2331.65884215328,2312.24874908759,2973.25519385553,2981.57060375605,3012.5921194503
"h=9",2684.32738590657,2864.14502226951,2448.56940301958,2730.11543143595,2565.44041664634,2350.61254481707,2346.32912268293,3199.60068771018,3333.45109370793,3688.10996826545
"h=10",2700.64965642062,2909.74563175988,2511.9849395453,2794.08383357427,2617.30183808068,2382.75010947433,2388.54307279951,3132.61165778949,3453.58612737214,3940.74906153864
"h=11",2699.73676448273,2894.38770562936,2488.07950506445,2812.87965198924,2658.829125,2397.16584209559,2401.06088492647,2945.25925544268,3438.48969680763,3735.63558341418
"h=12",2697.45764945224,2883.54517777256,2477.41133143076,2878.18545763389,2627.58808470516,2399.98210042998,2409.2117546683,3009.98738083656,3461.8591306749,3701.1220515944
"h=13",2682.96681707614,2843.26777884644,2498.27872618707,2927.36469127887,2626.10156471675,2415.52984378079,2404.35992327586,2898.69139685356,3149.66655158134,3360.35752132314
"h=14",2685.08168715693,2899.28066921805,2519.30300265422,2933.57592664181,2625.16791777778,2375.24611111111,2387.62900055556,2831.91600315407,3030.53562010247,3063.24058001493
"h=15",2759.11019199438,3070.99071381136,2549.42705919032,3239.52386564473,2791.76119139851,2513.03250464109,2512.05037964109,3211.49007679345,3361.95644747929,3458.38945085468
"h=16",2788.7555498119,3186.13637673108,2606.56865226205,3451.97248150199,2833.14137047146,2526.38080961538,2505.18522673697,3468.89937567647,3707.68726355936,4106.05918335515
"h=17",2782.37624224995,3213.93479832502,2667.13107185068,3529.09472568553,2880.45822761194,2582.88639067164,2580.74863600746,3401.17844476042,3760.06086173548,4231.61703585526
"h=18",2781.21601211344,3223.30146959424,2650.13591053376,3507.99445932133,2955.7766036783,2598.86257013716,2601.04667599751,3244.72289649547,3825.29348397443,4109.03234027135
"h=19",2786.1923252009,3195.35338033543,2626.20539264763,3524.45012614272,2924.0160058125,2602.686700125,2575.7422265625,3200.11851923312,3809.81006612,4038.58233036166
"h=20",2785.90972598757,3164.37646454601,2620.60762632081,3572.17452308583,2896.42480545113,2590.6915037594,2578.06416203008,3104.78772248751,3652.61809318918,3908.84526307488
