"","SARIMA(1,0,0)(1,1,2)","ARIMAX (2,1,3)","SARIMAX(3,1,2)(1,0,1)","SARIMAX(3,1,3)(1,0,0)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM-regressori+dummy"
"h=1",13.3004570265535,14.1834272103202,14.2646325290653,11.5025145991806,12.463569865781,11.7839154847607,11.9442881468383,13.7475004441393,15.2899506542241,14.5622659500834
"h=2",14.3351427698575,15.2373309304011,15.2736528208512,12.0138756938588,13.3927741539531,12.4617012977133,12.4963104261738,14.4284288764927,17.300406258409,17.9475302083142
"h=3",14.44848827433,15.2882818653329,14.9309777060649,12.3173412997229,13.5543549622071,12.6542448806711,12.7647095592062,14.6971704051688,18.4648739035272,19.854012417136
"h=4",14.1975337062645,15.094095950854,13.8385231285418,12.3870737398441,13.7628334467052,12.871173793426,13.0716009085748,15.09625553805,17.8024282630999,18.5952066942654
"h=5",14.2394567024433,14.9252633016049,12.8120295363724,12.7728492917304,13.8518911558803,12.8861573072354,12.8624137082487,15.5216460327424,17.5972406631897,17.317791581752
"h=6",14.2617619423855,14.9341853598029,12.6973738634619,12.9144752851512,13.9544849599952,12.9496687008395,13.1774491074786,14.5637400903293,16.2922619935724,15.8636725176594
"h=7",14.2867549742473,15.2878298516098,13.0728967956854,13.2449639188547,14.0562214579256,13.1091413390537,13.2250427185849,13.7013521566799,15.4918676447866,15.0358470915826
"h=8",15.2588432374532,16.6033003763957,13.3018970707289,14.983381312959,14.5910412054072,13.4596424453385,13.3165111921151,15.517251858365,17.6247110173401,17.337412377836
"h=9",15.5874121128049,17.0527018925178,13.3804254134423,15.8849327628296,14.8004906825362,13.4982048199682,13.4985817744262,15.7985301026213,19.2052444797385,20.2676696557015
"h=10",15.6214647276217,17.303536768083,13.5608141208054,16.0948756825627,15.0926189882704,13.6883939249425,13.6778809386681,15.7696609191719,19.5539669890126,20.9837732759936
"h=11",15.543842365997,17.0994208296154,13.2841505889757,16.1108319534938,15.2857273761968,13.8188328988916,13.8138439697101,15.8701437663616,19.7757256585928,20.3944958712165
"h=12",15.5323159388529,17.1166607556916,13.315859017523,16.5239920659698,15.1502559059999,13.7932149257793,13.864065215599,16.2141148229673,19.7026015421403,20.0998635236754
"h=13",15.4903184596746,16.951949613599,13.6058123989392,16.8022721612609,15.2575799948232,13.9411266416565,13.7985205765278,15.9760339538361,18.2862883766805,18.7585279789486
"h=14",15.4957270007956,17.3404416059343,13.7834198167075,17.0429706089284,15.1649060618735,13.5699144462984,13.6948592386756,16.1049134249644,18.1938929156907,17.9078037390436
"h=15",15.9199796995576,18.286259062272,13.9899078659924,18.7031264095121,16.0385952590961,14.161619736379,14.1286132957734,16.8832144751708,19.8167979973537,19.7751046843151
"h=16",16.1119965021134,19.0048611547769,14.2670726190276,19.8655109502022,16.1600786700779,14.2693920372327,14.1548208662587,17.3000545362432,21.3220939620985,22.5532725571304
"h=17",15.7414951482654,18.8822807321319,14.4661292251846,20.1405149977815,16.5774580270939,14.599736152103,14.5607044462676,17.1057494936084,21.420977397293,22.5385763061495
"h=18",15.6770609734303,18.9364180608014,14.3147802104964,19.9912915138854,17.0182767717323,14.7647694639242,14.8239393219924,17.6242991105382,22.4813362583573,22.8195835395992
"h=19",15.6949330519795,18.6450547896651,14.1272507159086,19.8361216242214,16.8355689936748,14.7570003929787,14.6573217337978,17.1330616792749,22.1419549592364,22.4211131829922
"h=20",15.71476122303,18.502204316701,14.2367589803636,20.1304266992255,16.7812567851917,14.7136487635723,14.6506201582179,16.9900803897655,21.2350533551975,22.3222228107136
"h=21",15.7273470291732,18.6737817243399,14.1908711551478,20.2380979395976,16.6196632840012,14.5631610486174,14.5272020021183,16.6348584972948,20.1498719951332,20.7444413188914
"h=22",16.0003259069792,19.3266002409319,14.234706761175,20.8519396802124,16.7356334126074,14.8485038406807,14.6489472057543,17.1998234511963,20.7669096760494,21.8808020811305
"h=23",16.14174616326,19.7512225638088,14.4204848810558,21.5612456242346,16.8354133817014,14.6133330141036,14.6274878605576,17.4310861595494,21.383807995616,23.2318427566495
"h=24",16.0332508106775,19.8864994304398,14.9558674417268,21.6177536238259,17.0405893337781,14.9129910798799,14.6739892952038,17.5096246735476,22.0914543470063,24.2787787186514
"h=25",15.8747226648207,19.7351649646007,14.7341326336166,21.7387604417449,17.3820213624408,15.0955557674638,15.1584136651938,18.30462035227,23.1123406859512,24.5711739106523
"h=26",15.7531015059957,19.0530738622816,14.6239231154226,21.6457662908805,17.4569351247865,15.1076429453841,15.0451120159422,17.709380482075,22.7306455929035,23.9011686779465
"h=27",15.7553493886188,18.9269185005301,14.5205806044228,22.0040632800853,17.4450514715884,15.1671796974974,15.0327736738414,17.1633812537532,21.2718527960854,23.5097079297236
"h=28",15.7725528669448,19.018241802519,14.7195068880927,21.7939701292458,17.2946038173317,15.1431327564876,15.0084224741586,17.2168271805492,20.3823286718034,22.2095502305006
"h=29",16.0408952689622,19.5326042871287,15.0220856132457,22.1950834616403,17.3557153336767,15.3050525244711,15.2072136853281,17.0803799901669,21.9981043363645,23.639849751344
"h=30",16.1586525447401,20.024597570733,15.3255250987436,22.7408615860903,17.6073287351054,15.109412616755,15.0896070090525,17.2582630688306,22.613537057281,24.5671878472558
"h=31",16.2130014591881,20.2698769089786,15.4083240817396,22.6729040671936,17.3915841090079,15.1940705225116,15.1838799362611,17.5487067385423,23.6873972819301,25.1328806195425
"h=32",16.0421819729751,19.8592578697448,15.4856603104416,22.8159369244641,17.8238484848325,15.0629747545004,15.0574244726658,18.2392078496972,23.3505361698826,24.5721777548958
"h=33",16.0000592506117,19.5005697602817,15.4841826223395,22.4228246038965,17.9843520264598,15.1940366267073,15.0981754050275,18.1550859267318,22.9813092248467,24.8153635241554
"h=34",16.0148742276744,19.2676403519651,15.5233265241389,22.9814427195267,17.9307918494132,15.3253620669176,15.404733098151,18.1378048936111,22.2560431407876,24.5199722344973
"h=35",15.9987431608227,19.268603407546,15.4518197490598,22.8861835219209,17.7382679483896,15.3176428484567,15.2903224775487,18.1625511617484,22.186702233077,24.0787415730608
"h=36",16.0673536194974,19.6044026807826,15.7099441140932,22.9880051417812,17.8327311363932,15.2937143288394,15.1771147731061,18.538257230445,23.0532689527232,25.4159227002634
"h=37",16.1942487739304,19.7535698866669,16.0939986935471,23.5245470292608,17.8670407847611,15.0663204481436,15.0023796786478,18.6901939227707,23.0199494382216,26.243823847664
"h=38",16.2221732174156,19.723979303281,16.1848008809388,23.6212497042014,17.2699677226737,15.0372770561037,14.9752018847271,18.2856610750205,23.4786774360638,25.9681579877383
"h=39",16.2176016165363,19.4207833714605,15.9626274653155,23.333119231426,17.8950777505257,15.0467225292392,14.9507822412429,18.4745861008531,23.8884176989614,25.5059979378267
"h=40",16.2303232360511,19.0784946802587,16.1171169209717,22.8033880488199,18.0361385879146,15.1113823059335,15.0463905730478,17.8112150758882,23.38700227025,25.2387240274161
"h=41",16.239801875403,18.9042830532888,16.0525353812332,23.1029856280455,18.0155109294946,15.2344065849615,14.9525007988451,17.3919834793973,22.1002249345516,24.8428534994422
"h=42",16.2404009226672,19.1783854542479,15.9268553469158,23.4691900599078,17.9070222970301,15.2627207096113,15.3128319418271,18.1925524475939,21.8554115878693,24.796402540045
"h=43",16.3680712489711,19.4750741722664,16.0254332161968,23.63657338987,18.0502415131025,15.4352659425653,15.247595097773,18.3697893594181,22.7107129356428,25.2433758536622
"h=44",16.4539716342381,19.5787783618563,16.0421464472701,24.362454367951,18.1529770773986,15.3791921080184,15.3932928992378,18.4604192206998,23.0618679757765,26.0318198861477
"h=45",16.4584032191966,19.5362299618477,16.2831685643105,24.3184644869362,17.9444957607847,15.5918303646351,15.3726775917611,19.0657672476153,23.7350884925321,25.6787055974554
"h=46",16.4311625757033,19.5010976421734,16.0330348940579,24.04229306034,18.2601420410637,15.53745350628,15.4092938084004,18.0581605480946,24.3738343531778,26.5869784532163
"h=47",16.4682840124185,19.1672686882285,15.8729420202205,23.8358378665256,18.4587173999266,15.5405379073914,15.5827287274435,17.2400331355187,23.9718379028636,27.5752638329832
"h=48",16.4832111791976,18.946964624827,15.853161114921,23.8755485263596,18.3062892522764,15.7045745528295,15.6855861935362,17.6439464364565,22.9809966130802,26.9025963243728
"h=49",16.4566476351431,19.065267994744,15.8459745699313,23.250068724764,18.2822120834866,15.668257747629,15.5672594461548,17.73749175362,22.0097642506484,25.6884793550593
"h=50",16.5130687461842,19.4215954207844,16.0507665927714,23.0086222685049,17.7601178709456,15.7184560239365,15.4792170775842,17.9987416377421,22.5328300388956,25.4758165068492
"h=51",16.605685818265,19.6500940148391,16.2727716298178,22.9207711970293,17.8573834022817,15.6542936545617,15.5440404355377,18.8310844211573,23.8610179707632,26.5926260192612
"h=52",16.5785340475541,19.5764486775641,16.5747870951549,22.6761313569442,17.6901681399985,15.8551214763556,15.8683823269773,18.2834294908346,23.8304364155029,26.5846349640961
"h=53",16.5626448638019,19.523103671983,16.6491571564985,22.0600726526314,18.2195150334133,16.018917991107,15.7687321564143,17.8729844116695,24.2774077128626,27.4956996723119
"h=54",16.5936611700038,19.4482917882409,16.3507324930942,21.5890719425209,18.3737078449986,16.1418981390536,16.1060034557919,18.5606886032663,23.7467341525118,27.7170391291334
"h=55",16.595913000653,19.1344348560808,16.1287007953518,21.547683443999,18.1642914938435,16.3212696583126,16.2253638898859,18.861438441387,22.7309465866544,26.6703967043947
"h=56",16.564912073133,19.0681833553291,16.3953915876537,21.4732175185655,18.339367012621,16.3276032134427,16.2799195994617,16.2773655272699,21.8693497068407,25.2844965951311
"h=57",16.6917838867872,19.6505692328459,16.5628288031785,21.5193187087735,18.0595649222749,16.4551224568222,16.4324982475818,17.6391192135261,22.9507733896685,25.9355071085469
"h=58",16.7501609370762,19.9971951357698,16.4827904614668,21.6018450317695,18.4311784467801,16.3628155640954,16.2093951108435,19.7528341764917,24.3217453875505,29.3311678614259
"h=59",16.7513762915781,20.0781580105698,16.3011903219329,20.9386627820833,18.135065490946,16.4952218053227,16.2358856861992,19.2200585856395,25.1102736367778,30.6992112886134
"h=60",16.6540135355219,19.7910719588999,14.7927738872929,20.0533834128602,18.6147678822772,16.8211984242865,16.3341269230583,17.0064825197871,24.8402795361378,29.6413008752623
"h=61",16.6792527155524,19.5438999053241,14.5515967387951,19.4221315817141,18.4771565241354,16.769892204806,16.4579783525766,17.4901823077744,24.1368668173714,28.4348830524966
"h=62",16.675079264631,19.2521011437655,15.6002676183172,18.9815937424274,18.7055245799973,16.908866442587,16.7594957340384,14.4114319953393,23.0758390610768,27.1340940660029
"h=63",16.6447871264032,19.2537713412093,15.855561947503,18.6944854084076,18.906541281029,16.7719695711572,16.8407553563337,14.0563183192331,22.634902147263,27.0689532162981
"h=64",16.8269677224311,19.885410688281,16.2695659931834,18.3361864251297,18.7985333699387,16.8564795389258,16.804548682484,16.0298068791217,23.6481036774119,31.0263918606341
"h=65",16.914357321954,20.2423023460508,16.4714800437927,18.0845508428034,18.8514385561126,16.8589859271074,16.9794908904009,17.5423228665716,25.0381888133932,31.9361814365372
"h=66",16.9047541942237,20.4273448274118,16.0746983412088,17.9986760309018,18.521848510286,17.2318066402645,17.252030822642,17.4809607274996,25.0382959238458,32.0821272158205
"h=67",16.8404726677724,20.2078874435843,16.1266911884493,17.9142279136316,19.0586285649919,17.4082935024877,17.250105339338,17.2093926161177,25.1766680609427,29.521209530221
"h=68",16.8110320206263,20.1146864979264,16.4295659901487,17.9716111455354,19.0162792801972,17.4268925005879,17.2705823097224,18.9008653558249,25.062173222113,29.0842484619275
"h=69",16.832150314418,19.7883536092463,16.5714239079397,18.2441538180874,18.8069863819753,17.5950183397425,17.4779330323172,18.2585056222993,23.9483625503105,28.5735385212482
"h=70",16.8315444549177,19.9548484821238,17.0049756228371,18.2700263397767,18.8032261754939,17.3787619810496,17.2649075337425,18.2297235106811,23.3067297501189,27.9759177030131
"h=71",16.9586968582305,20.2834450584315,17.1114016078818,18.4447859124787,18.8801504321897,17.3735805059454,17.3402913079485,19.0043749406752,23.5909579088719,30.7477889999966
"h=72",17.0673871269645,20.4853405621517,17.4453885824549,18.0276077095637,18.9014746580857,17.3387163578493,17.2776889754849,19.8236481749191,24.5035138565171,33.0156890250312
"h=73",17.0141462056395,20.6434974793589,17.2541846859494,17.9145763484819,18.6198848722196,17.2065660229711,17.2965402115368,19.7452245241438,24.4071368828155,31.384678678602
