,data,Regione,Dose1,Dose2,DoseUnica,Booster1,Booster3Dosi,Booster2,Dose1Cum,Dose2Cum,DoseUnicaCum,Booster1Cum,Booster3DosiCum,Booster2Cum
0,2020-12-27,Emilia Romagna,973,0,0,0,0,0,973,0,0,0,0,0
1,2020-12-27,Lombardia,718,0,1,0,0,0,718,0,1,0,0,0
3,2020-12-28,Lombardia,108,0,0,0,0,0,826,0,1,0,0,0
2,2020-12-28,Emilia Romagna,1,0,0,0,0,0,974,0,0,0,0,0
4,2020-12-29,Lombardia,107,0,0,0,0,0,933,0,1,0,0,0
6,2020-12-30,Lombardia,115,0,0,0,0,0,1048,0,1,0,0,0
5,2020-12-30,Emilia Romagna,2,0,0,0,0,0,976,0,0,0,0,0
8,2020-12-31,Lombardia,715,0,0,0,0,0,1763,0,1,0,0,0
7,2020-12-31,Emilia Romagna,2216,0,7,0,0,0,3192,0,7,0,0,0
9,2021-01-01,Lombardia,25,0,0,0,0,0,1788,0,1,0,0,0
11,2021-01-02,Lombardia,202,0,0,0,0,0,1990,0,1,0,0,0
10,2021-01-02,Emilia Romagna,2380,0,1,0,0,0,5572,0,8,0,0,0
13,2021-01-03,Lombardia,857,0,1,0,0,0,2847,0,2,0,0,0
12,2021-01-03,Emilia Romagna,2766,0,0,0,0,0,8338,0,8,0,0,0
15,2021-01-04,Lombardia,6133,0,9,0,0,0,8980,0,11,0,0,0
14,2021-01-04,Emilia Romagna,7311,0,14,0,0,0,15649,0,22,0,0,0
17,2021-01-05,Lombardia,7875,0,9,0,0,0,16855,0,20,0,0,0
16,2021-01-05,Emilia Romagna,9361,0,20,0,0,0,25010,0,42,0,0,0
18,2021-01-06,Emilia Romagna,8252,0,56,0,0,0,33262,0,98,0,0,0
19,2021-01-06,Lombardia,7166,0,7,0,0,0,24021,0,27,0,0,0
20,2021-01-07,Emilia Romagna,10292,0,18,0,0,0,43554,0,116,0,0,0
21,2021-01-07,Lombardia,11770,0,51,0,0,0,35791,0,78,0,0,0
23,2021-01-08,Lombardia,12739,0,25,0,0,0,48530,0,103,0,0,0
22,2021-01-08,Emilia Romagna,10838,0,59,0,0,0,54392,0,175,0,0,0
25,2021-01-09,Lombardia,12508,0,10,0,0,0,61038,0,113,0,0,0
24,2021-01-09,Emilia Romagna,10005,0,24,0,0,0,64397,0,199,0,0,0
27,2021-01-10,Lombardia,10543,0,13,0,0,0,71581,0,126,0,0,0
26,2021-01-10,Emilia Romagna,7175,0,12,0,0,0,71572,0,211,0,0,0
29,2021-01-11,Lombardia,16295,0,29,0,0,0,87876,0,155,0,0,0
28,2021-01-11,Emilia Romagna,9341,0,22,0,0,0,80913,0,233,0,0,0
31,2021-01-12,Lombardia,20305,0,45,0,0,0,108181,0,200,0,0,0
30,2021-01-12,Emilia Romagna,9459,0,28,0,0,0,90372,0,261,0,0,0
33,2021-01-13,Lombardia,26440,0,62,0,0,0,134621,0,262,0,0,0
32,2021-01-13,Emilia Romagna,9039,0,50,0,0,0,99411,0,311,0,0,0
34,2021-01-14,Emilia Romagna,8098,0,41,0,0,0,107509,0,352,0,0,0
35,2021-01-14,Lombardia,26912,0,83,0,0,0,161533,0,345,0,0,0
37,2021-01-15,Lombardia,25241,0,71,0,0,0,186774,0,416,0,0,0
36,2021-01-15,Emilia Romagna,7748,0,14,0,0,0,115257,0,366,0,0,0
39,2021-01-16,Lombardia,15640,0,33,0,0,0,202414,0,449,0,0,0
38,2021-01-16,Emilia Romagna,5593,0,40,0,0,0,120850,0,406,0,0,0
40,2021-01-17,Emilia Romagna,2649,249,4,0,0,0,123499,249,410,0,0,0
41,2021-01-17,Lombardia,8157,201,9,0,0,0,210571,201,458,0,0,0
42,2021-01-18,Emilia Romagna,2448,681,9,0,0,0,125947,930,419,0,0,0
43,2021-01-18,Lombardia,8284,976,16,0,0,0,218855,1177,474,0,0,0
45,2021-01-19,Lombardia,7581,471,20,0,0,0,226436,1648,494,0,0,0
44,2021-01-19,Emilia Romagna,2035,17,2,0,0,0,127982,947,421,0,0,0
47,2021-01-20,Lombardia,5602,115,7,0,0,0,232038,1763,501,0,0,0
46,2021-01-20,Emilia Romagna,1331,1,2,0,0,0,129313,948,423,0,0,0
49,2021-01-21,Lombardia,4823,695,19,0,0,0,236861,2458,520,0,0,0
48,2021-01-21,Emilia Romagna,823,1349,1,0,0,0,130136,2297,424,0,0,0
50,2021-01-22,Emilia Romagna,1085,748,5,0,0,0,131221,3045,429,0,0,0
51,2021-01-22,Lombardia,3195,69,6,0,0,0,240056,2527,526,0,0,0
52,2021-01-23,Emilia Romagna,437,2009,1,0,0,0,131658,5054,430,0,0,0
53,2021-01-23,Lombardia,925,200,3,0,0,0,240981,2727,529,0,0,0
55,2021-01-24,Lombardia,538,664,0,0,0,0,241519,3391,529,0,0,0
54,2021-01-24,Emilia Romagna,299,2149,1,0,0,0,131957,7203,431,0,0,0
57,2021-01-25,Lombardia,515,6621,4,0,0,0,242034,10012,533,0,0,0
56,2021-01-25,Emilia Romagna,202,6269,2,0,0,0,132159,13472,433,0,0,0
59,2021-01-26,Lombardia,346,8056,1,0,0,0,242380,18068,534,0,0,0
58,2021-01-26,Emilia Romagna,206,8131,3,0,0,0,132365,21603,436,0,0,0
60,2021-01-27,Emilia Romagna,459,7912,1,0,0,0,132824,29515,437,0,0,0
61,2021-01-27,Lombardia,806,7271,2,0,0,0,243186,25339,536,0,0,0
62,2021-01-28,Emilia Romagna,342,9916,5,0,0,0,133166,39431,442,0,0,0
63,2021-01-28,Lombardia,796,11491,8,0,0,0,243982,36830,544,0,0,0
