"","X","id_ristorante","Location","Regione","Provincia","data","scontrini","lordototale","Prezzo_medio_per_scontrino","Giorno","Month","Year","Season","Weekend","Festivo","Popolazione","Precipitazioni.mm.","Pioggia","ColoreCOVID","Dose1","Dose2","DoseUnica","Booster1","Booster3Dosi","Booster2","Dose1Cum","Dose2Cum","DoseUnicaCum","Booster1Cum","Booster3DosiCum","Booster2Cum","BENZINA","GASOLIO_AUTO","GPL","GASOLIO_RISCALDAMENTO","O.C._FLUIDO_BTZ","O.C._DENSO_BTZ","BENZINA.LITRO","GASOLIO_AUTO.LITRO","GPL.LITRO","GASOLIO_RISCALDAMENTO.LITRO","O.C._FLUIDO_BTZ.LITRO","O.C._DENSO_BTZ.LITRO","Durum_Wheat","Feed_Barley","Maize","Milling_Wheat"
"1",784,"R000","Montebello","Lombardia","Pavia",2020-02-24,323,7367.814,22.8105696594427,"Monday","2","2020","Winter","False","False",1525,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1545.5,1439.42,630.99,1290.36,854.18,496,1.5455,1.43942,0.63099,1.29036,0.85418,0.496,262.5,181.5,176,199.5
"2",785,"R000","Montebello","Lombardia","Pavia",2020-02-25,257,6204.735,24.1429377431907,"Tuesday","2","2020","Winter","False","False",1525,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1545.5,1439.42,630.99,1290.36,854.18,496,1.5455,1.43942,0.63099,1.29036,0.85418,0.496,262.5,181.5,176,199.5
"3",786,"R000","Montebello","Lombardia","Pavia",2020-02-26,305,8036.415,26.3489016393443,"Wednesday","2","2020","Winter","False","False",1525,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1545.5,1439.42,630.99,1290.36,854.18,496,1.5455,1.43942,0.63099,1.29036,0.85418,0.496,262.5,181.5,176,199.5
"4",787,"R000","Montebello","Lombardia","Pavia",2020-02-27,357,8750.565,24.5113865546219,"Thursday","2","2020","Winter","False","False",1525,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1545.5,1439.42,630.99,1290.36,854.18,496,1.5455,1.43942,0.63099,1.29036,0.85418,0.496,267.5,181.5,176,199.5
"5",788,"R000","Montebello","Lombardia","Pavia",2020-02-28,496,12779.289,25.7646955645161,"Friday","2","2020","Winter","False","False",1525,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1545.5,1439.42,630.99,1290.36,854.18,496,1.5455,1.43942,0.63099,1.29036,0.85418,0.496,267.5,181.5,176,199.5
"6",789,"R000","Montebello","Lombardia","Pavia",2020-02-29,605,16312.725,26.9631818181818,"Saturday","2","2020","Winter","True","False",1525,1.8,"True","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1545.5,1439.42,630.99,1290.36,854.18,496,1.5455,1.43942,0.63099,1.29036,0.85418,0.496,267.5,181.5,176,199.5
"7",790,"R000","Montebello","Lombardia","Pavia",2020-03-01,514,13912.641,27.0673949416342,"Sunday","3","2020","Winter","True","True",1525,3,"True","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1545.5,1439.42,630.99,1290.36,854.18,496,1.5455,1.43942,0.63099,1.29036,0.85418,0.496,267.5,181.5,176,199.5
"8",791,"R000","Montebello","Lombardia","Pavia",2020-03-02,402,9332.523,23.2152313432836,"Monday","3","2020","Winter","False","False",1525,24.6,"True","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1540.15,1432.16,627.91,1247.64,811.73,445.75,1.54015,1.43216,0.62791,1.24764,0.81173,0.44575,267.5,181.5,176,199.5
"9",792,"R000","Montebello","Lombardia","Pavia",2020-03-03,445,9952.038,22.3641303370787,"Tuesday","3","2020","Winter","False","False",1525,4.8,"True","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1540.15,1432.16,627.91,1247.64,811.73,445.75,1.54015,1.43216,0.62791,1.24764,0.81173,0.44575,267.5,181.5,176,199.5
"10",793,"R000","Montebello","Lombardia","Pavia",2020-03-04,448,9823.788,21.9280982142857,"Wednesday","3","2020","Winter","False","False",1525,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1540.15,1432.16,627.91,1247.64,811.73,445.75,1.54015,1.43216,0.62791,1.24764,0.81173,0.44575,267.5,181.5,176,199.5
