"","X","id_ristorante","Location","Regione","Provincia","data","scontrini","lordototale","Prezzo_medio_per_scontrino","Giorno","Month","Year","Season","Weekend","Festivo","Popolazione","Precipitazioni.mm.","Pioggia","ColoreCOVID","Dose1","Dose2","DoseUnica","Booster1","Booster3Dosi","Booster2","Dose1Cum","Dose2Cum","DoseUnicaCum","Booster1Cum","Booster3DosiCum","Booster2Cum","BENZINA","GASOLIO_AUTO","GPL","GASOLIO_RISCALDAMENTO","O.C._FLUIDO_BTZ","O.C._DENSO_BTZ","BENZINA.LITRO","GASOLIO_AUTO.LITRO","GPL.LITRO","GASOLIO_RISCALDAMENTO.LITRO","O.C._FLUIDO_BTZ.LITRO","O.C._DENSO_BTZ.LITRO","Durum_Wheat","Feed_Barley","Maize","Milling_Wheat"
"1",857,"R000","Montebello","Lombardia","Pavia",2020-05-07,181,8414.766,46.4904198895028,"Thursday","5","2020","Spring","False","False",1525,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374.28,1267.15,597.69,1051.46,635.91,283.13,1.37428,1.26715,0.59769,1.05146,0.63591,0.28313,282.5,175.5,182,207.5
"2",858,"R000","Montebello","Lombardia","Pavia",2020-05-08,239,10221.093,42.766079497908,"Friday","5","2020","Spring","True","False",1525,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374.28,1267.15,597.69,1051.46,635.91,283.13,1.37428,1.26715,0.59769,1.05146,0.63591,0.28313,282.5,175.5,182,207.5
"3",859,"R000","Montebello","Lombardia","Pavia",2020-05-09,296,14122.998,47.7128310810811,"Saturday","5","2020","Spring","True","False",1525,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374.28,1267.15,597.69,1051.46,635.91,283.13,1.37428,1.26715,0.59769,1.05146,0.63591,0.28313,282.5,175.5,182,207.5
"4",860,"R000","Montebello","Lombardia","Pavia",2020-05-10,209,9927.63,47.5006220095694,"Sunday","5","2020","Spring","True","True",1525,4.6,"True","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374.28,1267.15,597.69,1051.46,635.91,283.13,1.37428,1.26715,0.59769,1.05146,0.63591,0.28313,282.5,175.5,182,207.5
"5",861,"R000","Montebello","Lombardia","Pavia",2020-05-11,237,9040.329,38.1448481012658,"Monday","5","2020","Spring","False","False",1525,15,"True","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1362.01,1252.79,595.32,1066.18,643.55,304.75,1.36201,1.25279,0.59532,1.06618,0.64355,0.30475,282.5,175.5,182,207.5
"6",862,"R000","Montebello","Lombardia","Pavia",2020-05-12,200,7023.645,35.118225,"Tuesday","5","2020","Spring","False","False",1525,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1362.01,1252.79,595.32,1066.18,643.55,304.75,1.36201,1.25279,0.59532,1.06618,0.64355,0.30475,282.5,175.5,182,207.5
"7",863,"R000","Montebello","Lombardia","Pavia",2020-05-13,228,9067.194,39.7683947368421,"Wednesday","5","2020","Spring","False","False",1525,0.6,"True","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1362.01,1252.79,595.32,1066.18,643.55,304.75,1.36201,1.25279,0.59532,1.06618,0.64355,0.30475,282.5,175.5,182,207.5
"8",864,"R000","Montebello","Lombardia","Pavia",2020-05-14,241,8526.87,35.3812033195021,"Thursday","5","2020","Spring","False","False",1525,16.4,"True","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1362.01,1252.79,595.32,1066.18,643.55,304.75,1.36201,1.25279,0.59532,1.06618,0.64355,0.30475,282.5,172.5,182,205.5
"9",865,"R000","Montebello","Lombardia","Pavia",2020-05-15,290,11130.615,38.3814310344828,"Friday","5","2020","Spring","True","False",1525,7,"True","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1362.01,1252.79,595.32,1066.18,643.55,304.75,1.36201,1.25279,0.59532,1.06618,0.64355,0.30475,282.5,172.5,182,205.5
"10",866,"R000","Montebello","Lombardia","Pavia",2020-05-16,315,13325.958,42.3046285714286,"Saturday","5","2020","Spring","True","False",1525,8,"True","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1362.01,1252.79,595.32,1066.18,643.55,304.75,1.36201,1.25279,0.59532,1.06618,0.64355,0.30475,282.5,172.5,182,205.5
