"","X","id_ristorante","Location","Regione","Provincia","data","scontrini","lordototale","Prezzo_medio_per_scontrino","Giorno","Month","Year","Season","Weekend","Festivo","Popolazione","Precipitazioni.mm.","Pioggia","ColoreCOVID","Dose1","Dose2","DoseUnica","Booster1","Booster3Dosi","Booster2","Dose1Cum","Dose2Cum","DoseUnicaCum","Booster1Cum","Booster3DosiCum","Booster2Cum","BENZINA","GASOLIO_AUTO","GPL","GASOLIO_RISCALDAMENTO","O.C._FLUIDO_BTZ","O.C._DENSO_BTZ","BENZINA.LITRO","GASOLIO_AUTO.LITRO","GPL.LITRO","GASOLIO_RISCALDAMENTO.LITRO","O.C._FLUIDO_BTZ.LITRO","O.C._DENSO_BTZ.LITRO","Durum_Wheat","Feed_Barley","Maize","Milling_Wheat"
"1",245,"R000","Montebello","Lombardia","Pavia",2018-09-03,657,16201.269,24.6594657534247,"Monday","9","2018","Summer","False","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.66,1513.18,679.96,1303.25,889.9,471.37,1.63366,1.51318,0.67996,1.30325,0.8899,0.47137,217.5,208.5,190,208
"2",246,"R000","Montebello","Lombardia","Pavia",2018-09-04,647,16409.709,25.3627650695518,"Tuesday","9","2018","Summer","False","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.66,1513.18,679.96,1303.25,889.9,471.37,1.63366,1.51318,0.67996,1.30325,0.8899,0.47137,217.5,208.5,190,208
"3",247,"R000","Montebello","Lombardia","Pavia",2018-09-05,635,15374.097,24.2111763779528,"Wednesday","9","2018","Summer","False","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.66,1513.18,679.96,1303.25,889.9,471.37,1.63366,1.51318,0.67996,1.30325,0.8899,0.47137,217.5,208.5,190,208
"4",248,"R000","Montebello","Lombardia","Pavia",2018-09-06,652,16531.074,25.3544079754601,"Thursday","9","2018","Summer","False","False",1596,19.8,"True","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.66,1513.18,679.96,1303.25,889.9,471.37,1.63366,1.51318,0.67996,1.30325,0.8899,0.47137,217.5,207.5,185,208
"5",249,"R000","Montebello","Lombardia","Pavia",2018-09-07,886,22057.704,24.8958284424379,"Friday","9","2018","Summer","False","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.66,1513.18,679.96,1303.25,889.9,471.37,1.63366,1.51318,0.67996,1.30325,0.8899,0.47137,217.5,207.5,185,208
"6",250,"R000","Montebello","Lombardia","Pavia",2018-09-08,1097,28190.457,25.69777301732,"Saturday","9","2018","Summer","True","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.66,1513.18,679.96,1303.25,889.9,471.37,1.63366,1.51318,0.67996,1.30325,0.8899,0.47137,217.5,207.5,185,208
"7",251,"R000","Montebello","Lombardia","Pavia",2018-09-09,874,21697.74,24.8257894736842,"Sunday","9","2018","Summer","True","True",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.66,1513.18,679.96,1303.25,889.9,471.37,1.63366,1.51318,0.67996,1.30325,0.8899,0.47137,217.5,207.5,185,208
"8",252,"R000","Montebello","Lombardia","Pavia",2018-09-10,627,16082.604,25.6500861244019,"Monday","9","2018","Summer","False","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642.55,1524.47,692.79,1301.57,888.33,463.15,1.64255,1.52447,0.69279,1.30157,0.88833,0.46315,217.5,207.5,185,208
"9",253,"R000","Montebello","Lombardia","Pavia",2018-09-11,589,14453.829,24.5396078098472,"Tuesday","9","2018","Summer","False","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642.55,1524.47,692.79,1301.57,888.33,463.15,1.64255,1.52447,0.69279,1.30157,0.88833,0.46315,217.5,207.5,185,208
"10",254,"R000","Montebello","Lombardia","Pavia",2018-09-12,617,16019.883,25.9641539708266,"Wednesday","9","2018","Summer","False","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642.55,1524.47,692.79,1301.57,888.33,463.15,1.64255,1.52447,0.69279,1.30157,0.88833,0.46315,217.5,207.5,185,208
"11",255,"R000","Montebello","Lombardia","Pavia",2018-09-13,576,13355.793,23.187140625,"Thursday","9","2018","Summer","False","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642.55,1524.47,692.79,1301.57,888.33,463.15,1.64255,1.52447,0.69279,1.30157,0.88833,0.46315,217.5,207.5,183,208
"12",256,"R000","Montebello","Lombardia","Pavia",2018-09-14,803,19632.483,24.4489202988792,"Friday","9","2018","Summer","False","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642.55,1524.47,692.79,1301.57,888.33,463.15,1.64255,1.52447,0.69279,1.30157,0.88833,0.46315,217.5,207.5,183,208
"13",257,"R000","Montebello","Lombardia","Pavia",2018-09-15,1308,31220.829,23.8691353211009,"Saturday","9","2018","Summer","True","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642.55,1524.47,692.79,1301.57,888.33,463.15,1.64255,1.52447,0.69279,1.30157,0.88833,0.46315,217.5,207.5,183,208
"14",258,"R000","Montebello","Lombardia","Pavia",2018-09-16,835,22766.481,27.2652467065868,"Sunday","9","2018","Summer","True","True",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642.55,1524.47,692.79,1301.57,888.33,463.15,1.64255,1.52447,0.69279,1.30157,0.88833,0.46315,217.5,207.5,183,208
"15",259,"R000","Montebello","Lombardia","Pavia",2018-09-17,521,11888.991,22.8195604606526,"Monday","9","2018","Summer","False","False",1596,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642.69,1525.41,693.52,1305.73,888.32,466.72,1.64269,1.52541,0.69352,1.30573,0.88832,0.46672,217.5,207.5,183,208
