,LOCALITA,DATA,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI
120,Piacenza,2018-01-01,3.0,1.0,5.0,3.0,100.0,2.0,7.0,11.0,0.0,1011.0,0.0,0.0,pioggia neve 
121,Piacenza,2018-01-02,7.0,0.0,12.0,2.0,60.0,17.0,15.0,33.0,0.0,1013.0,0.0,0.0,
122,Piacenza,2018-01-03,5.0,0.0,8.0,3.0,82.0,18.0,6.0,11.0,0.0,1007.0,0.0,0.0,
123,Piacenza,2018-01-04,7.0,1.0,11.0,4.0,82.0,20.0,5.0,11.0,0.0,1006.0,0.0,0.0,
124,Piacenza,2018-01-05,4.0,-1.0,6.0,5.0,100.0,6.0,4.0,9.0,0.0,1008.0,0.0,0.0,
125,Piacenza,2018-01-06,6.0,5.0,7.0,6.0,100.0,2.0,3.0,9.0,0.0,1012.0,0.0,0.0,pioggia 
126,Piacenza,2018-01-07,7.0,6.0,8.0,7.0,100.0,2.0,6.0,17.0,0.0,1018.0,0.0,0.0,pioggia nebbia 
127,Piacenza,2018-01-08,10.0,8.0,11.0,10.0,100.0,3.0,16.0,24.0,0.0,1021.0,0.0,0.0,
128,Piacenza,2018-01-09,8.0,6.0,11.0,8.0,99.0,6.0,6.0,9.0,0.0,1017.0,0.0,0.0,nebbia 
129,Piacenza,2018-01-10,7.0,4.0,9.0,7.0,100.0,8.0,5.0,8.0,0.0,1014.0,0.0,0.0,
130,Piacenza,2018-01-11,6.0,6.0,7.0,6.0,100.0,1.0,2.0,5.0,0.0,1012.0,0.0,0.0,pioggia nebbia 
131,Piacenza,2018-01-12,7.0,4.0,10.0,6.0,93.0,9.0,6.0,11.0,0.0,1019.0,0.0,0.0,
