,DATA_RILEVAZIONE,Unnamed: 0.1,Unnamed: 0,BENZINA,GASOLIO_AUTO,GPL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ,BENZINA/LITRO,GASOLIO_AUTO/LITRO,GPL/LITRO,GASOLIO_RISCALDAMENTO/LITRO,O.C._FLUIDO_BTZ/LITRO,O.C._DENSO_BTZ/LITRO
0,2022-05-01,0,6327,1766.28,1767.42,840.48,1792.83,1160.27,790.0,1.76628,1.76742,0.84048,1.79283,1.16027,0.79
1,2022-05-02,1,6328,1778.28,1791.12,844.79,1839.33,1179.45,804.78,1.77828,1.7911199999999998,0.8447899999999999,1.83933,1.17945,0.8047799999999999
2,2022-05-03,2,6329,1778.28,1791.12,844.79,1839.33,1179.45,804.78,1.77828,1.7911199999999998,0.8447899999999999,1.83933,1.17945,0.8047799999999999
3,2022-05-04,3,6330,1778.28,1791.12,844.79,1839.33,1179.45,804.78,1.77828,1.7911199999999998,0.8447899999999999,1.83933,1.17945,0.8047799999999999
4,2022-05-05,4,6331,1778.28,1791.12,844.79,1839.33,1179.45,804.78,1.77828,1.7911199999999998,0.8447899999999999,1.83933,1.17945,0.8047799999999999
5,2022-05-06,5,6332,1778.28,1791.12,844.79,1839.33,1179.45,804.78,1.77828,1.7911199999999998,0.8447899999999999,1.83933,1.17945,0.8047799999999999
6,2022-05-07,6,6333,1778.28,1791.12,844.79,1839.33,1179.45,804.78,1.77828,1.7911199999999998,0.8447899999999999,1.83933,1.17945,0.8047799999999999
7,2022-05-08,7,6334,1778.28,1791.12,844.79,1839.33,1179.45,804.78,1.77828,1.7911199999999998,0.8447899999999999,1.83933,1.17945,0.8047799999999999
8,2022-05-09,8,6335,1808.27,1830.6,837.75,1827.79,1169.09,801.11,1.80827,1.8306,0.83775,1.82779,1.16909,0.80111
9,2022-05-10,9,6336,1808.27,1830.6,837.75,1827.79,1169.09,801.11,1.80827,1.8306,0.83775,1.82779,1.16909,0.80111
10,2022-05-11,10,6337,1808.27,1830.6,837.75,1827.79,1169.09,801.11,1.80827,1.8306,0.83775,1.82779,1.16909,0.80111
11,2022-05-12,11,6338,1808.27,1830.6,837.75,1827.79,1169.09,801.11,1.80827,1.8306,0.83775,1.82779,1.16909,0.80111
12,2022-05-13,12,6339,1808.27,1830.6,837.75,1827.79,1169.09,801.11,1.80827,1.8306,0.83775,1.82779,1.16909,0.80111
13,2022-05-14,13,6340,1808.27,1830.6,837.75,1827.79,1169.09,801.11,1.80827,1.8306,0.83775,1.82779,1.16909,0.80111
14,2022-05-15,14,6341,1808.27,1830.6,837.75,1827.79,1169.09,801.11,1.80827,1.8306,0.83775,1.82779,1.16909,0.80111
15,2022-05-16,15,6342,1823.14,1827.96,834.31,1808.92,1168.18,795.89,1.8231400000000002,1.82796,0.83431,1.80892,1.16818,0.79589
16,2022-05-17,16,6343,1823.14,1827.96,834.31,1808.92,1168.18,795.89,1.8231400000000002,1.82796,0.83431,1.80892,1.16818,0.79589
17,2022-05-18,17,6344,1823.14,1827.96,834.31,1808.92,1168.18,795.89,1.8231400000000002,1.82796,0.83431,1.80892,1.16818,0.79589
18,2022-05-19,18,6345,1823.14,1827.96,834.31,1808.92,1168.18,795.89,1.8231400000000002,1.82796,0.83431,1.80892,1.16818,0.79589
19,2022-05-20,19,6346,1823.14,1827.96,834.31,1808.92,1168.18,795.89,1.8231400000000002,1.82796,0.83431,1.80892,1.16818,0.79589
20,2022-05-21,20,6347,1823.14,1827.96,834.31,1808.92,1168.18,795.89,1.8231400000000002,1.82796,0.83431,1.80892,1.16818,0.79589
21,2022-05-22,21,6348,1823.14,1827.96,834.31,1808.92,1168.18,795.89,1.8231400000000002,1.82796,0.83431,1.80892,1.16818,0.79589
22,2022-05-23,22,6349,1873.11,1819.95,832.08,1785.74,1190.0,801.89,1.8731099999999998,1.81995,0.83208,1.78574,1.19,0.80189
23,2022-05-24,23,6350,1873.11,1819.95,832.08,1785.74,1190.0,801.89,1.8731099999999998,1.81995,0.83208,1.78574,1.19,0.80189
24,2022-05-25,24,6351,1873.11,1819.95,832.08,1785.74,1190.0,801.89,1.8731099999999998,1.81995,0.83208,1.78574,1.19,0.80189
25,2022-05-26,25,6352,1873.11,1819.95,832.08,1785.74,1190.0,801.89,1.8731099999999998,1.81995,0.83208,1.78574,1.19,0.80189
26,2022-05-27,26,6353,1873.11,1819.95,832.08,1785.74,1190.0,801.89,1.8731099999999998,1.81995,0.83208,1.78574,1.19,0.80189
27,2022-05-28,27,6354,1873.11,1819.95,832.08,1785.74,1190.0,801.89,1.8731099999999998,1.81995,0.83208,1.78574,1.19,0.80189
28,2022-05-29,28,6355,1873.11,1819.95,832.08,1785.74,1190.0,801.89,1.8731099999999998,1.81995,0.83208,1.78574,1.19,0.80189
29,2022-05-30,29,6356,1885.46,1812.79,830.89,1819.29,1205.27,814.56,1.8854600000000001,1.81279,0.83089,1.81929,1.20527,0.81456
30,2022-05-31,30,6357,1885.46,1812.79,830.89,1819.29,1205.27,814.56,1.8854600000000001,1.81279,0.83089,1.81929,1.20527,0.81456
31,2022-06-01,31,6358,1885.46,1812.79,830.89,1819.29,1205.27,814.56,1.8854600000000001,1.81279,0.83089,1.81929,1.20527,0.81456
32,2022-06-02,32,6359,1885.46,1812.79,830.89,1819.29,1205.27,814.56,1.8854600000000001,1.81279,0.83089,1.81929,1.20527,0.81456
33,2022-06-03,33,6360,1885.46,1812.79,830.89,1819.29,1205.27,814.56,1.8854600000000001,1.81279,0.83089,1.81929,1.20527,0.81456
34,2022-06-04,34,6361,1885.46,1812.79,830.89,1819.29,1205.27,814.56,1.8854600000000001,1.81279,0.83089,1.81929,1.20527,0.81456
35,2022-06-05,35,6362,1885.46,1812.79,830.89,1819.29,1205.27,814.56,1.8854600000000001,1.81279,0.83089,1.81929,1.20527,0.81456
36,2022-06-06,36,6363,1940.54,1851.52,830.25,1899.71,1236.45,838.78,1.94054,1.85152,0.83025,1.89971,1.23645,0.83878
37,2022-06-07,37,6364,1940.54,1851.52,830.25,1899.71,1236.45,838.78,1.94054,1.85152,0.83025,1.89971,1.23645,0.83878
38,2022-06-08,38,6365,1940.54,1851.52,830.25,1899.71,1236.45,838.78,1.94054,1.85152,0.83025,1.89971,1.23645,0.83878
39,2022-06-09,39,6366,1940.54,1851.52,830.25,1899.71,1236.45,838.78,1.94054,1.85152,0.83025,1.89971,1.23645,0.83878
40,2022-06-10,40,6367,1940.54,1851.52,830.25,1899.71,1236.45,838.78,1.94054,1.85152,0.83025,1.89971,1.23645,0.83878
41,2022-06-11,41,6368,1940.54,1851.52,830.25,1899.71,1236.45,838.78,1.94054,1.85152,0.83025,1.89971,1.23645,0.83878
42,2022-06-12,42,6369,1940.54,1851.52,830.25,1899.71,1236.45,838.78,1.94054,1.85152,0.83025,1.89971,1.23645,0.83878
43,2022-06-13,43,6370,2014.26,1935.27,829.79,1958.48,1260.27,858.56,2.01426,1.93527,0.8297899999999999,1.95848,1.26027,0.85856
44,2022-06-14,44,6371,2014.26,1935.27,829.79,1958.48,1260.27,858.56,2.01426,1.93527,0.8297899999999999,1.95848,1.26027,0.85856
45,2022-06-15,45,6372,2014.26,1935.27,829.79,1958.48,1260.27,858.56,2.01426,1.93527,0.8297899999999999,1.95848,1.26027,0.85856
46,2022-06-16,46,6373,2014.26,1935.27,829.79,1958.48,1260.27,858.56,2.01426,1.93527,0.8297899999999999,1.95848,1.26027,0.85856
47,2022-06-17,47,6374,2014.26,1935.27,829.79,1958.48,1260.27,858.56,2.01426,1.93527,0.8297899999999999,1.95848,1.26027,0.85856
48,2022-06-18,48,6375,2014.26,1935.27,829.79,1958.48,1260.27,858.56,2.01426,1.93527,0.8297899999999999,1.95848,1.26027,0.85856
49,2022-06-19,49,6376,2014.26,1935.27,829.79,1958.48,1260.27,858.56,2.01426,1.93527,0.8297899999999999,1.95848,1.26027,0.85856
50,2022-06-20,50,6377,2063.48,2006.04,829.72,1991.41,1270.91,832.44,2.06348,2.00604,0.82972,1.9914100000000001,1.27091,0.8324400000000001
51,2022-06-21,51,6378,2063.48,2006.04,829.72,1991.41,1270.91,832.44,2.06348,2.00604,0.82972,1.9914100000000001,1.27091,0.8324400000000001
52,2022-06-22,52,6379,2063.48,2006.04,829.72,1991.41,1270.91,832.44,2.06348,2.00604,0.82972,1.9914100000000001,1.27091,0.8324400000000001
53,2022-06-23,53,6380,2063.48,2006.04,829.72,1991.41,1270.91,832.44,2.06348,2.00604,0.82972,1.9914100000000001,1.27091,0.8324400000000001
54,2022-06-24,54,6381,2063.48,2006.04,829.72,1991.41,1270.91,832.44,2.06348,2.00604,0.82972,1.9914100000000001,1.27091,0.8324400000000001
55,2022-06-25,55,6382,2063.48,2006.04,829.72,1991.41,1270.91,832.44,2.06348,2.00604,0.82972,1.9914100000000001,1.27091,0.8324400000000001
56,2022-06-26,56,6383,2063.48,2006.04,829.72,1991.41,1270.91,832.44,2.06348,2.00604,0.82972,1.9914100000000001,1.27091,0.8324400000000001
57,2022-06-27,57,6384,2073.98,2033.83,829.63,2011.59,1270.45,806.0,2.07398,2.03383,0.82963,2.01159,1.27045,0.806
58,2022-06-28,58,6385,2073.98,2033.83,829.63,2011.59,1270.45,806.0,2.07398,2.03383,0.82963,2.01159,1.27045,0.806
59,2022-06-29,59,6386,2073.98,2033.83,829.63,2011.59,1270.45,806.0,2.07398,2.03383,0.82963,2.01159,1.27045,0.806
60,2022-06-30,60,6387,2073.98,2033.83,829.63,2011.59,1270.45,806.0,2.07398,2.03383,0.82963,2.01159,1.27045,0.806
61,2022-07-01,61,6388,2073.98,2033.83,829.63,2011.59,1270.45,806.0,2.07398,2.03383,0.82963,2.01159,1.27045,0.806
62,2022-07-02,62,6389,2073.98,2033.83,829.63,2011.59,1270.45,806.0,2.07398,2.03383,0.82963,2.01159,1.27045,0.806
63,2022-07-03,63,6390,2073.98,2033.83,829.63,2011.59,1270.45,806.0,2.07398,2.03383,0.82963,2.01159,1.27045,0.806
64,2022-07-04,64,6391,2065.05,2022.53,828.89,1972.42,1229.36,818.0,2.0650500000000003,2.02253,0.82889,1.97242,1.22936,0.818
