,Reference period,Durum_Wheat,Feed_Barley,Maize,Milling_Wheat
0,2022-05-01,525.5,376.0,376.0,388.0
1,2022-05-02,525.5,376.0,376.0,388.0
2,2022-05-03,525.5,376.0,376.0,388.0
3,2022-05-04,525.5,376.0,376.0,388.0
4,2022-05-05,525.5,381.0,378.0,392.0
5,2022-05-06,525.5,381.0,378.0,392.0
6,2022-05-07,525.5,381.0,378.0,392.0
7,2022-05-08,525.5,381.0,378.0,392.0
8,2022-05-09,525.5,381.0,378.0,392.0
9,2022-05-10,525.5,381.0,378.0,392.0
10,2022-05-11,525.5,381.0,378.0,392.0
11,2022-05-12,525.5,381.0,378.0,392.0
12,2022-05-13,525.5,381.0,378.0,392.0
13,2022-05-14,525.5,381.0,378.0,392.0
14,2022-05-15,525.5,381.0,378.0,392.0
15,2022-05-16,525.5,381.0,378.0,392.0
16,2022-05-17,525.5,381.0,378.0,392.0
17,2022-05-18,525.5,381.0,378.0,392.0
18,2022-05-19,525.5,,378.0,393.0
19,2022-05-20,525.5,,378.0,393.0
20,2022-05-21,525.5,,378.0,393.0
21,2022-05-22,525.5,,378.0,393.0
22,2022-05-23,525.5,,378.0,393.0
23,2022-05-24,525.5,,378.0,393.0
24,2022-05-25,525.5,,378.0,393.0
25,2022-05-26,525.5,,378.0,393.0
26,2022-05-27,525.5,,378.0,393.0
27,2022-05-28,525.5,,378.0,393.0
28,2022-05-29,525.5,,378.0,393.0
29,2022-05-30,525.5,,378.0,393.0
30,2022-05-31,525.5,,378.0,393.0
31,2022-06-01,525.5,,378.0,393.0
32,2022-06-02,536.5,,382.0,404.0
33,2022-06-03,536.5,,382.0,404.0
34,2022-06-04,536.5,,382.0,404.0
35,2022-06-05,536.5,,382.0,404.0
36,2022-06-06,536.5,,382.0,404.0
37,2022-06-07,536.5,,382.0,404.0
38,2022-06-08,536.5,,382.0,404.0
39,2022-06-09,542.5,,374.0,399.0
40,2022-06-10,542.5,,374.0,399.0
41,2022-06-11,542.5,,374.0,399.0
42,2022-06-12,542.5,,374.0,399.0
43,2022-06-13,542.5,,374.0,399.0
44,2022-06-14,542.5,,374.0,399.0
45,2022-06-15,542.5,,374.0,399.0
46,2022-06-16,542.5,,364.0,392.0
47,2022-06-17,542.5,,364.0,392.0
48,2022-06-18,542.5,,364.0,392.0
49,2022-06-19,542.5,,364.0,392.0
50,2022-06-20,542.5,,364.0,392.0
51,2022-06-21,542.5,,364.0,392.0
52,2022-06-22,542.5,,364.0,392.0
53,2022-06-23,542.5,320.5,356.0,392.0
54,2022-06-24,542.5,320.5,356.0,392.0
55,2022-06-25,542.5,320.5,356.0,392.0
56,2022-06-26,542.5,320.5,356.0,392.0
57,2022-06-27,542.5,320.5,356.0,392.0
58,2022-06-28,542.5,320.5,356.0,392.0
59,2022-06-29,542.5,320.5,356.0,392.0
60,2022-06-30,,325.5,356.0,
61,2022-07-01,,325.5,356.0,
62,2022-07-02,,325.5,356.0,
63,2022-07-03,,325.5,356.0,
64,2022-07-04,,325.5,356.0,
65,2022-07-05,,325.5,356.0,
66,2022-07-06,,325.5,356.0,
67,2022-07-07,544.5,325.5,354.0,362.5
68,2022-07-08,544.5,325.5,354.0,362.5
69,2022-07-09,544.5,325.5,354.0,362.5
70,2022-07-10,544.5,325.5,354.0,362.5
71,2022-07-11,544.5,325.5,354.0,362.5
72,2022-07-12,544.5,325.5,354.0,362.5
73,2022-07-13,544.5,325.5,354.0,362.5
74,2022-07-14,529.5,325.5,347.0,356.5
75,2022-07-15,529.5,325.5,347.0,356.5
76,2022-07-16,529.5,325.5,347.0,356.5
77,2022-07-17,529.5,325.5,347.0,356.5
78,2022-07-18,529.5,325.5,347.0,356.5
79,2022-07-19,529.5,325.5,347.0,356.5
80,2022-07-20,529.5,325.5,347.0,356.5
81,2022-07-21,499.5,325.5,357.0,356.5
82,2022-07-22,499.5,325.5,357.0,356.5
83,2022-07-23,499.5,325.5,357.0,356.5
84,2022-07-24,499.5,325.5,357.0,356.5
85,2022-07-25,499.5,325.5,357.0,356.5
86,2022-07-26,499.5,325.5,357.0,356.5
87,2022-07-27,499.5,325.5,357.0,356.5
88,2022-07-28,494.5,325.5,374.0,356.5
89,2022-07-29,494.5,325.5,374.0,356.5
90,2022-07-30,494.5,325.5,374.0,356.5
91,2022-07-31,494.5,325.5,374.0,356.5
92,2022-08-01,494.5,325.5,374.0,356.5
93,2022-08-02,494.5,325.5,374.0,356.5
94,2022-08-03,494.5,325.5,374.0,356.5
95,2022-08-04,499.5,328.5,384.0,356.5
96,2022-08-05,499.5,328.5,384.0,356.5
97,2022-08-06,499.5,328.5,384.0,356.5
98,2022-08-07,499.5,328.5,384.0,356.5
99,2022-08-08,499.5,328.5,384.0,356.5
100,2022-08-09,499.5,328.5,384.0,356.5
101,2022-08-10,499.5,328.5,384.0,356.5
102,2022-08-11,504.5,330.5,384.0,359.5
103,2022-08-12,504.5,330.5,384.0,359.5
104,2022-08-13,504.5,330.5,384.0,359.5
105,2022-08-14,504.5,330.5,384.0,359.5
106,2022-08-15,504.5,330.5,384.0,359.5
107,2022-08-16,504.5,330.5,384.0,359.5
108,2022-08-17,504.5,330.5,384.0,359.5
