LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Pavia;1/2/2018;"6";"6";"7";"6";"100";"3";"8";"18";"0";"1005";"0";"0";"pioggia nebbia "
Pavia;2/2/2018;"6";"5";"7";"6";"94";"8";"7";"15";"0";"1004";"0";"0";""
Pavia;3/2/2018;"5";"2";"8";"2";"82";"20";"6";"13";"0";"1003";"0";"0";""
Pavia;4/2/2018;"4";"-1";"7";"1";"79";"20";"5";"11";"0";"1014";"0";"0";"pioggia nebbia "
Pavia;5/2/2018;"5";"4";"6";"2";"80";"15";"8";"15";"0";"1021";"0";"0";"pioggia "
Pavia;6/2/2018;"4";"2";"6";"3";"91";"13";"7";"13";"0";"1015";"0";"0";"pioggia "
Pavia;7/2/2018;"5";"2";"9";"3";"86";"17";"6";"13";"0";"1007";"0";"0";"pioggia "
Pavia;8/2/2018;"6";"0";"10";"4";"85";"12";"5";"15";"0";"1013";"0";"0";"nebbia "
Pavia;9/2/2018;"7";"5";"11";"4";"80";"19";"6";"15";"0";"1015";"0";"0";"pioggia "
Pavia;10/2/2018;"6";"3";"10";"3";"80";"15";"8";"15";"0";"1012";"0";"0";"pioggia "
Pavia;11/2/2018;"5";"1";"8";"2";"82";"11";"5";"13";"0";"1011";"0";"0";"nebbia "
Pavia;12/2/2018;"5";"2";"9";"1";"76";"9";"8";"15";"0";"1010";"0";"0";""
Pavia;13/2/2018;"4";"0";"8";"1";"67";"20";"5";"13";"0";"1013";"0";"0";""
Pavia;14/2/2018;"3";"-2";"8";"0";"58";"21";"5";"13";"0";"1015";"0";"0";""
Pavia;15/2/2018;"3";"-1";"8";"0";"63";"19";"4";"13";"0";"1022";"0";"0";""
Pavia;16/2/2018;"4";"0";"7";"1";"70";"10";"5";"9";"0";"1024";"0";"0";""
Pavia;17/2/2018;"6";"2";"8";"2";"70";"6";"5";"9";"0";"1022";"0";"0";""
Pavia;18/2/2018;"5";"2";"8";"3";"85";"7";"7";"17";"0";"1019";"0";"0";"pioggia nebbia "
Pavia;19/2/2018;"5";"2";"6";"1";"68";"17";"6";"11";"0";"1018";"0";"0";"pioggia "
Pavia;20/2/2018;"4";"2";"8";"0";"69";"12";"4";"15";"0";"1010";"0";"0";""
Pavia;21/2/2018;"5";"0";"9";"0";"68";"9";"6";"13";"0";"1009";"0";"0";""
Pavia;22/2/2018;"4";"3";"5";"2";"78";"18";"4";"8";"0";"1008";"0";"0";"pioggia "
Pavia;23/2/2018;"3";"1";"4";"2";"94";"7";"5";"11";"0";"1009";"0";"0";"pioggia neve "
Pavia;24/2/2018;"6";"4";"10";"3";"81";"16";"4";"11";"0";"1010";"0";"0";"pioggia "
Pavia;25/2/2018;"2";"0";"7";"1";"75";"17";"20";"26";"0";"1013";"0";"0";"neve "
Pavia;26/2/2018;"-2";"-3";"-1";"0";"55";"19";"9";"18";"0";"1013";"0";"0";""
Pavia;27/2/2018;"-3";"-5";"0";"0";"56";"20";"4";"9";"0";"1011";"0";"0";""
Pavia;28/2/2018;"-3";"-5";"0";"0";"63";"20";"7";"11";"0";"1016";"0";"0";""
