LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Pavia;1/6/2018;"23";"18";"28";"15";"62";"20";"10";"15";"0";"1017";"0";"0";""
Pavia;2/6/2018;"23";"18";"29";"15";"62";"20";"8";"13";"0";"1017";"0";"0";""
Pavia;3/6/2018;"24";"18";"29";"16";"60";"20";"6";"9";"0";"1016";"0";"0";"pioggia temporale "
Pavia;4/6/2018;"21";"19";"26";"18";"81";"17";"7";"21";"0";"1011";"0";"0";"pioggia temporale "
Pavia;5/6/2018;"23";"18";"29";"17";"68";"15";"8";"13";"0";"1009";"0";"0";""
Pavia;6/6/2018;"23";"18";"27";"15";"62";"21";"10";"18";"0";"1013";"0";"0";""
Pavia;7/6/2018;"23";"19";"28";"15";"61";"21";"9";"21";"0";"1015";"0";"0";"pioggia "
Pavia;8/6/2018;"21";"18";"25";"16";"76";"17";"6";"13";"0";"1013";"0";"0";"pioggia "
Pavia;9/6/2018;"23";"17";"29";"16";"67";"19";"9";"13";"0";"1011";"0";"0";""
Pavia;10/6/2018;"26";"21";"30";"18";"60";"19";"10";"15";"0";"1011";"0";"0";""
Pavia;11/6/2018;"25";"19";"29";"18";"67";"20";"6";"13";"0";"1010";"0";"0";"pioggia "
Pavia;12/6/2018;"24";"19";"27";"18";"70";"20";"8";"18";"0";"1006";"0";"0";"pioggia temporale "
Pavia;13/6/2018;"21";"17";"25";"17";"78";"17";"7";"11";"0";"1005";"0";"0";"pioggia temporale "
Pavia;14/6/2018;"22";"18";"27";"15";"68";"19";"6";"13";"0";"1008";"0";"0";"pioggia "
Pavia;15/6/2018;"23";"19";"27";"15";"61";"20";"10";"74";"0";"1011";"0";"0";""
Pavia;16/6/2018;"24";"20";"29";"14";"52";"20";"8";"11";"0";"1012";"0";"0";""
Pavia;17/6/2018;"25";"19";"30";"15";"55";"21";"6";"13";"0";"1013";"0";"0";""
Pavia;18/6/2018;"25";"20";"30";"16";"57";"20";"9";"17";"0";"1016";"0";"0";"pioggia temporale "
Pavia;19/6/2018;"26";"20";"30";"16";"56";"20";"8";"15";"0";"1019";"0";"0";""
Pavia;20/6/2018;"27";"23";"31";"16";"53";"21";"8";"13";"0";"1019";"0";"0";""
Pavia;21/6/2018;"26";"21";"32";"18";"62";"18";"5";"11";"0";"1016";"0";"0";""
Pavia;22/6/2018;"26";"21";"30";"18";"60";"20";"16";"26";"0";"1012";"0";"0";""
Pavia;23/6/2018;"24";"19";"26";"11";"46";"22";"11";"17";"0";"1019";"0";"0";""
Pavia;24/6/2018;"22";"17";"26";"10";"48";"22";"9";"17";"0";"1017";"0";"0";""
Pavia;25/6/2018;"22";"18";"26";"13";"58";"20";"12";"21";"0";"1016";"0";"0";""
Pavia;26/6/2018;"23";"18";"27";"11";"48";"21";"9";"15";"0";"1018";"0";"0";""
Pavia;27/6/2018;"24";"16";"30";"12";"50";"19";"9";"33";"0";"1014";"0";"0";""
Pavia;28/6/2018;"24";"17";"29";"11";"45";"21";"9";"17";"0";"1011";"0";"0";""
Pavia;29/6/2018;"28";"22";"31";"12";"38";"19";"8";"15";"0";"1010";"0";"0";""
Pavia;30/6/2018;"27";"20";"33";"15";"48";"21";"8";"15";"0";"1009";"0";"0";""
