LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Pavia;1/3/2018;"-2";"-3";"0";"0";"94";"2";"5";"15";"0";"1013";"0";"0";"neve "
Pavia;2/3/2018;"0";"-1";"2";"1";"94";"2";"8";"15";"0";"999";"0";"0";"pioggia neve "
Pavia;3/3/2018;"0";"-3";"2";"1";"98";"3";"6";"17";"0";"999";"0";"0";"pioggia neve nebbia "
Pavia;4/3/2018;"2";"0";"5";"1";"97";"3";"6";"15";"0";"1004";"0";"0";"pioggia nebbia "
Pavia;5/3/2018;"5";"2";"9";"4";"94";"3";"5";"9";"0";"999";"0";"0";"pioggia "
Pavia;6/3/2018;"6";"4";"8";"5";"95";"6";"5";"9";"0";"993";"0";"0";"pioggia nebbia "
Pavia;7/3/2018;"6";"3";"9";"5";"94";"4";"7";"11";"0";"999";"0";"0";"pioggia nebbia "
Pavia;8/3/2018;"8";"0";"15";"3";"73";"15";"5";"11";"0";"1009";"0";"0";"nebbia "
Pavia;9/3/2018;"10";"6";"15";"4";"66";"21";"6";"15";"0";"1015";"0";"0";""
Pavia;10/3/2018;"9";"9";"11";"8";"93";"11";"5";"15";"0";"1014";"0";"0";"pioggia "
Pavia;11/3/2018;"9";"7";"10";"9";"99";"3";"7";"15";"0";"1004";"0";"0";"pioggia "
Pavia;12/3/2018;"9";"7";"13";"7";"88";"12";"7";"17";"0";"1002";"0";"0";"pioggia "
Pavia;13/3/2018;"11";"6";"17";"6";"76";"17";"5";"13";"0";"1006";"0";"0";"nebbia "
Pavia;14/3/2018;"12";"4";"18";"4";"58";"18";"7";"15";"0";"1010";"0";"0";""
Pavia;15/3/2018;"8";"7";"9";"6";"88";"10";"10";"21";"0";"1005";"0";"0";"pioggia "
Pavia;16/3/2018;"10";"7";"15";"6";"77";"20";"7";"17";"0";"1002";"0";"0";"pioggia "
Pavia;17/3/2018;"9";"7";"10";"8";"93";"10";"10";"17";"0";"995";"0";"0";"pioggia "
Pavia;18/3/2018;"7";"6";"9";"6";"94";"19";"10";"18";"0";"996";"0";"0";"pioggia "
Pavia;19/3/2018;"4";"3";"6";"3";"91";"17";"10";"18";"0";"1001";"0";"0";"pioggia "
Pavia;20/3/2018;"6";"3";"9";"2";"78";"18";"9";"24";"0";"1006";"0";"0";"pioggia "
Pavia;21/3/2018;"6";"1";"8";"1";"64";"17";"8";"15";"0";"1018";"0";"0";"pioggia "
Pavia;22/3/2018;"6";"2";"10";"0";"55";"19";"8";"13";"0";"1014";"0";"0";""
Pavia;23/3/2018;"7";"0";"13";"1";"61";"20";"7";"13";"0";"1003";"0";"0";""
Pavia;24/3/2018;"8";"5";"12";"2";"59";"20";"11";"18";"0";"1004";"0";"0";""
Pavia;25/3/2018;"9";"5";"13";"1";"54";"20";"8";"13";"0";"1007";"0";"0";""
Pavia;26/3/2018;"10";"3";"16";"2";"58";"20";"6";"17";"0";"1010";"0";"0";""
Pavia;27/3/2018;"11";"4";"18";"2";"56";"20";"5";"13";"0";"1012";"0";"0";""
Pavia;28/3/2018;"11";"7";"16";"6";"67";"16";"6";"11";"0";"1010";"0";"0";""
Pavia;29/3/2018;"12";"10";"14";"9";"80";"6";"7";"15";"0";"1006";"0";"0";"pioggia "
Pavia;30/3/2018;"13";"9";"18";"8";"74";"11";"12";"21";"0";"1005";"0";"0";"pioggia "
Pavia;31/3/2018;"11";"8";"15";"6";"75";"19";"10";"24";"0";"997";"0";"0";"pioggia "
