LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Pavia;1/12/2019;"8";"7";"8";"7";"93";"8";"5";"13";"0";"1020";"0";"0";"pioggia "
Pavia;2/12/2019;"7";"6";"10";"6";"89";"17";"7";"11";"0";"1016";"0";"0";"pioggia "
Pavia;3/12/2019;"9";"7";"11";"4";"74";"20";"8";"15";"0";"1024";"0";"0";""
Pavia;4/12/2019;"5";"2";"8";"1";"69";"19";"5";"11";"0";"1026";"0";"0";""
Pavia;5/12/2019;"3";"0";"8";"2";"88";"16";"3";"8";"0";"1026";"0";"0";"nebbia "
Pavia;6/12/2019;"3";"-1";"7";"3";"89";"9";"4";"9";"0";"1024";"0";"0";"nebbia "
Pavia;7/12/2019;"6";"2";"10";"3";"81";"19";"6";"11";"0";"1019";"0";"0";""
Pavia;8/12/2019;"6";"2";"10";"4";"87";"8";"5";"9";"0";"1019";"0";"0";"pioggia neve nebbia "
Pavia;9/12/2019;"7";"4";"10";"5";"91";"4";"4";"9";"0";"1009";"0";"0";"pioggia nebbia "
Pavia;10/12/2019;"9";"2";"14";"2";"45";"18";"15";"37";"0";"1017";"0";"0";"nebbia "
Pavia;11/12/2019;"4";"0";"7";"1";"70";"20";"5";"11";"0";"1016";"0";"0";""
Pavia;12/12/2019;"3";"2";"5";"1";"87";"14";"6";"11";"0";"1006";"0";"0";"pioggia "
Pavia;13/12/2019;"2";"0";"4";"1";"92";"13";"9";"22";"0";"993";"0";"0";"pioggia neve "
Pavia;14/12/2019;"4";"0";"10";"2";"80";"19";"7";"18";"0";"1002";"0";"0";""
Pavia;15/12/2019;"5";"1";"7";"3";"90";"14";"5";"11";"0";"1015";"0";"0";"pioggia "
Pavia;16/12/2019;"7";"6";"8";"7";"98";"3";"3";"8";"0";"1021";"0";"0";"pioggia "
Pavia;17/12/2019;"8";"7";"9";"7";"95";"5";"4";"9";"0";"1019";"0";"0";"pioggia "
Pavia;18/12/2019;"9";"8";"10";"8";"95";"4";"3";"8";"0";"1023";"0";"0";"pioggia "
Pavia;19/12/2019;"10";"9";"12";"10";"97";"3";"6";"11";"0";"1020";"0";"0";"pioggia nebbia "
Pavia;20/12/2019;"10";"9";"11";"9";"93";"6";"16";"39";"0";"1006";"0";"0";"pioggia nebbia "
Pavia;21/12/2019;"9";"6";"11";"8";"95";"15";"8";"17";"0";"994";"0";"0";"pioggia "
Pavia;22/12/2019;"9";"7";"12";"7";"84";"19";"10";"18";"0";"990";"0";"0";"pioggia "
Pavia;23/12/2019;"10";"5";"15";"2";"57";"19";"13";"21";"0";"1006";"0";"0";""
Pavia;24/12/2019;"9";"4";"13";"2";"58";"20";"8";"21";"0";"1015";"0";"0";""
Pavia;25/12/2019;"8";"1";"16";"1";"59";"21";"7";"15";"0";"1015";"0";"0";""
Pavia;26/12/2019;"4";"0";"10";"2";"80";"21";"4";"8";"0";"1022";"0";"0";""
Pavia;27/12/2019;"3";"0";"10";"2";"85";"17";"4";"9";"0";"1023";"0";"0";"nebbia "
Pavia;28/12/2019;"3";"0";"9";"2";"87";"16";"3";"8";"0";"1030";"0";"0";"nebbia "
Pavia;29/12/2019;"2";"0";"6";"3";"97";"1";"4";"9";"0";"1034";"0";"0";"nebbia "
Pavia;30/12/2019;"4";"1";"6";"2";"86";"9";"7";"13";"0";"1036";"0";"0";""
Pavia;31/12/2019;"3";"-1";"8";"2";"88";"10";"5";"9";"0";"1031";"0";"0";"nebbia "
