LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Pavia;1/11/2019;"12";"11";"14";"8";"72";"21";"5";"8";"0";"1017";"0";"0";""
Pavia;2/11/2019;"11";"10";"12";"9";"87";"9";"4";"8";"0";"1009";"0";"0";"pioggia "
Pavia;3/11/2019;"11";"10";"12";"10";"96";"10";"7";"13";"0";"995";"0";"0";"pioggia "
Pavia;4/11/2019;"12";"7";"15";"10";"90";"17";"7";"13";"0";"997";"0";"0";"nebbia "
Pavia;5/11/2019;"13";"10";"16";"11";"89";"12";"6";"13";"0";"997";"0";"0";"pioggia nebbia "
Pavia;6/11/2019;"10";"7";"11";"9";"94";"14";"5";"9";"0";"1003";"0";"0";"pioggia temporale nebbia "
Pavia;7/11/2019;"9";"6";"10";"8";"93";"10";"7";"21";"0";"1007";"0";"0";"pioggia nebbia "
Pavia;8/11/2019;"10";"9";"12";"9";"89";"17";"11";"24";"0";"1003";"0";"0";"pioggia temporale "
Pavia;9/11/2019;"9";"5";"14";"6";"84";"21";"6";"15";"0";"1008";"0";"0";"pioggia temporale nebbia "
Pavia;10/11/2019;"8";"4";"13";"6";"89";"12";"4";"11";"0";"1011";"0";"0";"nebbia "
Pavia;11/11/2019;"8";"5";"10";"6";"89";"13";"5";"11";"0";"1013";"0";"0";"pioggia nebbia "
Pavia;12/11/2019;"8";"7";"10";"7";"91";"14";"6";"11";"0";"1002";"0";"0";"pioggia "
Pavia;13/11/2019;"9";"5";"15";"5";"75";"14";"7";"17";"0";"999";"0";"0";"nebbia "
Pavia;14/11/2019;"7";"2";"11";"3";"75";"16";"8";"31";"0";"1007";"0";"0";"pioggia "
Pavia;15/11/2019;"8";"5";"12";"6";"90";"11";"12";"44";"0";"1001";"0";"0";"pioggia "
Pavia;16/11/2019;"8";"6";"10";"7";"92";"10";"4";"9";"0";"1011";"0";"0";"pioggia "
Pavia;17/11/2019;"7";"6";"8";"7";"94";"10";"6";"11";"0";"1004";"0";"0";"pioggia "
Pavia;18/11/2019;"7";"5";"9";"6";"93";"8";"5";"9";"0";"1012";"0";"0";"pioggia nebbia "
Pavia;19/11/2019;"8";"7";"10";"8";"97";"7";"6";"9";"0";"1015";"0";"0";"pioggia "
Pavia;20/11/2019;"9";"9";"11";"9";"95";"5";"6";"13";"0";"1013";"0";"0";"pioggia "
Pavia;21/11/2019;"10";"9";"11";"9";"92";"6";"6";"13";"0";"1012";"0";"0";"pioggia "
Pavia;22/11/2019;"10";"10";"11";"9";"93";"5";"10";"17";"0";"1012";"0";"0";"pioggia "
Pavia;23/11/2019;"12";"10";"14";"9";"85";"17";"21";"35";"0";"1005";"0";"0";"pioggia "
Pavia;24/11/2019;"12";"11";"14";"10";"86";"17";"13";"33";"0";"1006";"0";"0";"pioggia "
Pavia;25/11/2019;"13";"9";"19";"11";"83";"19";"7";"13";"0";"1009";"0";"0";"pioggia nebbia "
Pavia;26/11/2019;"10";"6";"13";"9";"94";"12";"3";"9";"0";"1009";"0";"0";"pioggia nebbia "
Pavia;27/11/2019;"10";"10";"11";"10";"96";"7";"8";"18";"0";"1005";"0";"0";"pioggia "
Pavia;28/11/2019;"10";"7";"12";"9";"93";"13";"6";"9";"0";"1004";"0";"0";""
Pavia;29/11/2019;"6";"3";"9";"6";"96";"2";"5";"9";"0";"1009";"0";"0";"nebbia "
Pavia;30/11/2019;"5";"2";"8";"5";"96";"4";"8";"17";"0";"1018";"0";"0";"nebbia "
