LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Pavia;1/1/2020;"2";"-3";"10";"2";"85";"9";"4";"9";"0";"1031";"0";"0";"nebbia "
Pavia;2/1/2020;"2";"-2";"8";"2";"86";"15";"5";"9";"0";"1032";"0";"0";"nebbia "
Pavia;3/1/2020;"3";"-1";"8";"2";"88";"14";"3";"8";"0";"1027";"0";"0";"nebbia "
Pavia;4/1/2020;"5";"-1";"10";"2";"78";"19";"6";"17";"0";"1023";"0";"0";"nebbia "
Pavia;5/1/2020;"5";"-1";"13";"2";"76";"19";"4";"9";"0";"1027";"0";"0";"nebbia "
Pavia;6/1/2020;"1";"-1";"4";"1";"95";"9";"5";"8";"0";"1031";"0";"0";"nebbia "
Pavia;7/1/2020;"0";"-1";"2";"1";"99";"0";"6";"9";"0";"1028";"0";"0";"nebbia "
Pavia;8/1/2020;"1";"0";"2";"1";"99";"1";"6";"11";"0";"1031";"0";"0";"pioggia nebbia "
Pavia;9/1/2020;"1";"-2";"6";"2";"95";"3";"4";"9";"0";"1027";"0";"0";"nebbia "
Pavia;10/1/2020;"5";"1";"8";"3";"89";"5";"4";"11";"0";"1025";"0";"0";"nebbia "
Pavia;11/1/2020;"3";"-2";"11";"3";"88";"8";"3";"8";"0";"1028";"0";"0";"pioggia nebbia "
Pavia;12/1/2020;"3";"-2";"9";"2";"87";"15";"3";"8";"0";"1028";"0";"0";"neve nebbia "
Pavia;13/1/2020;"1";"-3";"7";"1";"89";"6";"3";"5";"0";"1026";"0";"0";"neve nebbia "
Pavia;14/1/2020;"3";"0";"6";"2";"88";"9";"5";"9";"0";"1026";"0";"0";"nebbia "
Pavia;15/1/2020;"5";"4";"6";"4";"92";"4";"4";"9";"0";"1029";"0";"0";"pioggia "
Pavia;16/1/2020;"5";"1";"9";"3";"85";"5";"4";"9";"0";"1030";"0";"0";"nebbia "
Pavia;17/1/2020;"5";"-1";"11";"2";"81";"10";"5";"11";"0";"1025";"0";"0";"pioggia nebbia "
Pavia;18/1/2020;"6";"2";"9";"5";"93";"6";"6";"13";"0";"1023";"0";"0";"pioggia nebbia "
Pavia;19/1/2020;"4";"0";"8";"2";"90";"12";"6";"11";"0";"1028";"0";"0";"nebbia "
Pavia;20/1/2020;"4";"0";"9";"1";"63";"19";"6";"9";"0";"1040";"0";"0";""
Pavia;21/1/2020;"2";"-1";"7";"0";"77";"19";"4";"9";"0";"1042";"0";"0";""
Pavia;22/1/2020;"3";"-3";"9";"0";"74";"18";"5";"13";"0";"1034";"0";"0";""
Pavia;23/1/2020;"3";"-1";"9";"0";"76";"19";"5";"9";"0";"1031";"0";"0";""
Pavia;24/1/2020;"4";"-1";"9";"2";"77";"12";"4";"9";"0";"1027";"0";"0";"pioggia nebbia "
Pavia;25/1/2020;"5";"2";"8";"3";"85";"9";"4";"9";"0";"1024";"0";"0";"pioggia "
Pavia;26/1/2020;"6";"2";"10";"3";"82";"10";"5";"9";"0";"1021";"0";"0";"nebbia "
Pavia;27/1/2020;"5";"-1";"10";"3";"83";"5";"4";"13";"0";"1018";"0";"0";"pioggia nebbia "
Pavia;28/1/2020;"7";"5";"9";"6";"92";"4";"6";"15";"0";"1009";"0";"0";"pioggia "
Pavia;29/1/2020;"7";"1";"15";"2";"74";"16";"8";"15";"0";"1010";"0";"0";"nebbia "
Pavia;30/1/2020;"6";"0";"11";"4";"77";"17";"5";"11";"0";"1018";"0";"0";""
Pavia;31/1/2020;"7";"2";"13";"4";"80";"12";"5";"11";"0";"1019";"0";"0";"nebbia "
