LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Pavia;1/7/2021;"25";"18";"31";"14";"52";"19";"8";"17";"0";"1011";"0";"0";""
Pavia;2/7/2021;"25";"21";"30";"15";"53";"19";"9";"15";"0";"1013";"0";"0";""
Pavia;3/7/2021;"25";"20";"30";"17";"60";"19";"7";"18";"0";"1014";"0";"0";"pioggia "
Pavia;4/7/2021;"21";"19";"24";"19";"87";"16";"6";"15";"0";"1011";"0";"0";"pioggia "
Pavia;5/7/2021;"23";"16";"30";"16";"70";"18";"6";"11";"0";"1011";"0";"0";""
Pavia;6/7/2021;"26";"18";"31";"16";"57";"19";"8";"15";"0";"1013";"0";"0";""
Pavia;7/7/2021;"26";"20";"33";"18";"63";"18";"7";"18";"0";"1013";"0";"0";"pioggia temporale "
Pavia;8/7/2021;"22";"18";"30";"18";"80";"20";"10";"37";"0";"1015";"0";"0";"pioggia temporale "
Pavia;9/7/2021;"23";"15";"30";"14";"62";"20";"8";"15";"0";"1016";"0";"0";""
Pavia;10/7/2021;"24";"16";"31";"14";"59";"19";"5";"9";"0";"1015";"0";"0";""
Pavia;11/7/2021;"25";"18";"31";"16";"58";"21";"7";"30";"0";"1012";"0";"0";"pioggia temporale "
Pavia;12/7/2021;"26";"20";"30";"18";"64";"19";"6";"18";"0";"1012";"0";"0";""
Pavia;13/7/2021;"24";"19";"29";"17";"67";"20";"15";"35";"0";"1006";"0";"0";"pioggia "
Pavia;14/7/2021;"20";"16";"25";"14";"70";"21";"8";"17";"0";"1011";"0";"0";"pioggia temporale "
Pavia;15/7/2021;"22";"18";"25";"15";"68";"22";"6";"9";"0";"1013";"0";"0";""
Pavia;16/7/2021;"22";"17";"28";"16";"70";"20";"7";"33";"0";"1013";"0";"0";"pioggia "
Pavia;17/7/2021;"24";"19";"30";"18";"69";"20";"9";"13";"0";"1012";"0";"0";""
Pavia;18/7/2021;"26";"19";"31";"18";"67";"20";"6";"15";"0";"1010";"0";"0";""
Pavia;19/7/2021;"28";"22";"33";"17";"52";"19";"8";"15";"0";"1012";"0";"0";""
Pavia;20/7/2021;"27";"20";"33";"17";"56";"21";"7";"11";"0";"1013";"0";"0";""
Pavia;21/7/2021;"27";"21";"32";"18";"57";"21";"8";"17";"0";"1016";"0";"0";""
Pavia;22/7/2021;"27";"24";"31";"18";"59";"19";"10";"17";"0";"1017";"0";"0";"pioggia temporale "
Pavia;23/7/2021;"26";"21";"31";"18";"63";"19";"9";"21";"0";"1015";"0";"0";""
Pavia;24/7/2021;"27";"24";"31";"20";"65";"20";"9";"15";"0";"1012";"0";"0";"pioggia "
Pavia;25/7/2021;"25";"22";"31";"20";"73";"20";"11";"30";"0";"1009";"0";"0";"pioggia temporale "
Pavia;26/7/2021;"22";"18";"28";"19";"80";"18";"8";"22";"0";"1012";"0";"0";"pioggia temporale "
Pavia;27/7/2021;"24";"21";"27";"20";"79";"17";"9";"15";"0";"1015";"0";"0";"pioggia temporale "
Pavia;28/7/2021;"24";"20";"28";"19";"76";"18";"8";"13";"0";"1014";"0";"0";""
Pavia;29/7/2021;"25";"18";"31";"19";"71";"20";"4";"8";"0";"1013";"0";"0";""
Pavia;30/7/2021;"26";"20";"30";"20";"71";"19";"5";"13";"0";"1011";"0";"0";""
Pavia;31/7/2021;"26";"21";"30";"20";"71";"20";"7";"17";"0";"1008";"0";"0";"pioggia temporale "
