LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Pavia;1/5/2021;"15";"13";"17";"13";"92";"12";"8";"17";"0";"1007";"0";"0";"pioggia temporale "
Pavia;2/5/2021;"16";"11";"21";"9";"69";"22";"11";"18";"0";"1008";"0";"0";"pioggia "
Pavia;3/5/2021;"14";"11";"19";"8";"71";"20";"10";"18";"0";"1019";"0";"0";""
Pavia;4/5/2021;"15";"9";"21";"8";"67";"20";"6";"13";"0";"1015";"0";"0";""
Pavia;5/5/2021;"15";"12";"21";"9";"68";"19";"6";"13";"0";"1008";"0";"0";""
Pavia;6/5/2021;"16";"8";"20";"10";"70";"19";"11";"18";"0";"1009";"0";"0";""
Pavia;7/5/2021;"18";"11";"25";"10";"58";"21";"9";"21";"0";"1008";"0";"0";""
Pavia;8/5/2021;"16";"11";"21";"7";"56";"20";"9";"17";"0";"1019";"0";"0";""
Pavia;9/5/2021;"18";"11";"22";"10";"64";"20";"5";"11";"0";"1019";"0";"0";""
Pavia;10/5/2021;"19";"14";"23";"10";"59";"21";"9";"17";"0";"1015";"0";"0";"pioggia "
Pavia;11/5/2021;"15";"13";"17";"13";"88";"13";"13";"24";"0";"1010";"0";"0";"pioggia "
Pavia;12/5/2021;"17";"11";"24";"11";"71";"21";"7";"15";"0";"1007";"0";"0";"pioggia temporale "
Pavia;13/5/2021;"17";"13";"23";"10";"63";"19";"10";"28";"0";"1005";"0";"0";"pioggia "
Pavia;14/5/2021;"15";"10";"19";"10";"76";"18";"8";"18";"0";"1008";"0";"0";"pioggia nebbia "
Pavia;15/5/2021;"14";"8";"19";"10";"78";"18";"5";"11";"0";"1010";"0";"0";"pioggia nebbia "
Pavia;16/5/2021;"15";"11";"18";"12";"81";"20";"5";"9";"0";"1007";"0";"0";"pioggia nebbia "
Pavia;17/5/2021;"18";"12";"25";"9";"59";"21";"9";"17";"0";"1006";"0";"0";"pioggia "
Pavia;18/5/2021;"16";"9";"24";"6";"55";"20";"6";"17";"0";"1011";"0";"0";"pioggia "
Pavia;19/5/2021;"18";"10";"23";"9";"54";"22";"8";"18";"0";"1012";"0";"0";"nebbia "
Pavia;20/5/2021;"18";"9";"24";"5";"44";"19";"7";"11";"0";"1017";"0";"0";""
Pavia;21/5/2021;"17";"12";"23";"6";"47";"20";"8";"15";"0";"1016";"0";"0";"pioggia "
Pavia;22/5/2021;"17";"12";"20";"11";"72";"20";"8";"21";"0";"1012";"0";"0";"pioggia "
Pavia;23/5/2021;"19";"14";"25";"10";"59";"19";"7";"15";"0";"1013";"0";"0";""
Pavia;24/5/2021;"15";"13";"18";"12";"88";"12";"9";"21";"0";"1016";"0";"0";"pioggia "
Pavia;25/5/2021;"17";"10";"24";"10";"65";"16";"8";"15";"0";"1016";"0";"0";"nebbia "
Pavia;26/5/2021;"17";"12";"22";"10";"62";"21";"8";"13";"0";"1018";"0";"0";""
Pavia;27/5/2021;"19";"12";"26";"10";"56";"19";"7";"11";"0";"1014";"0";"0";""
Pavia;28/5/2021;"20";"14";"25";"12";"59";"22";"9";"13";"0";"1018";"0";"0";""
Pavia;29/5/2021;"21";"16";"26";"11";"54";"19";"10";"17";"0";"1016";"0";"0";"pioggia "
Pavia;30/5/2021;"20";"15";"24";"10";"54";"20";"12";"22";"0";"1018";"0";"0";""
Pavia;31/5/2021;"20";"16";"24";"9";"50";"20";"11";"18";"0";"1018";"0";"0";""
