LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/1/2018;"3";"1";"5";"3";"100";"2";"7";"11";"0";"1011";"0";"0";"pioggia neve "
Piacenza;2/1/2018;"7";"0";"12";"2";"60";"17";"15";"33";"0";"1013";"0";"0";""
Piacenza;3/1/2018;"5";"0";"8";"3";"82";"18";"6";"11";"0";"1007";"0";"0";""
Piacenza;4/1/2018;"7";"1";"11";"4";"82";"20";"5";"11";"0";"1006";"0";"0";""
Piacenza;5/1/2018;"4";"-1";"6";"5";"100";"6";"4";"9";"0";"1008";"0";"0";""
Piacenza;6/1/2018;"6";"5";"7";"6";"100";"2";"3";"9";"0";"1012";"0";"0";"pioggia "
Piacenza;7/1/2018;"7";"6";"8";"7";"100";"2";"6";"17";"0";"1018";"0";"0";"pioggia nebbia "
Piacenza;8/1/2018;"10";"8";"11";"10";"100";"3";"16";"24";"0";"1021";"0";"0";""
Piacenza;9/1/2018;"8";"6";"11";"8";"99";"6";"6";"9";"0";"1017";"0";"0";"nebbia "
Piacenza;10/1/2018;"7";"4";"9";"7";"100";"8";"5";"8";"0";"1014";"0";"0";""
Piacenza;11/1/2018;"6";"6";"7";"6";"100";"1";"2";"5";"0";"1012";"0";"0";"pioggia nebbia "
Piacenza;12/1/2018;"7";"4";"10";"6";"93";"9";"6";"11";"0";"1019";"0";"0";""
Piacenza;13/1/2018;"5";"1";"9";"5";"99";"9";"6";"15";"0";"1021";"0";"0";""
Piacenza;14/1/2018;"2";"0";"3";"3";"100";"3";"4";"8";"0";"1020";"0";"0";"nebbia "
Piacenza;15/1/2018;"3";"1";"5";"3";"100";"1";"3";"4";"0";"1022";"0";"0";""
Piacenza;16/1/2018;"4";"2";"6";"4";"100";"1";"7";"15";"0";"1008";"0";"0";""
Piacenza;17/1/2018;"6";"1";"11";"2";"76";"14";"19";"30";"0";"1004";"0";"0";"nebbia "
Piacenza;18/1/2018;"5";"-1";"10";"4";"66";"21";"7";"9";"0";"1013";"0";"0";""
Piacenza;19/1/2018;"6";"0";"11";"5";"90";"21";"5";"11";"0";"1007";"0";"0";""
Piacenza;20/1/2018;"4";"-1";"7";"4";"91";"14";"5";"11";"0";"1010";"0";"0";""
Piacenza;21/1/2018;"8";"0";"14";"3";"66";"21";"15";"24";"0";"1006";"0";"0";""
Piacenza;22/1/2018;"5";"0";"9";"3";"83";"22";"7";"11";"0";"1014";"0";"0";""
Piacenza;23/1/2018;"5";"-1";"9";"5";"89";"14";"9";"21";"0";"1021";"0";"0";""
Piacenza;24/1/2018;"7";"3";"10";"5";"91";"10";"6";"11";"0";"1030";"0";"0";""
Piacenza;25/1/2018;"6";"5";"8";"6";"98";"4";"3";"5";"0";"1025";"0";"0";""
Piacenza;26/1/2018;"6";"5";"6";"6";"100";"1";"6";"11";"0";"1021";"0";"0";"nebbia "
Piacenza;27/1/2018;"8";"5";"11";"8";"98";"13";"6";"13";"0";"1029";"0";"0";"pioggia "
Piacenza;28/1/2018;"6";"1";"10";"6";"100";"13";"6";"13";"0";"1033";"0";"0";"nebbia "
Piacenza;29/1/2018;"3";"-1";"7";"5";"100";"1";"4";"8";"0";"1030";"0";"0";"nebbia "
Piacenza;30/1/2018;"4";"0";"9";"6";"100";"2";"6";"13";"0";"1027";"0";"0";"nebbia "
Piacenza;31/1/2018;"5";"4";"6";"5";"100";"2";"3";"9";"0";"1021";"0";"0";"pioggia nebbia "
