LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/7/2018;"29";"23";"32";"26";"82";"23";"18";"100";"0";"1010";"0";"0";""
Piacenza;2/7/2018;"28";"21";"31";"24";"82";"17";"9";"13";"0";"1012";"0";"0";""
Piacenza;3/7/2018;"29";"23";"32";"26";"81";"20";"12";"15";"0";"1012";"0";"0";"pioggia temporale "
Piacenza;4/7/2018;"27";"20";"30";"24";"84";"20";"9";"18";"0";"1014";"0";"0";""
Piacenza;5/7/2018;"26";"22";"28";"25";"98";"16";"11";"24";"0";"1012";"0";"0";"pioggia temporale "
Piacenza;6/7/2018;"27";"20";"30";"23";"80";"21";"10";"15";"0";"1012";"0";"0";""
Piacenza;7/7/2018;"28";"21";"31";"23";"76";"20";"9";"17";"0";"1015";"0";"0";""
Piacenza;8/7/2018;"28";"22";"30";"24";"83";"21";"7";"11";"0";"1015";"0";"0";""
Piacenza;9/7/2018;"28";"21";"31";"23";"76";"20";"8";"11";"0";"1014";"0";"0";""
Piacenza;10/7/2018;"27";"23";"30";"25";"87";"18";"7";"13";"0";"1011";"0";"0";"pioggia "
Piacenza;11/7/2018;"21";"19";"24";"21";"100";"10";"18";"24";"0";"1010";"0";"0";"pioggia "
Piacenza;12/7/2018;"25";"20";"27";"24";"96";"17";"9";"18";"0";"1014";"0";"0";"pioggia temporale "
Piacenza;13/7/2018;"27";"20";"30";"25";"87";"18";"7";"11";"0";"1016";"0";"0";""
Piacenza;14/7/2018;"28";"22";"32";"25";"81";"22";"10";"18";"0";"1015";"0";"0";"pioggia temporale "
Piacenza;15/7/2018;"28";"21";"31";"25";"85";"20";"7";"13";"0";"1013";"0";"0";""
Piacenza;16/7/2018;"23";"20";"27";"23";"100";"17";"10";"13";"0";"1011";"0";"0";"pioggia temporale "
Piacenza;17/7/2018;"27";"19";"31";"22";"77";"18";"10";"15";"0";"1011";"0";"0";""
Piacenza;18/7/2018;"30";"20";"33";"22";"65";"22";"6";"11";"0";"1013";"0";"0";""
Piacenza;19/7/2018;"29";"18";"33";"22";"66";"19";"7";"13";"0";"1012";"0";"0";""
Piacenza;20/7/2018;"30";"22";"33";"27";"86";"19";"7";"9";"0";"1011";"0";"0";"pioggia temporale "
Piacenza;21/7/2018;"23";"20";"26";"23";"100";"8";"9";"15";"0";"1010";"0";"0";"pioggia temporale "
Piacenza;22/7/2018;"27";"21";"30";"21";"73";"19";"12";"17";"0";"1009";"0";"0";"pioggia temporale "
Piacenza;23/7/2018;"28";"21";"32";"19";"62";"21";"6";"9";"0";"1011";"0";"0";""
Piacenza;24/7/2018;"29";"23";"33";"20";"60";"21";"7";"13";"0";"1012";"0";"0";""
Piacenza;25/7/2018;"30";"22";"33";"20";"56";"20";"7";"13";"0";"1011";"0";"0";""
Piacenza;26/7/2018;"29";"24";"32";"23";"70";"18";"11";"17";"0";"1011";"0";"0";""
Piacenza;27/7/2018;"28";"21";"32";"21";"67";"21";"8";"18";"0";"1011";"0";"0";""
Piacenza;28/7/2018;"28";"22";"33";"23";"78";"20";"9";"26";"0";"1010";"0";"0";"pioggia temporale "
Piacenza;29/7/2018;"29";"21";"32";"24";"73";"23";"7";"13";"0";"1013";"0";"0";""
Piacenza;30/7/2018;"31";"23";"34";"24";"67";"21";"9";"13";"0";"1013";"0";"0";""
Piacenza;31/7/2018;"32";"24";"35";"24";"64";"19";"9";"13";"0";"1013";"0";"0";""
