LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/5/2018;"16";"11";"18";"13";"86";"23";"7";"13";"0";"1011";"0";"0";"pioggia "
Piacenza;2/5/2018;"12";"11";"13";"12";"100";"5";"11";"21";"0";"1008";"0";"0";"pioggia "
Piacenza;3/5/2018;"15";"13";"17";"15";"100";"14";"7";"15";"0";"1005";"0";"0";"pioggia "
Piacenza;4/5/2018;"19";"16";"23";"18";"96";"16";"13";"24";"0";"1010";"0";"0";"pioggia "
Piacenza;5/5/2018;"20";"16";"23";"19";"94";"20";"12";"17";"0";"1015";"0";"0";"pioggia temporale "
Piacenza;6/5/2018;"24";"17";"26";"21";"84";"22";"8";"13";"0";"1015";"0";"0";""
Piacenza;7/5/2018;"20";"16";"23";"18";"88";"16";"6";"11";"0";"1014";"0";"0";""
Piacenza;8/5/2018;"21";"15";"24";"18";"83";"17";"12";"18";"0";"1007";"0";"0";"pioggia temporale "
Piacenza;9/5/2018;"18";"15";"21";"17";"94";"17";"8";"17";"0";"1006";"0";"0";"pioggia "
Piacenza;10/5/2018;"20";"15";"23";"17";"86";"21";"6";"9";"0";"1009";"0";"0";""
Piacenza;11/5/2018;"22";"16";"25";"19";"84";"20";"11";"22";"0";"1014";"0";"0";"pioggia temporale "
Piacenza;12/5/2018;"21";"17";"24";"19";"90";"22";"8";"13";"0";"1013";"0";"0";"pioggia temporale "
Piacenza;13/5/2018;"21";"13";"24";"17";"78";"20";"11";"24";"0";"1008";"0";"0";""
Piacenza;14/5/2018;"17";"12";"20";"12";"77";"18";"11";"15";"0";"1009";"0";"0";""
Piacenza;15/5/2018;"14";"11";"15";"14";"97";"19";"9";"13";"0";"1009";"0";"0";"pioggia "
Piacenza;16/5/2018;"18";"12";"22";"15";"83";"21";"8";"15";"0";"1011";"0";"0";""
Piacenza;17/5/2018;"19";"14";"22";"16";"84";"20";"7";"9";"0";"1014";"0";"0";"pioggia temporale "
Piacenza;18/5/2018;"21";"14";"24";"16";"72";"17";"9";"15";"0";"1015";"0";"0";""
Piacenza;19/5/2018;"22";"14";"25";"15";"68";"19";"10";"17";"0";"1015";"0";"0";""
Piacenza;20/5/2018;"21";"15";"25";"17";"82";"21";"15";"22";"0";"1015";"0";"0";"pioggia temporale "
Piacenza;21/5/2018;"21";"14";"24";"18";"87";"19";"10";"15";"0";"1013";"0";"0";"pioggia temporale "
Piacenza;22/5/2018;"17";"15";"18";"17";"100";"4";"8";"11";"0";"1013";"0";"0";"pioggia "
Piacenza;23/5/2018;"21";"16";"24";"19";"91";"16";"6";"11";"0";"1015";"0";"0";"pioggia "
Piacenza;24/5/2018;"23";"18";"26";"22";"89";"24";"7";"13";"0";"1015";"0";"0";""
Piacenza;25/5/2018;"26";"18";"29";"19";"67";"21";"6";"13";"0";"1014";"0";"0";""
Piacenza;26/5/2018;"26";"20";"29";"23";"82";"20";"8";"13";"0";"1018";"0";"0";""
Piacenza;27/5/2018;"25";"19";"28";"23";"90";"17";"8";"13";"0";"1017";"0";"0";""
Piacenza;28/5/2018;"22";"19";"25";"21";"95";"13";"9";"17";"0";"1017";"0";"0";"pioggia temporale "
Piacenza;29/5/2018;"25";"20";"27";"23";"89";"18";"7";"11";"0";"1015";"0";"0";"pioggia temporale "
Piacenza;30/5/2018;"24";"20";"25";"24";"93";"7";"9";"21";"0";"1014";"0";"0";"pioggia temporale "
Piacenza;31/5/2018;"23";"19";"25";"22";"98";"16";"8";"18";"0";"1015";"0";"0";"pioggia temporale "
