LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/8/2019;"28";"22";"31";"23";"74";"19";"8";"11";"0";"1013";"0";"0";""
Piacenza;2/8/2019;"23";"17";"30";"21";"85";"19";"13";"35";"0";"1010";"0";"0";"pioggia temporale "
Piacenza;3/8/2019;"26";"18";"30";"17";"61";"21";"9";"11";"0";"1011";"0";"0";""
Piacenza;4/8/2019;"27";"18";"30";"20";"68";"22";"8";"11";"0";"1013";"0";"0";""
Piacenza;5/8/2019;"29";"20";"32";"22";"70";"21";"6";"9";"0";"1014";"0";"0";""
Piacenza;6/8/2019;"30";"29";"31";"24";"67";"20";"7";"15";"0";"1012";"0";"0";""
Piacenza;7/8/2019;"27";"20";"31";"24";"86";"18";"12";"18";"0";"1010";"0";"0";"pioggia temporale "
Piacenza;8/8/2019;"27";"21";"30";"25";"88";"12";"4";"5";"0";"1011";"0";"0";""
Piacenza;9/8/2019;"29";"22";"32";"26";"83";"21";"7";"11";"0";"1013";"0";"0";""
Piacenza;10/8/2019;"30";"23";"33";"24";"68";"21";"6";"13";"0";"1014";"0";"0";""
Piacenza;11/8/2019;"30";"21";"33";"22";"64";"21";"13";"21";"0";"1014";"0";"0";""
Piacenza;12/8/2019;"27";"21";"29";"26";"99";"15";"8";"15";"0";"1011";"0";"0";"pioggia "
Piacenza;13/8/2019;"27";"21";"29";"21";"74";"23";"9";"13";"0";"1011";"0";"0";""
Piacenza;14/8/2019;"25";"18";"28";"19";"71";"21";"10";"17";"0";"1013";"0";"0";""
Piacenza;15/8/2019;"25";"18";"29";"18";"67";"24";"8";"11";"0";"1014";"0";"0";""
Piacenza;16/8/2019;"25";"19";"28";"17";"63";"19";"9";"11";"0";"1015";"0";"0";""
Piacenza;17/8/2019;"26";"19";"30";"19";"64";"22";"6";"9";"0";"1016";"0";"0";""
Piacenza;18/8/2019;"28";"20";"31";"21";"67";"23";"8";"13";"0";"1014";"0";"0";""
Piacenza;19/8/2019;"28";"19";"31";"21";"67";"18";"10";"15";"0";"1015";"0";"0";""
Piacenza;20/8/2019;"29";"22";"32";"23";"73";"21";"8";"15";"0";"1016";"0";"0";""
Piacenza;21/8/2019;"28";"21";"32";"22";"74";"20";"7";"9";"0";"1017";"0";"0";""
Piacenza;22/8/2019;"27";"22";"29";"21";"72";"18";"13";"21";"0";"1020";"0";"0";""
Piacenza;23/8/2019;"25";"23";"27";"22";"82";"21";"8";"15";"0";"1020";"0";"0";""
Piacenza;24/8/2019;"28";"21";"31";"22";"73";"20";"7";"11";"0";"1018";"0";"0";"pioggia temporale "
Piacenza;25/8/2019;"27";"19";"31";"21";"71";"20";"9";"11";"0";"1017";"0";"0";""
Piacenza;26/8/2019;"28";"20";"32";"21";"66";"18";"9";"13";"0";"1017";"0";"0";""
Piacenza;27/8/2019;"28";"20";"32";"21";"65";"22";"9";"15";"0";"1017";"0";"0";""
Piacenza;28/8/2019;"24";"21";"26";"23";"97";"14";"13";"24";"0";"1018";"0";"0";"pioggia "
Piacenza;29/8/2019;"27";"19";"31";"19";"64";"21";"9";"15";"0";"1017";"0";"0";""
Piacenza;30/8/2019;"29";"20";"32";"20";"60";"20";"8";"11";"0";"1018";"0";"0";""
Piacenza;31/8/2019;"28";"20";"31";"20";"66";"19";"9";"15";"0";"1015";"0";"0";"pioggia temporale "
