LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/6/2019;"23";"15";"27";"11";"47";"22";"9";"15";"0";"1020";"0";"0";""
Piacenza;2/6/2019;"26";"18";"29";"15";"51";"20";"6";"15";"0";"1017";"0";"0";""
Piacenza;3/6/2019;"27";"19";"30";"19";"63";"22";"8";"21";"0";"1014";"0";"0";""
Piacenza;4/6/2019;"27";"18";"30";"19";"65";"24";"5";"11";"0";"1012";"0";"0";""
Piacenza;5/6/2019;"26";"17";"30";"18";"65";"21";"8";"17";"0";"1009";"0";"0";""
Piacenza;6/6/2019;"24";"19";"26";"16";"63";"21";"13";"22";"0";"1011";"0";"0";""
Piacenza;7/6/2019;"24";"16";"27";"15";"57";"17";"11";"17";"0";"1016";"0";"0";""
Piacenza;8/6/2019;"25";"20";"28";"18";"65";"18";"9";"13";"0";"1019";"0";"0";""
Piacenza;9/6/2019;"23";"16";"25";"19";"80";"20";"12";"21";"0";"1019";"0";"0";"pioggia "
Piacenza;10/6/2019;"25";"19";"28";"22";"84";"13";"10";"17";"0";"1011";"0";"0";"pioggia temporale "
Piacenza;11/6/2019;"26";"21";"29";"20";"69";"21";"9";"17";"0";"1008";"0";"0";""
Piacenza;12/6/2019;"27";"22";"29";"15";"50";"20";"10";"21";"0";"1008";"0";"0";""
Piacenza;13/6/2019;"24";"15";"28";"9";"40";"20";"9";"13";"0";"1014";"0";"0";""
Piacenza;14/6/2019;"26";"18";"29";"16";"55";"19";"13";"18";"0";"1016";"0";"0";""
Piacenza;15/6/2019;"27";"21";"29";"21";"71";"22";"8";"11";"0";"1013";"0";"0";""
Piacenza;16/6/2019;"27";"20";"30";"14";"47";"18";"15";"21";"0";"1013";"0";"0";""
Piacenza;17/6/2019;"28";"20";"30";"20";"62";"21";"13";"22";"0";"1014";"0";"0";""
Piacenza;18/6/2019;"27";"20";"31";"18";"61";"18";"9";"13";"0";"1014";"0";"0";""
Piacenza;19/6/2019;"28";"21";"31";"18";"57";"21";"9";"17";"0";"1011";"0";"0";""
Piacenza;20/6/2019;"28";"19";"31";"12";"40";"22";"11";"18";"0";"1011";"0";"0";""
Piacenza;21/6/2019;"27";"19";"30";"16";"52";"21";"8";"11";"0";"1013";"0";"0";""
Piacenza;22/6/2019;"22";"19";"25";"21";"94";"22";"10";"21";"0";"1014";"0";"0";"pioggia temporale "
Piacenza;23/6/2019;"27";"18";"30";"17";"59";"21";"8";"13";"0";"1014";"0";"0";""
Piacenza;24/6/2019;"29";"21";"32";"19";"56";"20";"9";"17";"0";"1017";"0";"0";""
Piacenza;25/6/2019;"30";"22";"33";"19";"54";"20";"10";"17";"0";"1021";"0";"0";""
Piacenza;26/6/2019;"32";"24";"34";"21";"55";"18";"10";"15";"0";"1021";"0";"0";""
Piacenza;27/6/2019;"35";"25";"38";"24";"56";"20";"11";"17";"0";"1017";"0";"0";""
Piacenza;28/6/2019;"34";"28";"36";"28";"73";"16";"15";"21";"0";"1013";"0";"0";""
Piacenza;29/6/2019;"30";"25";"33";"23";"66";"21";"18";"22";"0";"1017";"0";"0";""
Piacenza;30/6/2019;"32";"24";"34";"18";"47";"17";"8";"11";"0";"1018";"0";"0";""
