LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/3/2019;"11";"-2";"17";"7";"72";"21";"9";"17";"0";"1011";"0";"0";""
Piacenza;2/3/2019;"13";"3";"17";"2";"37";"18";"7";"15";"0";"1014";"0";"0";""
Piacenza;3/3/2019;"13";"2";"17";"2";"53";"23";"8";"13";"0";"1017";"0";"0";""
Piacenza;4/3/2019;"11";"3";"16";"8";"85";"16";"10";"18";"0";"1009";"0";"0";"pioggia "
Piacenza;5/3/2019;"12";"2";"17";"3";"53";"19";"7";"11";"0";"1011";"0";"0";""
Piacenza;6/3/2019;"11";"3";"14";"6";"69";"19";"10";"17";"0";"1016";"0";"0";""
Piacenza;7/3/2019;"16";"9";"21";"6";"57";"16";"23";"31";"0";"1007";"0";"0";"pioggia "
Piacenza;8/3/2019;"14";"5";"18";"6";"59";"16";"8";"18";"0";"1016";"0";"0";""
Piacenza;9/3/2019;"14";"3";"18";"7";"63";"19";"6";"9";"0";"1020";"0";"0";""
Piacenza;10/3/2019;"13";"5";"18";"9";"77";"22";"4";"8";"0";"1016";"0";"0";""
Piacenza;11/3/2019;"14";"9";"18";"3";"20";"21";"28";"52";"0";"1013";"0";"0";"pioggia "
Piacenza;12/3/2019;"11";"2";"14";"0";"24";"18";"11";"21";"0";"1023";"0";"0";""
Piacenza;13/3/2019;"11";"3";"14";"3";"60";"23";"10";"21";"0";"1011";"0";"0";""
Piacenza;14/3/2019;"12";"0";"16";"1";"34";"20";"10";"18";"0";"1011";"0";"0";""
Piacenza;15/3/2019;"18";"3";"24";"7";"35";"20";"15";"22";"0";"1009";"0";"0";""
Piacenza;16/3/2019;"18";"5";"24";"8";"56";"16";"6";"9";"0";"1012";"0";"0";""
Piacenza;17/3/2019;"14";"7";"16";"10";"78";"18";"6";"11";"0";"1013";"0";"0";""
Piacenza;18/3/2019;"14";"9";"21";"5";"48";"23";"12";"22";"0";"1013";"0";"0";""
Piacenza;19/3/2019;"10";"2";"13";"4";"53";"20";"14";"22";"0";"1022";"0";"0";""
Piacenza;20/3/2019;"10";"0";"14";"2";"46";"20";"14";"22";"0";"1029";"0";"0";""
Piacenza;21/3/2019;"10";"-1";"15";"1";"44";"22";"10";"15";"0";"1031";"0";"0";""
Piacenza;22/3/2019;"14";"1";"18";"2";"39";"19";"9";"18";"0";"1028";"0";"0";""
Piacenza;23/3/2019;"16";"3";"21";"2";"36";"15";"12";"17";"0";"1024";"0";"0";""
Piacenza;24/3/2019;"18";"7";"23";"4";"38";"20";"8";"17";"0";"1020";"0";"0";""
Piacenza;25/3/2019;"18";"5";"24";"5";"42";"19";"9";"21";"0";"1009";"0";"0";""
Piacenza;26/3/2019;"11";"6";"14";"6";"59";"19";"11";"17";"0";"1020";"0";"0";""
Piacenza;27/3/2019;"11";"1";"15";"2";"46";"19";"15";"24";"0";"1025";"0";"0";""
Piacenza;28/3/2019;"11";"0";"15";"4";"49";"22";"16";"26";"0";"1028";"0";"0";""
Piacenza;29/3/2019;"14";"2";"18";"3";"48";"19";"11";"18";"0";"1029";"0";"0";""
Piacenza;30/3/2019;"15";"2";"19";"3";"43";"21";"10";"18";"0";"1023";"0";"0";""
Piacenza;31/3/2019;"16";"5";"20";"4";"42";"21";"7";"13";"0";"1016";"0";"0";""
