LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/9/2019;"28";"20";"31";"20";"66";"20";"8";"13";"0";"1011";"0";"0";""
Piacenza;2/9/2019;"27";"20";"30";"20";"66";"17";"10";"15";"0";"1013";"0";"0";""
Piacenza;3/9/2019;"26";"20";"28";"18";"67";"21";"16";"21";"0";"1018";"0";"0";""
Piacenza;4/9/2019;"24";"16";"28";"16";"60";"22";"11";"17";"0";"1017";"0";"0";""
Piacenza;5/9/2019;"25";"16";"27";"13";"51";"21";"10";"18";"0";"1011";"0";"0";""
Piacenza;6/9/2019;"18";"15";"20";"17";"96";"18";"8";"21";"0";"1015";"0";"0";"pioggia "
Piacenza;7/9/2019;"22";"14";"24";"15";"67";"16";"7";"13";"0";"1014";"0";"0";""
Piacenza;8/9/2019;"17";"14";"21";"15";"90";"12";"11";"18";"0";"1011";"0";"0";"pioggia "
Piacenza;9/9/2019;"20";"10";"25";"9";"57";"18";"8";"13";"0";"1011";"0";"0";""
Piacenza;10/9/2019;"20";"14";"22";"16";"80";"22";"12";"18";"0";"1015";"0";"0";""
Piacenza;11/9/2019;"22";"14";"26";"15";"67";"18";"9";"15";"0";"1020";"0";"0";""
Piacenza;12/9/2019;"24";"14";"28";"15";"61";"21";"8";"13";"0";"1027";"0";"0";""
Piacenza;13/9/2019;"25";"15";"28";"15";"59";"18";"11";"17";"0";"1028";"0";"0";""
Piacenza;14/9/2019;"25";"16";"28";"17";"64";"23";"11";"18";"0";"1027";"0";"0";""
Piacenza;15/9/2019;"25";"16";"28";"17";"66";"20";"8";"13";"0";"1023";"0";"0";""
Piacenza;16/9/2019;"26";"17";"31";"20";"70";"22";"7";"13";"0";"1017";"0";"0";""
Piacenza;17/9/2019;"27";"18";"31";"19";"64";"22";"6";"9";"0";"1013";"0";"0";""
Piacenza;18/9/2019;"24";"18";"28";"21";"85";"17";"10";"28";"0";"1014";"0";"0";"pioggia temporale "
Piacenza;19/9/2019;"18";"15";"19";"17";"95";"13";"17";"24";"0";"1019";"0";"0";""
Piacenza;20/9/2019;"19";"13";"21";"13";"72";"22";"17";"22";"0";"1024";"0";"0";""
Piacenza;21/9/2019;"18";"10";"21";"12";"70";"25";"11";"17";"0";"1023";"0";"0";""
Piacenza;22/9/2019;"17";"15";"18";"15";"92";"14";"6";"9";"0";"1017";"0";"0";"pioggia "
Piacenza;23/9/2019;"16";"15";"19";"16";"100";"5";"6";"15";"0";"1012";"0";"0";"pioggia temporale "
Piacenza;24/9/2019;"20";"13";"23";"18";"86";"18";"4";"8";"0";"1013";"0";"0";""
Piacenza;25/9/2019;"20";"10";"22";"18";"93";"14";"7";"17";"0";"1009";"0";"0";""
Piacenza;26/9/2019;"20";"14";"24";"19";"94";"4";"6";"9";"0";"1014";"0";"0";"nebbia "
Piacenza;27/9/2019;"21";"15";"25";"19";"89";"19";"6";"11";"0";"1016";"0";"0";""
Piacenza;28/9/2019;"23";"17";"26";"19";"80";"17";"7";"11";"0";"1015";"0";"0";""
Piacenza;29/9/2019;"23";"14";"26";"17";"72";"20";"6";"13";"0";"1014";"0";"0";""
Piacenza;30/9/2019;"24";"15";"28";"21";"83";"22";"9";"15";"0";"1010";"0";"0";""
