LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/4/2020;"7";"1";"10";"1";"48";"17";"12";"17";"0";"1020";"0";"0";""
Piacenza;2/4/2020;"9";"0";"12";"0";"43";"21";"7";"11";"0";"1013";"0";"0";""
Piacenza;3/4/2020;"11";"1";"15";"2";"44";"22";"8";"13";"0";"1013";"0";"0";""
Piacenza;4/4/2020;"13";"2";"17";"1";"39";"19";"6";"11";"0";"1020";"0";"0";""
Piacenza;5/4/2020;"14";"4";"17";"3";"40";"19";"14";"21";"0";"1023";"0";"0";""
Piacenza;6/4/2020;"16";"4";"20";"3";"45";"18";"10";"15";"0";"1025";"0";"0";""
Piacenza;7/4/2020;"17";"7";"21";"6";"46";"19";"9";"17";"0";"1027";"0";"0";""
Piacenza;8/4/2020;"17";"4";"22";"4";"32";"19";"10";"17";"0";"1025";"0";"0";""
Piacenza;9/4/2020;"20";"7";"24";"4";"30";"19";"8";"13";"0";"1021";"0";"0";""
Piacenza;10/4/2020;"20";"7";"24";"4";"34";"21";"8";"17";"0";"1021";"0";"0";""
Piacenza;11/4/2020;"21";"8";"25";"6";"37";"18";"7";"15";"0";"1020";"0";"0";""
Piacenza;12/4/2020;"20";"9";"24";"3";"31";"19";"8";"13";"0";"1018";"0";"0";""
Piacenza;13/4/2020;"18";"10";"22";"5";"43";"16";"6";"13";"0";"1013";"0";"0";""
Piacenza;14/4/2020;"18";"8";"24";"9";"52";"18";"15";"46";"0";"1010";"0";"0";""
Piacenza;15/4/2020;"13";"4";"15";"3";"48";"17";"12";"22";"0";"1024";"0";"0";""
Piacenza;16/4/2020;"16";"6";"19";"4";"50";"21";"5";"11";"0";"1021";"0";"0";""
Piacenza;17/4/2020;"18";"8";"21";"3";"38";"22";"5";"8";"0";"1017";"0";"0";""
Piacenza;18/4/2020;"19";"10";"23";"10";"55";"17";"5";"9";"0";"1016";"0";"0";""
Piacenza;19/4/2020;"19";"11";"23";"14";"74";"17";"6";"11";"0";"1012";"0";"0";"pioggia "
Piacenza;20/4/2020;"13";"12";"14";"13";"100";"5";"22";"30";"0";"1011";"0";"0";"pioggia "
Piacenza;21/4/2020;"12";"10";"13";"10";"85";"18";"8";"13";"0";"1013";"0";"0";"pioggia "
Piacenza;22/4/2020;"16";"9";"19";"3";"40";"20";"18";"26";"0";"1016";"0";"0";""
Piacenza;23/4/2020;"17";"9";"20";"5";"46";"21";"10";"15";"0";"1017";"0";"0";""
Piacenza;24/4/2020;"19";"10";"23";"5";"40";"21";"7";"17";"0";"1013";"0";"0";""
Piacenza;25/4/2020;"20";"12";"25";"10";"54";"21";"9";"21";"0";"1007";"0";"0";""
Piacenza;26/4/2020;"19";"11";"23";"9";"55";"23";"7";"9";"0";"1008";"0";"0";""
Piacenza;27/4/2020;"20";"14";"22";"14";"68";"19";"6";"11";"0";"1011";"0";"0";""
Piacenza;28/4/2020;"17";"12";"19";"16";"94";"25";"9";"18";"0";"1008";"0";"0";"pioggia temporale "
Piacenza;29/4/2020;"20";"14";"23";"10";"59";"20";"11";"17";"0";"1006";"0";"0";""
Piacenza;30/4/2020;"19";"13";"21";"12";"66";"18";"10";"21";"0";"1008";"0";"0";""
