LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/12/2020;"5";"4";"5";"5";"98";"4";"9";"15";"0";"1014";"0";"0";"pioggia "
Piacenza;2/12/2020;"2";"1";"2";"2";"100";"3";"8";"17";"0";"1010";"0";"0";"pioggia neve "
Piacenza;3/12/2020;"2";"2";"3";"2";"100";"1";"3";"9";"0";"1006";"0";"0";"nebbia "
Piacenza;4/12/2020;"3";"2";"4";"3";"100";"2";"16";"22";"0";"997";"0";"0";"pioggia nebbia "
Piacenza;5/12/2020;"2";"2";"3";"2";"100";"4";"6";"9";"0";"1000";"0";"0";"pioggia "
Piacenza;6/12/2020;"4";"2";"5";"4";"100";"12";"5";"11";"0";"997";"0";"0";"pioggia nebbia "
Piacenza;7/12/2020;"4";"3";"5";"4";"99";"3";"6";"11";"0";"1002";"0";"0";"pioggia nebbia "
Piacenza;8/12/2020;"4";"4";"5";"4";"100";"4";"10";"13";"0";"1000";"0";"0";"pioggia "
Piacenza;9/12/2020;"5";"4";"5";"5";"100";"10";"9";"13";"0";"1001";"0";"0";"pioggia "
Piacenza;10/12/2020;"6";"5";"7";"6";"100";"13";"4";"8";"0";"1004";"0";"0";""
Piacenza;11/12/2020;"4";"1";"5";"4";"100";"10";"3";"5";"0";"1004";"0";"0";""
Piacenza;12/12/2020;"5";"4";"6";"5";"100";"5";"4";"8";"0";"1001";"0";"0";"pioggia "
Piacenza;13/12/2020;"4";"1";"6";"3";"99";"13";"4";"9";"0";"1010";"0";"0";""
Piacenza;14/12/2020;"4";"0";"7";"4";"100";"15";"4";"8";"0";"1018";"0";"0";""
Piacenza;15/12/2020;"6";"4";"8";"6";"99";"5";"3";"11";"0";"1019";"0";"0";""
Piacenza;16/12/2020;"7";"6";"8";"7";"100";"10";"2";"9";"0";"1022";"0";"0";""
Piacenza;17/12/2020;"7";"6";"8";"7";"100";"16";"3";"5";"0";"1025";"0";"0";""
Piacenza;18/12/2020;"7";"6";"7";"7";"100";"2";"4";"11";"0";"1027";"0";"0";"pioggia "
Piacenza;19/12/2020;"6";"5";"8";"6";"100";"6";"2";"5";"0";"1025";"0";"0";"pioggia "
Piacenza;20/12/2020;"7";"6";"7";"7";"100";"1";"2";"4";"0";"1024";"0";"0";"pioggia nebbia "
Piacenza;21/12/2020;"7";"5";"9";"7";"100";"12";"3";"8";"0";"1025";"0";"0";""
Piacenza;22/12/2020;"8";"7";"10";"8";"99";"2";"2";"4";"0";"1024";"0";"0";"nebbia "
Piacenza;23/12/2020;"8";"6";"9";"7";"99";"5";"2";"5";"0";"1023";"0";"0";""
Piacenza;24/12/2020;"8";"8";"8";"8";"100";"1";"4";"8";"0";"1012";"0";"0";"pioggia nebbia "
Piacenza;25/12/2020;"5";"2";"6";"5";"100";"4";"6";"11";"0";"1007";"0";"0";"pioggia neve "
Piacenza;26/12/2020;"3";"1";"6";"2";"94";"18";"5";"9";"0";"1017";"0";"0";""
Piacenza;27/12/2020;"0";"-3";"2";"2";"96";"17";"5";"9";"0";"1009";"0";"0";""
Piacenza;28/12/2020;"0";"-1";"1";"1";"100";"2";"6";"15";"0";"986";"0";"0";"neve "
Piacenza;29/12/2020;"-2";"-6";"1";"1";"100";"3";"4";"9";"0";"997";"0";"0";"nebbia "
Piacenza;30/12/2020;"2";"-1";"3";"2";"100";"5";"2";"5";"0";"1004";"0";"0";""
Piacenza;31/12/2020;"-2";"-7";"2";"2";"98";"7";"3";"8";"0";"1009";"0";"0";""
