LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/10/2020;"19";"14";"21";"15";"81";"18";"4";"8";"0";"1007";"0";"0";""
Piacenza;2/10/2020;"16";"15";"18";"16";"99";"3";"22";"28";"0";"998";"0";"0";"pioggia "
Piacenza;3/10/2020;"18";"15";"21";"9";"60";"19";"14";"28";"0";"997";"0";"0";""
Piacenza;4/10/2020;"18";"15";"21";"10";"62";"19";"16";"30";"0";"1003";"0";"0";"pioggia "
Piacenza;5/10/2020;"17";"12";"21";"13";"81";"17";"6";"13";"0";"1008";"0";"0";"pioggia "
Piacenza;6/10/2020;"16";"10";"18";"13";"84";"21";"5";"9";"0";"1013";"0";"0";""
Piacenza;7/10/2020;"19";"12";"23";"8";"55";"19";"13";"21";"0";"1011";"0";"0";""
Piacenza;8/10/2020;"17";"10";"22";"10";"67";"22";"3";"9";"0";"1021";"0";"0";""
Piacenza;9/10/2020;"17";"10";"20";"12";"76";"15";"7";"17";"0";"1021";"0";"0";""
Piacenza;10/10/2020;"18";"11";"21";"13";"76";"19";"6";"11";"0";"1016";"0";"0";""
Piacenza;11/10/2020;"11";"10";"12";"11";"100";"6";"9";"15";"0";"1011";"0";"0";"pioggia "
Piacenza;12/10/2020;"12";"9";"17";"10";"87";"21";"5";"8";"0";"1012";"0";"0";""
Piacenza;13/10/2020;"13";"6";"17";"5";"62";"17";"6";"15";"0";"1008";"0";"0";""
Piacenza;14/10/2020;"13";"9";"16";"10";"84";"19";"5";"8";"0";"1008";"0";"0";""
Piacenza;15/10/2020;"11";"10";"12";"11";"100";"8";"6";"11";"0";"1005";"0";"0";"pioggia "
Piacenza;16/10/2020;"13";"6";"16";"10";"86";"22";"2";"5";"0";"1012";"0";"0";"pioggia "
Piacenza;17/10/2020;"14";"6";"17";"10";"82";"22";"7";"13";"0";"1014";"0";"0";""
Piacenza;18/10/2020;"14";"8";"16";"12";"86";"21";"6";"11";"0";"1020";"0";"0";""
Piacenza;19/10/2020;"14";"9";"16";"14";"96";"9";"4";"8";"0";"1024";"0";"0";""
Piacenza;20/10/2020;"13";"7";"15";"12";"96";"12";"5";"13";"0";"1024";"0";"0";""
Piacenza;21/10/2020;"15";"9";"18";"12";"82";"12";"6";"9";"0";"1023";"0";"0";""
Piacenza;22/10/2020;"14";"11";"15";"14";"99";"10";"3";"8";"0";"1023";"0";"0";""
Piacenza;23/10/2020;"13";"13";"13";"13";"100";"1";"6";"11";"0";"1019";"0";"0";"pioggia nebbia "
Piacenza;24/10/2020;"15";"12";"20";"14";"94";"7";"6";"9";"0";"1015";"0";"0";"nebbia "
Piacenza;25/10/2020;"15";"9";"18";"13";"88";"19";"5";"13";"0";"1014";"0";"0";""
Piacenza;26/10/2020;"16";"13";"19";"14";"93";"9";"11";"21";"0";"1004";"0";"0";"pioggia "
Piacenza;27/10/2020;"13";"10";"16";"9";"75";"22";"10";"18";"0";"1008";"0";"0";""
Piacenza;28/10/2020;"14";"7";"17";"9";"78";"20";"5";"11";"0";"1016";"0";"0";""
Piacenza;29/10/2020;"14";"9";"17";"10";"81";"20";"5";"11";"0";"1018";"0";"0";""
Piacenza;30/10/2020;"14";"9";"17";"13";"93";"17";"5";"9";"0";"1022";"0";"0";""
Piacenza;31/10/2020;"13";"8";"15";"12";"98";"5";"5";"11";"0";"1023";"0";"0";"nebbia "
