LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/2/2021;"4";"2";"7";"4";"100";"3";"3";"9";"0";"999";"0";"0";"nebbia "
Piacenza;2/2/2021;"5";"3";"6";"5";"100";"1";"3";"8";"0";"1011";"0";"0";"nebbia "
Piacenza;3/2/2021;"5";"4";"5";"5";"100";"1";"3";"8";"0";"1014";"0";"0";"nebbia "
Piacenza;4/2/2021;"8";"5";"9";"8";"99";"7";"4";"8";"0";"1016";"0";"0";""
Piacenza;5/2/2021;"8";"7";"9";"8";"100";"2";"2";"5";"0";"1017";"0";"0";"nebbia "
Piacenza;6/2/2021;"8";"7";"9";"8";"100";"2";"5";"11";"0";"1013";"0";"0";"nebbia "
Piacenza;7/2/2021;"8";"7";"9";"8";"100";"11";"7";"15";"0";"996";"0";"0";"pioggia "
Piacenza;8/2/2021;"8";"4";"10";"7";"90";"20";"7";"11";"0";"993";"0";"0";""
Piacenza;9/2/2021;"8";"6";"9";"8";"100";"3";"3";"5";"0";"999";"0";"0";"pioggia "
Piacenza;10/2/2021;"7";"7";"8";"7";"99";"10";"9";"18";"0";"997";"0";"0";"pioggia "
Piacenza;11/2/2021;"7";"2";"11";"6";"96";"17";"6";"13";"0";"1010";"0";"0";""
Piacenza;12/2/2021;"3";"2";"4";"1";"79";"21";"24";"28";"0";"1022";"0";"0";""
Piacenza;13/2/2021;"0";"-1";"2";"0";"68";"21";"21";"30";"0";"1028";"0";"0";""
Piacenza;14/2/2021;"1";"-4";"6";"0";"63";"19";"8";"15";"0";"1037";"0";"0";""
Piacenza;15/2/2021;"3";"-3";"6";"1";"57";"19";"5";"13";"0";"1036";"0";"0";""
Piacenza;16/2/2021;"6";"-1";"9";"4";"76";"20";"7";"13";"0";"1025";"0";"0";""
Piacenza;17/2/2021;"8";"0";"11";"7";"94";"9";"5";"13";"0";"1021";"0";"0";""
Piacenza;18/2/2021;"6";"3";"8";"6";"100";"3";"2";"8";"0";"1022";"0";"0";""
Piacenza;19/2/2021;"8";"6";"9";"8";"100";"2";"3";"5";"0";"1023";"0";"0";""
Piacenza;20/2/2021;"9";"5";"12";"9";"98";"3";"3";"8";"0";"1024";"0";"0";"nebbia "
Piacenza;21/2/2021;"7";"5";"12";"7";"98";"2";"6";"15";"0";"1025";"0";"0";"nebbia "
Piacenza;22/2/2021;"9";"5";"10";"9";"100";"3";"5";"11";"0";"1031";"0";"0";""
Piacenza;23/2/2021;"11";"4";"15";"7";"80";"6";"6";"13";"0";"1035";"0";"0";""
Piacenza;24/2/2021;"13";"3";"18";"7";"71";"20";"6";"18";"0";"1034";"0";"0";""
Piacenza;25/2/2021;"14";"5";"19";"7";"68";"20";"6";"15";"0";"1031";"0";"0";""
Piacenza;26/2/2021;"14";"6";"18";"8";"67";"22";"7";"17";"0";"1026";"0";"0";""
Piacenza;27/2/2021;"13";"5";"17";"8";"76";"9";"14";"28";"0";"1023";"0";"0";""
Piacenza;28/2/2021;"10";"6";"13";"5";"70";"18";"13";"18";"0";"1031";"0";"0";""
