LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Piacenza;1/11/2021;"11";"11";"11";"11";"100";"2";"12";"18";"0";"1004";"0";"0";"pioggia "
Piacenza;2/11/2021;"10";"5";"14";"9";"97";"14";"5";"11";"0";"1001";"0";"0";"nebbia "
Piacenza;3/11/2021;"10";"9";"11";"10";"100";"3";"16";"21";"0";"1001";"0";"0";"pioggia "
Piacenza;4/11/2021;"10";"10";"10";"9";"94";"19";"8";"15";"0";"1005";"0";"0";""
Piacenza;5/11/2021;"10";"5";"12";"9";"91";"22";"5";"11";"0";"1018";"0";"0";""
Piacenza;6/11/2021;"10";"5";"13";"7";"82";"21";"6";"9";"0";"1025";"0";"0";""
Piacenza;7/11/2021;"9";"7";"11";"8";"93";"18";"3";"5";"0";"1018";"0";"0";""
Piacenza;8/11/2021;"9";"8";"10";"9";"100";"4";"11";"17";"0";"1017";"0";"0";"pioggia "
Piacenza;9/11/2021;"9";"7";"12";"9";"97";"8";"6";"13";"0";"1025";"0";"0";"pioggia nebbia "
Piacenza;10/11/2021;"11";"10";"12";"11";"96";"12";"3";"5";"0";"1026";"0";"0";""
Piacenza;11/11/2021;"12";"10";"13";"11";"97";"7";"4";"9";"0";"1023";"0";"0";""
Piacenza;12/11/2021;"11";"7";"14";"11";"100";"14";"5";"8";"0";"1018";"0";"0";""
Piacenza;13/11/2021;"10";"6";"11";"10";"100";"2";"5";"11";"0";"1016";"0";"0";"pioggia nebbia "
Piacenza;14/11/2021;"12";"11";"12";"12";"100";"3";"7";"15";"0";"1013";"0";"0";"pioggia "
Piacenza;15/11/2021;"11";"10";"11";"11";"100";"2";"6";"15";"0";"1018";"0";"0";"pioggia "
Piacenza;16/11/2021;"10";"7";"11";"10";"99";"8";"5";"13";"0";"1019";"0";"0";"pioggia "
Piacenza;17/11/2021;"11";"10";"12";"11";"100";"2";"5";"11";"0";"1019";"0";"0";""
Piacenza;18/11/2021;"11";"10";"11";"11";"100";"2";"4";"8";"0";"1025";"0";"0";""
Piacenza;19/11/2021;"9";"8";"10";"9";"100";"3";"7";"9";"0";"1028";"0";"0";""
Piacenza;20/11/2021;;;;;;;;;;;;;
Piacenza;21/11/2021;"7";"6";"7";"7";"100";"0";"6";"13";"0";"1012";"0";"0";"nebbia "
Piacenza;22/11/2021;"8";"7";"9";"8";"100";"3";"3";"4";"0";"1012";"0";"0";"pioggia "
Piacenza;23/11/2021;"10";"9";"12";"9";"96";"18";"9";"13";"0";"1021";"0";"0";""
Piacenza;24/11/2021;"6";"3";"11";"5";"91";"18";"7";"13";"0";"1021";"0";"0";""
Piacenza;25/11/2021;"5";"4";"5";"5";"100";"3";"4";"8";"0";"1011";"0";"0";"pioggia "
Piacenza;26/11/2021;"8";"6";"11";"7";"93";"21";"7";"13";"0";"995";"0";"0";""
Piacenza;27/11/2021;"6";"4";"8";"6";"100";"2";"4";"9";"0";"992";"0";"0";"nebbia "
Piacenza;28/11/2021;"6";"4";"8";"5";"94";"13";"8";"21";"0";"992";"0";"0";"pioggia "
Piacenza;29/11/2021;"6";"0";"9";"2";"75";"19";"7";"15";"0";"1002";"0";"0";""
Piacenza;30/11/2021;"7";"1";"10";"3";"59";"20";"13";"22";"0";"1015";"0";"0";""
