,data,Regione,Dose1,Dose2,DoseUnica,Booster1,Booster3Dosi,Booster2,Dose1Cum,Dose2Cum,DoseUnicaCum,Booster1Cum,Booster3DosiCum,Booster2Cum
0,2020-12-27,Emilia-Romagna,973,0,0,0,0,0,973,0,0,0,0,0
2,2020-12-28,Emilia-Romagna,1,0,0,0,0,0,974,0,0,0,0,0
5,2020-12-30,Emilia-Romagna,2,0,0,0,0,0,976,0,0,0,0,0
7,2020-12-31,Emilia-Romagna,2216,0,7,0,0,0,3192,0,7,0,0,0
10,2021-01-02,Emilia-Romagna,2380,0,1,0,0,0,5572,0,8,0,0,0
12,2021-01-03,Emilia-Romagna,2766,0,0,0,0,0,8338,0,8,0,0,0
14,2021-01-04,Emilia-Romagna,7311,0,14,0,0,0,15649,0,22,0,0,0
16,2021-01-05,Emilia-Romagna,9361,0,20,0,0,0,25010,0,42,0,0,0
18,2021-01-06,Emilia-Romagna,8252,0,56,0,0,0,33262,0,98,0,0,0
20,2021-01-07,Emilia-Romagna,10292,0,18,0,0,0,43554,0,116,0,0,0
22,2021-01-08,Emilia-Romagna,10838,0,59,0,0,0,54392,0,175,0,0,0
24,2021-01-09,Emilia-Romagna,10005,0,24,0,0,0,64397,0,199,0,0,0
26,2021-01-10,Emilia-Romagna,7175,0,12,0,0,0,71572,0,211,0,0,0
28,2021-01-11,Emilia-Romagna,9341,0,22,0,0,0,80913,0,233,0,0,0
30,2021-01-12,Emilia-Romagna,9459,0,28,0,0,0,90372,0,261,0,0,0
32,2021-01-13,Emilia-Romagna,9039,0,50,0,0,0,99411,0,311,0,0,0
34,2021-01-14,Emilia-Romagna,8098,0,41,0,0,0,107509,0,352,0,0,0
36,2021-01-15,Emilia-Romagna,7748,0,14,0,0,0,115257,0,366,0,0,0
38,2021-01-16,Emilia-Romagna,5593,0,40,0,0,0,120850,0,406,0,0,0
40,2021-01-17,Emilia-Romagna,2649,249,4,0,0,0,123499,249,410,0,0,0
42,2021-01-18,Emilia-Romagna,2448,681,9,0,0,0,125947,930,419,0,0,0
44,2021-01-19,Emilia-Romagna,2035,17,2,0,0,0,127982,947,421,0,0,0
46,2021-01-20,Emilia-Romagna,1331,1,2,0,0,0,129313,948,423,0,0,0
48,2021-01-21,Emilia-Romagna,823,1349,1,0,0,0,130136,2297,424,0,0,0
50,2021-01-22,Emilia-Romagna,1085,748,5,0,0,0,131221,3045,429,0,0,0
52,2021-01-23,Emilia-Romagna,437,2009,1,0,0,0,131658,5054,430,0,0,0
54,2021-01-24,Emilia-Romagna,299,2149,1,0,0,0,131957,7203,431,0,0,0
56,2021-01-25,Emilia-Romagna,202,6269,2,0,0,0,132159,13472,433,0,0,0
58,2021-01-26,Emilia-Romagna,206,8131,3,0,0,0,132365,21603,436,0,0,0
60,2021-01-27,Emilia-Romagna,459,7912,1,0,0,0,132824,29515,437,0,0,0
62,2021-01-28,Emilia-Romagna,342,9916,5,0,0,0,133166,39431,442,0,0,0
64,2021-01-29,Emilia-Romagna,285,10155,2,0,0,0,133451,49586,444,0,0,0
66,2021-01-30,Emilia-Romagna,135,9970,1,0,0,0,133586,59556,445,0,0,0
68,2021-01-31,Emilia-Romagna,240,7478,0,0,0,0,133826,67034,445,0,0,0
70,2021-02-01,Emilia-Romagna,355,9980,2,0,0,0,134181,77014,447,0,0,0
72,2021-02-02,Emilia-Romagna,533,8968,2,0,0,0,134714,85982,449,0,0,0
74,2021-02-03,Emilia-Romagna,963,8396,2,0,0,0,135677,94378,451,0,0,0
