,LOCALITA,DATA,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI
120,Pavia,2018-01-01,3.0,2.0,5.0,3.0,94.0,5.0,5.0,11.0,0.0,1012.0,0.0,0.0,pioggia 
121,Pavia,2018-01-02,6.0,2.0,14.0,2.0,72.0,13.0,8.0,21.0,0.0,1014.0,0.0,0.0,
122,Pavia,2018-01-03,4.0,-1.0,8.0,1.0,73.0,19.0,6.0,18.0,0.0,1010.0,0.0,0.0,pioggia 
123,Pavia,2018-01-04,6.0,2.0,12.0,3.0,75.0,18.0,6.0,13.0,0.0,1007.0,0.0,0.0,
124,Pavia,2018-01-05,5.0,2.0,8.0,3.0,89.0,5.0,5.0,15.0,0.0,1009.0,0.0,0.0,pioggia nebbia 
125,Pavia,2018-01-06,7.0,6.0,8.0,7.0,99.0,3.0,4.0,11.0,0.0,1013.0,0.0,0.0,pioggia 
126,Pavia,2018-01-07,8.0,7.0,9.0,8.0,99.0,2.0,7.0,13.0,0.0,1019.0,0.0,0.0,pioggia nebbia 
127,Pavia,2018-01-08,11.0,8.0,13.0,9.0,93.0,9.0,15.0,33.0,0.0,1021.0,0.0,0.0,pioggia 
128,Pavia,2018-01-09,11.0,9.0,12.0,9.0,89.0,10.0,11.0,30.0,0.0,1018.0,0.0,0.0,pioggia temporale 
129,Pavia,2018-01-10,8.0,7.0,10.0,7.0,91.0,12.0,7.0,13.0,0.0,1015.0,0.0,0.0,pioggia 
130,Pavia,2018-01-11,7.0,5.0,9.0,6.0,94.0,9.0,5.0,9.0,0.0,1013.0,0.0,0.0,pioggia nebbia 
131,Pavia,2018-01-12,7.0,5.0,11.0,4.0,83.0,13.0,6.0,15.0,0.0,1020.0,0.0,0.0,nebbia 
132,Pavia,2018-01-13,4.0,0.0,10.0,3.0,88.0,16.0,5.0,13.0,0.0,1022.0,0.0,0.0,nebbia 
133,Pavia,2018-01-14,3.0,-1.0,8.0,2.0,93.0,4.0,4.0,11.0,0.0,1022.0,0.0,0.0,nebbia 
134,Pavia,2018-01-15,3.0,1.0,5.0,3.0,98.0,2.0,5.0,13.0,0.0,1022.0,0.0,0.0,pioggia nebbia 
135,Pavia,2018-01-16,4.0,0.0,6.0,3.0,96.0,3.0,5.0,11.0,0.0,1009.0,0.0,0.0,pioggia nebbia 
136,Pavia,2018-01-17,5.0,-1.0,11.0,2.0,74.0,12.0,9.0,24.0,0.0,1006.0,0.0,0.0,nebbia 
