DATA_RILEVAZIONE,BENZINA,GASOLIO_AUTO,GPL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ
2005-01-03,1115.75,1018.28,552.5,948.5,553.25,229.52
2005-01-10,1088,1004.39,552.57,947.94,554.22,238.37
2005-01-17,1088.14,1004.31,551.88,952.42,562.78,245.89
2005-01-24,1090.01,1004.31,551.88,963.98,573.42,243.84
2005-01-31,1132.11,1022.6,551.88,972.95,579.23,242.53
2005-02-07,1135.87,1022.67,551.88,955.66,565.28,250.24
2005-02-14,1135.88,1022.46,551.88,963.5,567.19,246.86
2005-02-21,1136.04,1022.79,551.88,968.29,567.01,242.84
2005-02-28,1136.04,1022.85,551.88,989.42,571.97,258.17
2005-03-07,1158.78,1047.59,552.37,1012.05,587.08,266.79
2005-03-14,1185.9,1072.72,553.56,1007,587.2,273.09
2005-03-21,1185.98,1072.86,553.56,1014.9,589.28,276.86
2005-04-04,1187.92,1074.63,553.56,1025.15,603.17,289.78
2005-04-11,1236.35,1122.8,553.81,1030.84,608.22,313.53
2005-04-18,1236.35,1122.8,553.81,1018.49,602.77,289.2
2005-04-25,1234.89,1121.45,553.81,1016.08,605.23,294.82
2005-05-02,1234.89,1092.92,553.2,1008.37,600.28,289.41
2005-05-09,1215.38,1072.72,553.2,1000.75,592.43,279.99
2005-05-16,1201.12,1062.62,553.2,986.34,578.27,284.06
2005-05-23,1186.26,1052.68,553.2,990.43,585.79,292.33
2005-05-30,1186.26,1052.68,553.2,1001,594.08,287.22
2005-06-06,1197.86,1074.55,553.2,1024.37,600.94,290.06
2005-06-13,1216.26,1102.35,553.2,1039.01,610.85,292.25
2005-06-20,1216.44,1104.03,553.2,1050.01,617.81,311.35
2005-06-27,1231.19,1120.85,553.2,1059.54,635.86,328.78
2005-07-04,1245.79,1131.05,553.44,1064.42,645.06,316.56
2005-07-11,1246.15,1131.97,553.44,1081.69,647.88,329.41
2005-07-18,1247.67,1133.37,553.44,1072.66,645.16,325.33
2005-07-25,1245.7,1132.13,553.44,1056.69,647.26,319.07
2005-08-01,1246.26,1132.13,553.44,1062.67,639.43,321.7
2005-08-08,1246.26,1132.82,553.44,1065.31,649.28,321.56
2005-08-22,1275.6,1157.26,555.16,1087.73,646.84,326.21
2005-08-29,1277.05,1157.9,555.16,1111.53,665.08,329.28
2005-09-05,1306.89,1179.13,555.16,1148.23,688.76,359.42
2005-09-12,1329.84,1206.9,578.22,1121.71,677,350.45
2005-09-19,1296.46,1178.61,579,1124.51,685.98,356.72
2005-09-26,1293.42,1177.67,579.54,1134.44,699.53,373.2
2005-10-03,1335.22,1217.1,593.24,1149.46,695.83,371.83
2005-10-10,1337.86,1218.09,599,1136.83,691.57,352.13
2005-10-17,1334.07,1216.71,599,1145.53,702.95,368.85
2005-10-24,1295.58,1208.15,599,1125.59,698.92,363.41
2005-10-31,1256.81,1169.02,601.29,1123.6,698.32,361.23
2005-11-07,1255.08,1167.34,604.47,1104.32,685.58,343.69
2005-11-14,1245.95,1138.33,606.56,1091.94,686.04,345.84
2005-11-21,1226.62,1118.46,625.92,1090.86,683.43,351.99
2005-11-28,1226.19,1118.46,629,1074.63,687.79,337.54
