,id_ristorante,Location,Regione,Provincia,data,scontrini,lordototale,Prezzo_medio_per_scontrino,Giorno,Month,Year,Season,Weekend,Festivo,Popolazione,Precipitazioni(mm),Pioggia,ColoreCOVID,Dose1,Dose2,DoseUnica,Booster1,Booster3Dosi,Booster2,Dose1Cum,Dose2Cum,DoseUnicaCum,Booster1Cum,Booster3DosiCum,Booster2Cum,BENZINA,GASOLIO_AUTO,GPL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ,BENZINA/LITRO,GASOLIO_AUTO/LITRO,GPL/LITRO,GASOLIO_RISCALDAMENTO/LITRO,O.C._FLUIDO_BTZ/LITRO,O.C._DENSO_BTZ/LITRO,Durum wheat (€/Tonne),Feed barley (€/Tonne),Maize (€/Tonne),Milling wheat (€/Tonne)
0,R000,Montebello,Lombardia,Pavia,2018-01-01,21884.0,500409.9,22.866473222445624,Monday,1,2018,Winter,False,True,1596,8.6,True,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
1,R000,Montebello,Lombardia,Pavia,2018-01-02,,,,Tuesday,1,2018,Winter,False,False,1596,,,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
2,R000,Montebello,Lombardia,Pavia,2018-01-03,,,,Wednesday,1,2018,Winter,False,False,1596,,,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
3,R000,Montebello,Lombardia,Pavia,2018-01-04,,,,Thursday,1,2018,Winter,False,False,1596,,,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
4,R000,Montebello,Lombardia,Pavia,2018-01-05,,,,Friday,1,2018,Winter,False,False,1596,1.0,True,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
5,R000,Montebello,Lombardia,Pavia,2018-01-06,,,,Saturday,1,2018,Winter,True,True,1596,5.4,True,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
6,R000,Montebello,Lombardia,Pavia,2018-01-07,,,,Sunday,1,2018,Winter,True,True,1596,0.4,True,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
7,R000,Montebello,Lombardia,Pavia,2018-01-08,,,,Monday,1,2018,Winter,False,False,1596,1.0,True,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213,223.5,179.0,176.0,192.0
8,R000,Montebello,Lombardia,Pavia,2018-01-09,,,,Tuesday,1,2018,Winter,False,False,1596,5.2,True,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213,223.5,179.0,176.0,192.0
9,R000,Montebello,Lombardia,Pavia,2018-01-10,,,,Wednesday,1,2018,Winter,False,False,1596,0.2,True,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213,223.5,179.0,176.0,192.0
