,id_ristorante,Location,Regione,Provincia,data,scontrini,lordototale,Prezzo_medio_per_scontrino,Giorno,Month,Year,Season,Weekend,Festivo,Popolazione,Precipitazioni(mm),Pioggia,ColoreCOVID,Dose1,Dose2,DoseUnica,Booster1,Booster3Dosi,Booster2,Dose1Cum,Dose2Cum,DoseUnicaCum,Booster1Cum,Booster3DosiCum,Booster2Cum,BENZINA,GASOLIO_AUTO,GPL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ,BENZINA/LITRO,GASOLIO_AUTO/LITRO,GPL/LITRO,GASOLIO_RISCALDAMENTO/LITRO,O.C._FLUIDO_BTZ/LITRO,O.C._DENSO_BTZ/LITRO,Durum wheat (€/Tonne),Feed barley (€/Tonne),Maize (€/Tonne),Milling wheat (€/Tonne)
4743,R004,Stradella,Lombardia,Pavia,2018-01-01,23173.0,516431.7,22.28592327277435,Monday,1,2018,Winter,False,True,11637,,,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
4744,R004,Stradella,Lombardia,Pavia,2018-01-02,,,,Tuesday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
4745,R004,Stradella,Lombardia,Pavia,2018-01-03,,,,Wednesday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
4746,R004,Stradella,Lombardia,Pavia,2018-01-04,,,,Thursday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
4747,R004,Stradella,Lombardia,Pavia,2018-01-05,,,,Friday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
4748,R004,Stradella,Lombardia,Pavia,2018-01-06,,,,Saturday,1,2018,Winter,True,True,11637,,,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
4749,R004,Stradella,Lombardia,Pavia,2018-01-07,,,,Sunday,1,2018,Winter,True,True,11637,,,,,,,,,,,,,,,,1554.54,1426.58,677.99,1219.91,815.81,407.41,1.55454,1.42658,0.67799,1.21991,0.8158099999999999,0.40741000000000005,223.5,179.0,176.0,192.0
4750,R004,Stradella,Lombardia,Pavia,2018-01-08,,,,Monday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213,223.5,179.0,176.0,192.0
4751,R004,Stradella,Lombardia,Pavia,2018-01-09,,,,Tuesday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213,223.5,179.0,176.0,192.0
4752,R004,Stradella,Lombardia,Pavia,2018-01-10,,,,Wednesday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213,223.5,179.0,176.0,192.0
4753,R004,Stradella,Lombardia,Pavia,2018-01-11,,,,Thursday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213,224.5,182.0,176.0,192.0
4754,R004,Stradella,Lombardia,Pavia,2018-01-12,,,,Friday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213,224.5,182.0,176.0,192.0
4755,R004,Stradella,Lombardia,Pavia,2018-01-13,,,,Saturday,1,2018,Winter,True,False,11637,,,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213,224.5,182.0,176.0,192.0
4756,R004,Stradella,Lombardia,Pavia,2018-01-14,,,,Sunday,1,2018,Winter,True,True,11637,,,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213,224.5,182.0,176.0,192.0
4757,R004,Stradella,Lombardia,Pavia,2018-01-15,,,,Monday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1566.62,1441.24,677.56,1242.54,832.9,421.1,1.56662,1.44124,0.6775599999999999,1.24254,0.8329,0.42110000000000003,224.5,182.0,176.0,192.0
4758,R004,Stradella,Lombardia,Pavia,2018-01-16,,,,Tuesday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1566.62,1441.24,677.56,1242.54,832.9,421.1,1.56662,1.44124,0.6775599999999999,1.24254,0.8329,0.42110000000000003,224.5,182.0,176.0,192.0
4759,R004,Stradella,Lombardia,Pavia,2018-01-17,,,,Wednesday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1566.62,1441.24,677.56,1242.54,832.9,421.1,1.56662,1.44124,0.6775599999999999,1.24254,0.8329,0.42110000000000003,224.5,182.0,176.0,192.0
4760,R004,Stradella,Lombardia,Pavia,2018-01-18,,,,Thursday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1566.62,1441.24,677.56,1242.54,832.9,421.1,1.56662,1.44124,0.6775599999999999,1.24254,0.8329,0.42110000000000003,226.5,182.0,175.0,192.0
4761,R004,Stradella,Lombardia,Pavia,2018-01-19,,,,Friday,1,2018,Winter,False,False,11637,,,,,,,,,,,,,,,,1566.62,1441.24,677.56,1242.54,832.9,421.1,1.56662,1.44124,0.6775599999999999,1.24254,0.8329,0.42110000000000003,226.5,182.0,175.0,192.0
4762,R004,Stradella,Lombardia,Pavia,2018-01-20,,,,Saturday,1,2018,Winter,True,False,11637,,,,,,,,,,,,,,,,1566.62,1441.24,677.56,1242.54,832.9,421.1,1.56662,1.44124,0.6775599999999999,1.24254,0.8329,0.42110000000000003,226.5,182.0,175.0,192.0
