,id_ristorante,Location,Regione,Provincia,data,scontrini,lordototale,Prezzo_medio_per_scontrino,Giorno,Month,Year,Season,Weekend,Festivo,Popolazione,Precipitazioni(mm),Pioggia,ColoreCOVID,Dose1,Dose2,DoseUnica,Booster1,Booster3Dosi,Booster2,Dose1Cum,Dose2Cum,DoseUnicaCum,Booster1Cum,Booster3DosiCum,Booster2Cum,BENZINA,GASOLIO_AUTO,GPL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ,BENZINA/LITRO,GASOLIO_AUTO/LITRO,GPL/LITRO,GASOLIO_RISCALDAMENTO/LITRO,O.C._FLUIDO_BTZ/LITRO,O.C._DENSO_BTZ/LITRO
3162,R005,Voghera,Lombardia,Pavia,2018-01-01,19541.0,408110.4,20.884826774474185,Monday,1,2018,Winter,False,True,39354,8.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3163,R005,Voghera,Lombardia,Pavia,2018-01-02,,,,Tuesday,1,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,R005,Voghera,Lombardia,Pavia,2018-01-03,,,,Wednesday,1,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3165,R005,Voghera,Lombardia,Pavia,2018-01-04,,,,Thursday,1,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,R005,Voghera,Lombardia,Pavia,2018-01-05,,,,Friday,1,2018,Winter,False,False,39354,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
3167,R005,Voghera,Lombardia,Pavia,2018-01-06,,,,Saturday,1,2018,Winter,True,True,39354,5.4,True,,,,,,,,,,,,,,,,,,,,,,,,,
3168,R005,Voghera,Lombardia,Pavia,2018-01-07,,,,Sunday,1,2018,Winter,True,True,39354,0.4,True,,,,,,,,,,,,,,,,,,,,,,,,,
3169,R005,Voghera,Lombardia,Pavia,2018-01-08,,,,Monday,1,2018,Winter,False,False,39354,1.0,True,,,,,,,,,,,,,,1561.51,1435.68,677.6,1230.87,821.34,421.3,1.56151,1.43568,0.6776,1.23087,0.8213400000000001,0.4213
3170,R005,Voghera,Lombardia,Pavia,2018-01-09,,,,Tuesday,1,2018,Winter,False,False,39354,5.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3171,R005,Voghera,Lombardia,Pavia,2018-01-10,,,,Wednesday,1,2018,Winter,False,False,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3172,R005,Voghera,Lombardia,Pavia,2018-01-11,,,,Thursday,1,2018,Winter,False,False,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3173,R005,Voghera,Lombardia,Pavia,2018-01-12,,,,Friday,1,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3174,R005,Voghera,Lombardia,Pavia,2018-01-13,,,,Saturday,1,2018,Winter,True,False,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3175,R005,Voghera,Lombardia,Pavia,2018-01-14,,,,Sunday,1,2018,Winter,True,True,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3176,R005,Voghera,Lombardia,Pavia,2018-01-15,,,,Monday,1,2018,Winter,False,False,39354,0.8,True,,,,,,,,,,,,,,1566.62,1441.24,677.56,1242.54,832.9,421.1,1.56662,1.44124,0.6775599999999999,1.24254,0.8329,0.42110000000000003
3177,R005,Voghera,Lombardia,Pavia,2018-01-16,,,,Tuesday,1,2018,Winter,False,False,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3178,R005,Voghera,Lombardia,Pavia,2018-01-17,,,,Wednesday,1,2018,Winter,False,False,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3179,R005,Voghera,Lombardia,Pavia,2018-01-18,,,,Thursday,1,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3180,R005,Voghera,Lombardia,Pavia,2018-01-19,,,,Friday,1,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3181,R005,Voghera,Lombardia,Pavia,2018-01-20,,,,Saturday,1,2018,Winter,True,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3182,R005,Voghera,Lombardia,Pavia,2018-01-21,,,,Sunday,1,2018,Winter,True,True,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3183,R005,Voghera,Lombardia,Pavia,2018-01-22,,,,Monday,1,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,1571.37,1446.52,677.48,1235.87,826.01,413.74,1.57137,1.44652,0.67748,1.2358699999999998,0.82601,0.41374
3184,R005,Voghera,Lombardia,Pavia,2018-01-23,,,,Tuesday,1,2018,Winter,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
