data,scontrini,lordototale,id_ristorante
20180101,21884.0,500409.9,R000
20180101,19961.0,252223.2,R003
20180101,19541.0,408110.4,R005
20180101,23173.0,516431.7,R004
20180101,28101.0,782775.9,R001
20180102,0.0,0.0,R001
20180102,0.0,0.0,R000
20180102,0.0,0.0,R003
20180102,0.0,0.0,R005
20180102,0.0,0.0,R004
20180103,0.0,0.0,R001
20180103,0.0,0.0,R004
20180103,0.0,0.0,R003
20180103,0.0,0.0,R005
20180103,0.0,0.0,R000
20180104,0.0,0.0,R001
20180104,0.0,0.0,R005
20180104,0.0,0.0,R004
20180104,0.0,0.0,R000
20180104,0.0,0.0,R003
20180105,0.0,0.0,R004
20180105,0.0,0.0,R005
20180105,0.0,0.0,R003
20180105,0.0,0.0,R000
20180105,0.0,0.0,R001
20180106,0.0,0.0,R003
20180106,0.0,0.0,R000
20180106,0.0,0.0,R005
20180106,0.0,0.0,R004
20180106,0.0,0.0,R001
20180107,0.0,0.0,R001
20180107,0.0,0.0,R003
20180107,0.0,0.0,R000
20180107,0.0,0.0,R005
20180107,0.0,0.0,R004
20180108,0.0,0.0,R001
20180108,0.0,0.0,R005
20180108,0.0,0.0,R004
20180108,0.0,0.0,R003
20180108,0.0,0.0,R000
20180109,0.0,0.0,R003
20180109,0.0,0.0,R005
20180109,0.0,0.0,R004
20180109,0.0,0.0,R001
20180109,0.0,0.0,R000
20180110,0.0,0.0,R003
20180110,0.0,0.0,R000
20180110,0.0,0.0,R001
20180110,0.0,0.0,R005
20180110,0.0,0.0,R004
20180111,0.0,0.0,R001
20180111,0.0,0.0,R000
20180111,0.0,0.0,R004
20180111,0.0,0.0,R003
20180111,0.0,0.0,R005
20180112,0.0,0.0,R005
20180112,0.0,0.0,R003
20180112,0.0,0.0,R000
20180112,0.0,0.0,R004
20180112,0.0,0.0,R001
20180113,0.0,0.0,R003
20180113,0.0,0.0,R004
20180113,0.0,0.0,R000
20180113,0.0,0.0,R005
20180113,0.0,0.0,R001
20180114,0.0,0.0,R004
20180114,0.0,0.0,R001
20180114,0.0,0.0,R000
20180114,0.0,0.0,R005
20180114,0.0,0.0,R003
20180115,0.0,0.0,R005
20180115,0.0,0.0,R000
20180115,0.0,0.0,R001
20180115,0.0,0.0,R004
20180115,0.0,0.0,R003
20180116,0.0,0.0,R003
20180116,0.0,0.0,R005
20180116,0.0,0.0,R004
20180116,0.0,0.0,R000
20180116,0.0,0.0,R001
20180117,0.0,0.0,R004
20180117,0.0,0.0,R003
20180117,0.0,0.0,R000
20180117,0.0,0.0,R001
20180117,0.0,0.0,R005
20180118,0.0,0.0,R003
20180118,0.0,0.0,R000
20180118,0.0,0.0,R004
20180118,0.0,0.0,R005
20180118,0.0,0.0,R001
20180119,0.0,0.0,R003
20180119,0.0,0.0,R001
20180119,0.0,0.0,R004
20180119,0.0,0.0,R005
20180119,0.0,0.0,R000
20180120,0.0,0.0,R004
20180120,0.0,0.0,R005
20180120,0.0,0.0,R001
20180120,0.0,0.0,R003
20180120,0.0,0.0,R000
20180121,0.0,0.0,R001
20180121,0.0,0.0,R000
20180121,0.0,0.0,R003
20180121,0.0,0.0,R005
20180121,0.0,0.0,R004
20180122,0.0,0.0,R003
20180122,0.0,0.0,R001
20180122,0.0,0.0,R000
20180122,0.0,0.0,R004
20180122,0.0,0.0,R005
20180123,0.0,0.0,R003
20180123,0.0,0.0,R004
20180123,0.0,0.0,R005
20180123,0.0,0.0,R001
20180123,0.0,0.0,R000
20180124,0.0,0.0,R004
20180124,0.0,0.0,R003
20180124,0.0,0.0,R005
20180124,0.0,0.0,R000
20180124,0.0,0.0,R001
20180125,0.0,0.0,R000
20180125,0.0,0.0,R001
20180125,0.0,0.0,R005
20180125,0.0,0.0,R003
20180125,0.0,0.0,R004
20180126,0.0,0.0,R005
20180126,0.0,0.0,R000
20180126,0.0,0.0,R001
20180126,0.0,0.0,R003
20180126,0.0,0.0,R004
20180127,0.0,0.0,R000
20180127,0.0,0.0,R001
20180127,0.0,0.0,R004
20180127,0.0,0.0,R003
20180127,0.0,0.0,R005
20180128,0.0,0.0,R003
20180128,0.0,0.0,R000
20180128,0.0,0.0,R004
20180128,0.0,0.0,R001
20180128,0.0,0.0,R005
20180129,0.0,0.0,R003
20180129,0.0,0.0,R000
20180129,0.0,0.0,R005
20180129,0.0,0.0,R001
20180129,0.0,0.0,R004
20180130,0.0,0.0,R005
20180130,0.0,0.0,R003
20180130,0.0,0.0,R001
20180130,0.0,0.0,R000
20180130,0.0,0.0,R004
20180131,0.0,0.0,R003
20180131,0.0,0.0,R005
20180131,0.0,0.0,R000
20180131,0.0,0.0,R001
20180131,0.0,0.0,R004
20180201,19245.0,395039.7,R005
20180201,22572.0,473925.6,R004
20180201,25476.0,687050.1000000001,R001
20180201,17490.0,387601.2,R000
20180201,20436.0,242295.3,R003
20180202,0.0,0.0,R000
20180202,0.0,0.0,R001
20180202,0.0,0.0,R004
20180202,0.0,0.0,R003
20180202,0.0,0.0,R005
20180203,0.0,0.0,R005
20180203,0.0,0.0,R004
20180203,0.0,0.0,R003
20180203,0.0,0.0,R001
20180203,0.0,0.0,R000
20180204,0.0,0.0,R001
20180204,0.0,0.0,R005
20180204,0.0,0.0,R003
20180204,0.0,0.0,R004
20180204,0.0,0.0,R000
20180205,0.0,0.0,R005
20180205,0.0,0.0,R003
20180205,0.0,0.0,R001
20180205,0.0,0.0,R000
20180205,0.0,0.0,R004
20180206,0.0,0.0,R004
20180206,0.0,0.0,R001
20180206,0.0,0.0,R005
20180206,0.0,0.0,R003
20180206,0.0,0.0,R000
20180207,0.0,0.0,R003
20180207,0.0,0.0,R005
20180207,0.0,0.0,R004
20180207,0.0,0.0,R000
20180207,0.0,0.0,R001
20180208,0.0,0.0,R005
20180208,0.0,0.0,R001
20180208,0.0,0.0,R004
20180208,0.0,0.0,R000
20180208,0.0,0.0,R003
20180209,0.0,0.0,R003
20180209,0.0,0.0,R001
20180209,0.0,0.0,R005
20180209,0.0,0.0,R000
20180209,0.0,0.0,R004
20180210,0.0,0.0,R004
20180210,0.0,0.0,R001
20180210,0.0,0.0,R003
20180210,0.0,0.0,R005
20180210,0.0,0.0,R000
20180211,0.0,0.0,R004
20180211,0.0,0.0,R003
20180211,0.0,0.0,R005
20180211,0.0,0.0,R001
20180211,0.0,0.0,R000
20180212,0.0,0.0,R001
20180212,0.0,0.0,R000
20180212,0.0,0.0,R005
20180212,0.0,0.0,R004
20180212,0.0,0.0,R003
20180213,0.0,0.0,R000
20180213,0.0,0.0,R005
20180213,0.0,0.0,R001
20180213,0.0,0.0,R003
20180213,0.0,0.0,R004
20180214,0.0,0.0,R000
20180214,0.0,0.0,R005
20180214,0.0,0.0,R001
20180214,0.0,0.0,R003
20180214,0.0,0.0,R004
20180215,0.0,0.0,R000
20180215,0.0,0.0,R003
20180215,0.0,0.0,R001
20180215,0.0,0.0,R004
20180215,0.0,0.0,R005
20180216,0.0,0.0,R003
20180216,0.0,0.0,R004
20180216,0.0,0.0,R005
20180216,0.0,0.0,R000
20180216,0.0,0.0,R001
20180217,0.0,0.0,R000
20180217,0.0,0.0,R003
20180217,0.0,0.0,R004
20180217,0.0,0.0,R005
20180217,0.0,0.0,R001
20180218,0.0,0.0,R003
20180218,0.0,0.0,R005
20180218,0.0,0.0,R000
20180218,0.0,0.0,R004
20180218,0.0,0.0,R001
20180219,0.0,0.0,R003
20180219,0.0,0.0,R001
20180219,0.0,0.0,R004
20180219,0.0,0.0,R005
20180219,0.0,0.0,R000
20180220,0.0,0.0,R001
20180220,0.0,0.0,R003
20180220,0.0,0.0,R005
20180220,0.0,0.0,R004
20180220,0.0,0.0,R000
20180221,0.0,0.0,R004
20180221,0.0,0.0,R003
20180221,0.0,0.0,R001
20180221,0.0,0.0,R000
20180221,0.0,0.0,R005
20180222,0.0,0.0,R005
20180222,0.0,0.0,R000
20180222,0.0,0.0,R004
20180222,0.0,0.0,R001
20180222,0.0,0.0,R003
20180223,0.0,0.0,R000
20180223,0.0,0.0,R003
20180223,0.0,0.0,R005
20180223,0.0,0.0,R004
20180223,0.0,0.0,R001
20180224,0.0,0.0,R000
20180224,0.0,0.0,R004
20180224,0.0,0.0,R001
20180224,0.0,0.0,R005
20180224,0.0,0.0,R003
20180225,0.0,0.0,R003
20180225,0.0,0.0,R000
20180225,0.0,0.0,R001
20180225,0.0,0.0,R005
20180225,0.0,0.0,R004
20180226,0.0,0.0,R004
20180226,0.0,0.0,R000
20180226,0.0,0.0,R001
20180226,0.0,0.0,R003
20180226,0.0,0.0,R005
20180227,0.0,0.0,R001
20180227,0.0,0.0,R000
20180227,0.0,0.0,R005
20180227,0.0,0.0,R004
20180227,0.0,0.0,R003
20180228,0.0,0.0,R000
20180228,0.0,0.0,R001
20180228,0.0,0.0,R003
20180228,0.0,0.0,R004
20180228,0.0,0.0,R005
20180301,28637.0,739786.5,R001
20180301,23149.0,263808.9,R003
20180301,21714.0,449730.9,R000
20180301,24843.0,503725.50000000006,R004
20180301,22739.0,439546.5,R005
20180302,0.0,0.0,R005
20180302,0.0,0.0,R003
20180302,0.0,0.0,R001
20180302,0.0,0.0,R000
20180302,0.0,0.0,R004
20180303,0.0,0.0,R005
20180303,0.0,0.0,R003
20180303,0.0,0.0,R001
20180303,0.0,0.0,R004
20180303,0.0,0.0,R000
20180304,0.0,0.0,R000
20180304,0.0,0.0,R004
20180304,0.0,0.0,R003
20180304,0.0,0.0,R001
20180304,0.0,0.0,R005
20180305,0.0,0.0,R004
20180305,0.0,0.0,R005
20180305,0.0,0.0,R001
20180305,0.0,0.0,R000
20180305,0.0,0.0,R003
20180306,0.0,0.0,R004
20180306,0.0,0.0,R003
20180306,0.0,0.0,R005
20180306,0.0,0.0,R000
20180306,0.0,0.0,R001
20180307,0.0,0.0,R000
20180307,0.0,0.0,R004
20180307,0.0,0.0,R005
20180307,0.0,0.0,R003
20180307,0.0,0.0,R001
20180308,0.0,0.0,R001
20180308,0.0,0.0,R003
20180308,0.0,0.0,R004
20180308,0.0,0.0,R000
20180308,0.0,0.0,R005
20180309,0.0,0.0,R003
20180309,0.0,0.0,R001
20180309,0.0,0.0,R005
20180309,0.0,0.0,R004
20180309,0.0,0.0,R000
20180310,0.0,0.0,R004
20180310,0.0,0.0,R003
20180310,0.0,0.0,R000
20180310,0.0,0.0,R005
20180310,0.0,0.0,R001
20180311,0.0,0.0,R004
20180311,0.0,0.0,R001
20180311,0.0,0.0,R003
20180311,0.0,0.0,R005
20180311,0.0,0.0,R000
20180312,0.0,0.0,R004
20180312,0.0,0.0,R000
20180312,0.0,0.0,R005
20180312,0.0,0.0,R001
20180312,0.0,0.0,R003
20180313,0.0,0.0,R003
20180313,0.0,0.0,R001
20180313,0.0,0.0,R004
20180313,0.0,0.0,R000
20180313,0.0,0.0,R005
20180314,0.0,0.0,R004
20180314,0.0,0.0,R000
20180314,0.0,0.0,R003
20180314,0.0,0.0,R005
20180314,0.0,0.0,R001
20180315,0.0,0.0,R005
20180315,0.0,0.0,R004
20180315,0.0,0.0,R001
20180315,0.0,0.0,R003
20180315,0.0,0.0,R000
20180316,0.0,0.0,R003
20180316,0.0,0.0,R005
20180316,0.0,0.0,R000
20180316,0.0,0.0,R004
20180316,0.0,0.0,R001
20180317,0.0,0.0,R003
20180317,0.0,0.0,R004
20180317,0.0,0.0,R001
20180317,0.0,0.0,R000
20180317,0.0,0.0,R005
20180318,0.0,0.0,R005
20180318,0.0,0.0,R001
20180318,0.0,0.0,R003
20180318,0.0,0.0,R004
20180318,0.0,0.0,R000
20180319,0.0,0.0,R003
20180319,0.0,0.0,R001
20180319,0.0,0.0,R005
20180319,0.0,0.0,R004
20180319,0.0,0.0,R000
20180320,0.0,0.0,R001
20180320,0.0,0.0,R000
20180320,0.0,0.0,R005
20180320,0.0,0.0,R003
20180320,0.0,0.0,R004
20180321,0.0,0.0,R001
20180321,0.0,0.0,R004
20180321,0.0,0.0,R005
20180321,0.0,0.0,R003
20180321,0.0,0.0,R000
20180322,0.0,0.0,R003
20180322,0.0,0.0,R005
20180322,0.0,0.0,R004
20180322,0.0,0.0,R001
20180322,0.0,0.0,R000
20180323,0.0,0.0,R000
20180323,0.0,0.0,R004
20180323,0.0,0.0,R001
20180323,0.0,0.0,R005
20180323,0.0,0.0,R003
20180324,0.0,0.0,R004
20180324,0.0,0.0,R005
20180324,0.0,0.0,R001
20180324,0.0,0.0,R000
20180324,0.0,0.0,R003
20180325,0.0,0.0,R004
20180325,0.0,0.0,R005
20180325,0.0,0.0,R000
20180325,0.0,0.0,R001
20180325,0.0,0.0,R003
20180326,0.0,0.0,R000
20180326,0.0,0.0,R003
20180326,0.0,0.0,R004
20180326,0.0,0.0,R005
20180326,0.0,0.0,R001
20180327,0.0,0.0,R004
20180327,0.0,0.0,R000
20180327,0.0,0.0,R005
20180327,0.0,0.0,R003
20180327,0.0,0.0,R001
20180328,0.0,0.0,R004
20180328,0.0,0.0,R003
20180328,0.0,0.0,R005
20180328,0.0,0.0,R000
20180328,0.0,0.0,R001
20180329,0.0,0.0,R005
20180329,0.0,0.0,R003
20180329,0.0,0.0,R001
20180329,0.0,0.0,R004
20180329,0.0,0.0,R000
20180330,0.0,0.0,R004
20180330,0.0,0.0,R000
20180330,0.0,0.0,R003
20180330,0.0,0.0,R005
20180330,0.0,0.0,R001
20180331,0.0,0.0,R001
20180331,0.0,0.0,R004
20180331,0.0,0.0,R003
20180331,0.0,0.0,R005
20180331,0.0,0.0,R000
20180401,20543.0,406962.9,R005
20180401,20310.0,432675.0,R004
20180401,20361.0,245691.9,R003
20180401,27795.0,744074.1000000001,R001
20180401,22326.0,483224.4,R000
20180402,0.0,0.0,R004
20180402,0.0,0.0,R000
20180402,0.0,0.0,R005
20180402,0.0,0.0,R001
20180402,0.0,0.0,R003
20180403,0.0,0.0,R003
20180403,0.0,0.0,R005
20180403,0.0,0.0,R004
20180403,0.0,0.0,R001
20180403,0.0,0.0,R000
20180404,0.0,0.0,R000
20180404,0.0,0.0,R005
20180404,0.0,0.0,R004
20180404,0.0,0.0,R003
20180404,0.0,0.0,R001
20180405,0.0,0.0,R005
20180405,0.0,0.0,R001
20180405,0.0,0.0,R000
20180405,0.0,0.0,R003
20180405,0.0,0.0,R004
20180406,0.0,0.0,R005
20180406,0.0,0.0,R000
20180406,0.0,0.0,R004
20180406,0.0,0.0,R001
20180406,0.0,0.0,R003
20180407,0.0,0.0,R001
20180407,0.0,0.0,R000
20180407,0.0,0.0,R005
20180407,0.0,0.0,R003
20180407,0.0,0.0,R004
20180408,0.0,0.0,R000
20180408,0.0,0.0,R004
20180408,0.0,0.0,R005
20180408,0.0,0.0,R001
20180408,0.0,0.0,R003
20180409,0.0,0.0,R005
20180409,0.0,0.0,R001
20180409,0.0,0.0,R004
20180409,0.0,0.0,R003
20180409,0.0,0.0,R000
20180410,0.0,0.0,R003
20180410,0.0,0.0,R000
20180410,0.0,0.0,R005
20180410,0.0,0.0,R004
20180410,0.0,0.0,R001
20180411,0.0,0.0,R005
20180411,0.0,0.0,R003
20180411,0.0,0.0,R001
20180411,0.0,0.0,R000
20180411,0.0,0.0,R004
20180412,0.0,0.0,R005
20180412,0.0,0.0,R001
20180412,0.0,0.0,R000
20180412,0.0,0.0,R003
20180412,0.0,0.0,R004
20180413,0.0,0.0,R003
20180413,0.0,0.0,R001
20180413,0.0,0.0,R005
20180413,0.0,0.0,R004
20180413,0.0,0.0,R000
20180414,0.0,0.0,R000
